"";"Symbol";"Chromosome";"Description";"Cluster";"WT_00Hr_1";"WT_00Hr_2";"WT_00Hr_3";"WT_02Hr_1";"WT_02Hr_2";"WT_02Hr_3";"WT_04Hr_1";"WT_04Hr_2";"WT_04Hr_3";"WT_06Hr_1";"WT_06Hr_2";"WT_06Hr_3";"WT_08Hr_1";"WT_08Hr_2";"WT_08Hr_3";"WT_10Hr_1";"WT_10Hr_2";"WT_10Hr_3";"WT_12Hr_1";"WT_12Hr_2";"WT_12Hr_3";"WT_14Hr_1";"WT_14Hr_2";"WT_14Hr_3";"WT_16Hr_1";"WT_16Hr_2";"WT_16Hr_3";"WT_18Hr_1";"WT_18Hr_2";"WT_18Hr_3";"WT_20Hr_1";"WT_20Hr_2";"WT_20Hr_3";"WT_22Hr_1";"WT_22Hr_2";"WT_22Hr_3"
"66887";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66887"" target=""_blank"">Lonp2</a>";"8";"lon peptidase 2, peroxisomal";"Cluster_2";0,1159;-0,2081;0,0922;0,1305;0,2415;0,5479;0,5556;0,6737;0,5838;1,4816;0,1824;0,6737;0,6979;1,01;0,2819;0,2883;0,7487;0,5992;0,3215;-1,2097;-0,0035;-0,8639;-0,5273;-0,9073;-1,4975;-2,146;-1,6387;-1,0715;-1,8031;-0,8978;-0,1804;-2,8998;-1,7885;-0,6319;0,3729;-0,1908
"66905";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66905"" target=""_blank"">Plin3</a>";"17";"perilipin 3";"Cluster_2";-0,0529;0,5751;-0,5222;0,6703;1,0145;0,7394;0,0797;0,4679;-1,4307;1,3106;0,9202;-0,692;0,5933;0,7039;0,9033;-0,3683;0,0705;0,3566;1,2624;0,3676;-1,3543;-2,1275;-1,6507;-0,6815;-1,0985;-0,4408;-1,294;-1,1839;-1,1811;-1,751;0,4217;0,0991;-1,9744;-1,3511;-1,0075;-1,0702
"66935";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66935"" target=""_blank"">Cir1</a>";"2";"corepressor interacting with RBPJ, 1";"Cluster_2";1,1686;-1,3257;0,1571;1,8615;1,5536;0,4261;1,9185;2,1607;-0,0363;2,1477;1,3453;1,1525;2,2124;2,7483;2,0652;1,0207;1,1768;1,2075;0,9474;1,4898;0,708;0,1812;0,3248;0,442;-0,5971;-0,0295;-0,6962;-0,2876;-0,451;-0,5988;-0,089;-0,223;0,0689;0,0252;0,8933;-0,1613
"67468";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67468"" target=""_blank"">Mmd</a>";"11";"monocyte to macrophage differentiation-associated";"Cluster_2";-0,6105;1,0868;-0,4763;-0,7649;0,5551;1,3978;0,1145;1,221;0,9347;0,974;0,2826;1,2107;1,3761;0,7651;1,0963;0,7251;1,577;0,5787;0,5147;1,7111;0,6123;-0,3643;0,7651;-0,7393;-0,7649;-1,2569;-1,1231;-1,1559;-0,7214;-1,1795;-1,3305;-1,6186;-0,2789;-1,2634;0,1358;-1,0587
"67711";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67711"" target=""_blank"">Nsmce1</a>";"7";"non-SMC element 1 homolog (S. cerevisiae)";"Cluster_2";0,3261;0,0379;-0,3641;0,0033;-0,1436;-0,2326;1,0325;0,6819;0,6503;0,752;0,1482;0,9628;1,3878;1,0243;1,1768;0,8632;0,9222;0,6615;1,6234;0,2198;-0,2229;-0,7666;-0,7029;-1,1887;-1,4015;-0,8606;-1,8725;-1,0579;-1,131;-1,9712;-0,8794;-1,2733;-2,1901;-0,2254;-0,5827;-0,484
"67898";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67898"" target=""_blank"">Pef1</a>";"4";"penta-EF hand domain containing 1";"Cluster_2";0,7681;0,134;-0,9022;1,1437;0,2817;1,1996;1,7963;1,7594;1,0397;0,134;1,1557;0,9408;1,5184;0,4854;1,1172;1,1717;0,2903;0,1392;1,2102;0,2667;-0,3782;-1,1692;-0,0558;-0,0012;-1,1548;-0,0012;-1,5406;-1,6801;-0,2732;-1,7937;-1,0851;-1,1448;-0,6281;0,822;-0,3727;-0,071
"68497";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=68497"" target=""_blank"">Arel1</a>";"12";"apoptosis resistant E3 ubiquitin protein ligase 1";"Cluster_2";0,1117;-0,1402;0,0285;-0,0101;0,1991;-0,2896;0,6635;2,1092;0,9017;1,2306;1,4101;2,7956;1,6476;1,5866;2,0115;0,2921;1,405;0,9739;1,2651;2,8643;0,6925;-0,8187;-0,1483;-1,0996;-0,7393;0,0688;-0,8682;-0,3244;0,5128;-0,69;-0,2385;0,3148;0,0606;0,078;1,1791;0,5432
"68877";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=68877"" target=""_blank"">Maf1</a>";"15";"MAF1 homolog (S. cerevisiae)";"Cluster_2";0,0712;-0,2527;0,1815;1,4117;0,6016;1,147;1,5597;2,2728;1,5979;1,9322;1,5561;1,5818;2,6091;2,3534;2,0498;1,5707;1,8542;1,524;2,184;1,288;0,7848;-0,5788;-0,2325;-0,6437;-0,5848;-0,5848;0,1867;-0,2952;-0,1625;-0,5501;0,5849;0,2727;0,3285;0,2694;0,4534;-0,1022
"69146";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69146"" target=""_blank"">Gsdmd</a>";"15";"gasdermin D";"Cluster_2";0,9548;-1,4651;0,5103;0,6263;0,0634;0,6984;0,4008;-0,2717;0,0138;1,1878;-0,0938;0,3616;0,0316;0,3294;0,6801;0,1389;-0,3992;-0,0812;0,0371;2,0145;-0,5403;-0,473;-1,7371;-0,7914;-1,3124;-1,2616;-1,4321;-0,6413;-2,2629;-1,3312;-0,4938;-2,7048;-1,7869;-0,7445;-0,5753;-0,0544
"69216";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69216"" target=""_blank"">Ccdc23</a>";"4";"coiled-coil domain containing 23";"Cluster_2";0,2719;0,848;-1,1199;-1,6946;-1,5323;-0,4872;-1,2501;0,1913;-0,4509;-0,6268;-1,4964;0,721;0,0369;-0,036;-0,5802;-0,2246;-0,5247;-0,3027;-0,4482;-0,2826;-0,8301;-1,803;-1,4984;-2,0502;-2,9592;-2,176;-2,376;-1,9343;-1,2298;-3,4981;-1,2934;-2,2329;-1,9514;-1,31;-0,8049;-1,8638
"69821";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69821"" target=""_blank"">Mterf4</a>";"1";"mitochondrial transcription termination factor 4";"Cluster_2";-0,4851;0,3146;0,1705;0,5942;0,1827;0,5306;1,8695;1,9007;1,3928;1,4885;1,5461;1,5198;1,4554;1,5253;2,2834;0,8642;2,1329;1,1121;0,5378;-1,3547;0,4078;-0,0387;-0,1171;-0,9818;-0,5731;-1,6294;0,0464;-0,8406;-0,2194;-0,3875;-0,4526;-0,5615;0,5435;0,1488;0,8232;-0,0317
"70031";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=70031"" target=""_blank"">Cmtm8</a>";"9";"CKLF-like MARVEL transmembrane domain containing 8";"Cluster_2";0,3413;0,0415;-0,3829;0,3292;-0,2569;0,4335;-0,5172;1,296;0,4486;1,5365;0,7816;1,1451;2,2465;1,5577;2,1705;1,039;1,1024;1,3003;0,8657;-0,5684;0,1112;-0,4641;-0,179;-1,192;-1,2868;-1,481;-1,7898;-0,7422;-0,7141;-1,2488;-0,0461;-0,3511;0,0256;-0,1059;0,1381;-0,1286
"70454";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=70454"" target=""_blank"">Cenpl</a>";"1";"centromere protein L";"Cluster_2";0,4159;-0,2491;-0,1668;0,2216;-0,0565;1,2189;-0,035;0,6089;0,4866;1,6282;0,6042;1,5111;1,9964;2,1113;2,4179;1,1757;1,3958;1,1859;2,1638;0,6056;0,1678;-1,8016;-0,3744;-0,9694;-1,014;-1,4522;-0,3934;-0,2987;0,0283;-0,0012;0,0192;-0,2739;0,0958;-0,2265;0,0261;0,4294
"70510";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=70510"" target=""_blank"">Rnf167</a>";"11";"ring finger protein 167";"Cluster_2";-0,0109;-0,1831;0,194;1,3735;0,3771;0,9789;1,1597;1,4358;0,7252;1,3432;2,1413;0,7987;1,5811;1,8424;1,567;1,9662;0,8331;0,6986;1,4201;-0,7138;0,2139;0,4401;0,0279;-0,232;-1,5768;-0,8814;-0,9552;-1,5223;-0,1946;-0,927;-0,0133;-0,6281;0,8231;-0,7183;0,3202;-0,6474
"71517";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=71517"" target=""_blank"">9030624J02Rik</a>";"7";"RIKEN cDNA 9030624J02 gene";"Cluster_2";-0,7444;0,5653;0,1791;0,323;-0,2506;-0,0228;-0,4118;0,1958;0,0579;0,9422;0,6381;1,2096;1,1324;0,9271;0,3011;0,9883;0,6556;0,0382;0,7039;0,8;-1,1318;-2,0523;-1,4472;-0,7208;-1,9048;-0,7832;-3,1272;-0,4897;-0,001;-1,2526;0,2707;0,3674;-1,3641;-0,6076;-0,5076;-1,073
"72083";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=72083"" target=""_blank"">Mzt2</a>";"16";"mitotic spindle organizing protein 2";"Cluster_2";0,3073;-0,7504;0,4431;-0,3239;0,9611;0,1307;-0,4509;0,4301;0,1395;1,2281;1,1236;1,0309;0,511;0,4257;1,2498;0,6124;-0,6473;0,2174;0,5819;1,1794;-0,791;-1,472;-1,5087;-0,7294;-1,0772;-0,4752;-2,0176;0,5651;-1,977;-1,9582;0,0143;-1,919;-0,5551;-0,0391;-1,2875;-1,1278
"72567";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=72567"" target=""_blank"">Bclaf1</a>";"10";"BCL2-associated transcription factor 1";"Cluster_2";-0,0178;0,0506;-0,0329;-0,7727;-0,6179;0,1525;0,3397;0,1415;-0,0106;0,0677;-0,3818;1,4477;0,5708;0,8038;1,436;0,3501;0,491;0,3597;-0,5643;1,2014;0,4095;-1,2467;-1,2271;-0,1769;-2,4367;-2,5963;-1,958;-1,358;-1,883;-1,358;-1,4604;0,3532;-0,2842;-0,5278;-0,0779;-0,1173
"73389";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=73389"" target=""_blank"">Hbp1</a>";"12";"high mobility group box transcription factor 1";"Cluster_2";0,6089;-0,4178;-0,1911;0,8274;0,5473;0,5347;1,4132;1,0377;0,2312;1,7294;1,6213;1,2093;1,828;1,6125;1,2857;1,3822;1,1386;0,3972;1,4794;0,101;0,223;0,5449;-0,3191;-0,5227;-1,8345;-1,8086;-0,7798;-1,1527;0,1142;-1,1698;-0,1819;-1,0676;-0,2795;-0,4181;0,5984;-0,3175
"74144";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=74144"" target=""_blank"">Robo4</a>";"9";"roundabout homolog 4 (Drosophila)";"Cluster_2";0,0246;-0,2247;0,2001;-0,8295;-0,4092;0,9973;0,7364;1,1776;1,606;0,4072;0,9709;1,9298;0,5411;-0,2472;-0,2577;1,0585;0,0324;0,2932;0,0806;1,9178;-0,4727;-1,7508;-0,9418;-0,722;-1,4226;-1,7205;-0,5856;-0,9048;-1,0397;-1,5982;-0,6632;0,6779;-0,9732;0,9202;-0,5856;0,9542
"74153";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=74153"" target=""_blank"">Uba7</a>";"9";"ubiquitin-like modifier activating enzyme 7";"Cluster_2";0,2289;-0,7672;0,5383;-0,178;-0,1383;1,0841;0,5966;0,1081;0,4349;0,3173;0,4839;1,6272;0,8079;0,8013;0,8057;1,4419;0,0507;0,5348;0,19;2,9794;-0,0376;-0,5531;-1,0779;0,079;-1,3231;-1,0346;-1,1202;-0,1225;-0,5546;-1,3935;-0,1861;-1,4784;-2,0785;-0,8849;-0,8289;0,5032
"74237";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=74237"" target=""_blank"">Tubgcp2</a>";"7";"tubulin, gamma complex associated protein 2";"Cluster_2";0,8432;-0,2522;-0,591;0,0921;0,3233;0,4368;0,8501;0,9681;0,8034;1,3897;0,3718;1,9828;1,5532;0,9324;0,9587;0,6952;1,2492;1,3798;1,658;0,3805;0,3233;-0,0553;0,2538;-0,169;-0,6478;-2,0783;-1,1962;-0,5737;-2,0039;-1,3264;0,6806;-0,5178;-1,1972;0,7201;-0,5462;-0,4667
"74442";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=74442"" target=""_blank"">Sgms2</a>";"3";"sphingomyelin synthase 2";"Cluster_2";-0,3654;0,2476;0,1178;0,6098;0,5913;0,275;0,5398;1,7088;1,9551;1,9383;1,6463;1,5483;1,6376;1,4119;2,4106;0,1402;-0,1453;0,3939;2,072;1,2346;0,0373;-0,8587;-1,2967;-0,9205;-0,5493;-0,9693;-1,2581;-0,5674;-0,1364;-0,2488;0,4832;1,3342;0,3242;0,269;0,1958;0,5605
"74895";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=74895"" target=""_blank"">Ccdc181</a>";"1";"coiled-coil domain containing 181";"Cluster_2";0,1503;-0,2807;0,1303;0,3635;-0,7622;-0,6726;0,4485;0,1026;0,2356;2,1002;0,4282;1,9116;0,3832;1,029;1,1869;0,3813;0,3265;1,0918;1,1154;1,6378;0,4145;-0,7169;-1,0887;-0,0987;-1,7369;-1,4845;-1,9036;-1,2048;0,1946;-1,1831;-0,6848;-0,3889;-1,1158;-1,1135;-0,5841;-0,505
"76233";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=76233"" target=""_blank"">Dnttip1</a>";"2";"deoxynucleotidyltransferase, terminal, interacting protein 1";"Cluster_2";0,6127;-0,1427;-0,47;0,7005;0,2;-0,0695;0,6664;1,0919;0,5755;1,1159;0,8984;2,0447;1,7905;1,1219;1,1668;1,1219;0,1645;0,2847;1,4218;1,0671;-0,1604;-1,1433;-0,4403;-0,8002;-1,6873;0,0372;-1,0766;-0,372;-0,3106;-2,5679;-0,8467;-0,0012;-1,1597;-0,7668;-0,1878;-0,081
"76467";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=76467"" target=""_blank"">Msrb2</a>";"2";"methionine sulfoxide reductase B2";"Cluster_2";-0,0162;-0,9349;0,9512;0,1337;0,2136;1,2663;0,3119;0,8245;1,1266;1,0657;0,6252;1,5244;1,0625;1,0729;0,7441;0,9886;0,2852;1,1712;0,4781;-1,3711;-0,1783;-0,8858;-0,7033;-0,0271;-1,8031;-1,3184;-1,1156;-1,6475;-1,1876;-0,1124;-0,1243;-1,8747;-1,5719;0,0616;0,3725;-0,7109
"76522";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=76522"" target=""_blank"">Lsm8</a>";"6";"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)";"Cluster_2";0,5871;-8e-04;-0,5863;0,535;0,9585;1,3365;1,7083;2,3701;0,6884;2,2152;2,4626;0,8652;1,8735;1,9367;2,636;1,5322;1,8735;2,2514;1,4311;1,5322;1,9342;0,7272;0,9891;1,3365;-1,192;-0,0539;0,082;-1,0784;0,7247;-0,207;-0,1671;0,624;0,3725;0,3277;1,7286;0,0017
"76867";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=76867"" target=""_blank"">Rhbdd1</a>";"1";"rhomboid domain containing 1";"Cluster_2";-0,8595;0,5787;0,2809;0,4515;0,1289;0,8108;0,582;0,3076;-0,1445;0,563;1,6721;0,4341;0,3799;0,627;0,6046;0,0092;0,8077;0,1441;0,7817;2,4276;0,075;-0,6051;-0,1672;-0,4715;-1,205;-1,797;-2,3988;-1,114;-0,4305;-1,2845;-0,5883;-1,0122;-2,3854;-0,2986;-0,0083;-0,4467
"78394";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=78394"" target=""_blank"">Ddx52</a>";"11";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52";"Cluster_2";-1,4856;1,2007;0,2849;-0,3165;0,0178;0,6385;-0,0827;1,1438;0,3699;0,7811;0,6367;2,5856;0,2892;1,0743;1,7629;-0,0156;0,2235;0,1647;0,1028;1,0789;-0,1664;-0,9656;-0,5239;-0,6366;-1,8303;-1,2756;-1,2001;-1,389;-1,1274;-0,7342;-0,8829;-1,2415;-0,7719;-1,1699;0,4214;-0,2177
"78689";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=78689"" target=""_blank"">Naa35</a>";"13";"N(alpha)-acetyltransferase 35, NatC auxiliary subunit";"Cluster_2";0,3477;-0,3491;0,0013;0,012;-0,8959;2,3535;0,9186;0,4701;0,5948;1,9074;0,6764;1,4791;1,5063;0,7292;1,5697;0,9137;1,1307;0,359;0,8754;-0,8724;0,6266;0,0958;0,4647;0,7478;-1,5336;-1,4203;-1,2;-1,0401;-0,3439;-0,3564;-1,0476;-1,6632;0,4266;0,1294;-0,7761;1e-04
"80884";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=80884"" target=""_blank"">Maged2</a>";"X";"melanoma antigen, family D, 2";"Cluster_2";-0,0703;0,3619;-0,2916;0,694;-0,5176;0,1382;0,3919;0,3541;1,0212;1,4031;1,0246;1,0406;0,6838;-0,0018;0,7131;1,2153;-0,0214;0,6677;0,6923;0,5237;-1,0773;-1,9576;-1,0153;-0,5659;-1,7106;-1,3796;-1,4767;-1,4346;-1,7692;-1,4462;-0,6193;-0,1242;-1,981;-1,2771;-0,5798;-0,3898
"83965";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=83965"" target=""_blank"">Enpp5</a>";"17";"ectonucleotide pyrophosphatase/phosphodiesterase 5";"Cluster_2";0,424;-0,0536;-0,3704;-0,1367;-0,1367;-0,2237;1,0587;0,092;-0,1028;1,0244;0,1062;0,3172;1,0444;1,0444;1,2727;1,198;1,2079;0,2715;0,7506;0,2966;-0,2625;-0,0394;-0,425;-0,1311;-1,4478;-1,5966;-2,5737;-2,1582;-0,3294;-1,4762;-1,0652;-1,1312;-1,6728;-0,3681;0,8691;-1,1089
"94179";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=94179"" target=""_blank"">Krt23</a>";"11";"keratin 23";"Cluster_2";-0,1513;-0,6517;0,803;1,3202;-0,1955;0,1427;1,4427;1,0724;1,1481;2,0631;0,8482;-0,0632;3,6405;2,068;0,9874;1,222;1,0697;1,0323;2,3493;-0,1909;0,9769;-0,0677;-0,1317;-0,195;-0,0742;-1,0656;-0,2501;-0,3118;-0,0318;-0,8402;0,9966;1,4847;-0,1526;-0,1369;-0,1007;0,7623
"100198";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=100198"" target=""_blank"">H6pd</a>";"4";"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)";"Cluster_2";-0,3483;0,5488;-0,2005;0,5222;-0,5031;-0,428;0,488;1,8912;0,7831;1,305;0,8974;1,7113;1,3192;1,5471;0,7831;0,0738;0,3782;-0,065;0,455;1,8755;-0,0883;-0,8935;-0,5031;-0,6073;-1,397;-1,7441;-1,519;-1,0344;-0,7085;-1,3387;-1,145;-0,6847;0,7677;0,1339;-0,1043;-0,9433
"105246";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=105246"" target=""_blank"">Brd9</a>";"13";"bromodomain containing 9";"Cluster_2";-0,18;0,6569;-0,4769;0,1563;0,4067;1,2704;1,083;1,0693;0,1363;1,2112;1,5757;2,6174;1,0342;0,3559;1,5216;0,6531;1,2159;1,8971;1,7072;0,7638;1,3364;-0,4426;0,8161;0,0558;-0,7844;-0,6122;-0,6993;-0,4277;-1,2065;-1,6805;0,1895;1,6401;-0,4707;-0,5155;-0,5731;-0,7674
"108652";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=108652"" target=""_blank"">Slc35b3</a>";"13";"solute carrier family 35, member B3";"Cluster_2";0,1936;0,2952;-0,4888;0,7721;-0,2539;1,2984;1,724;1,5437;1,9061;1,0413;1,3506;1,9181;1,1788;1,7118;1,8285;0,2343;1,3277;0,5315;0,7688;3,0672;0,2395;-0,5136;0,1813;-0,3714;-1,5175;-0,7744;-0,2913;-0,6785;-0,2416;-0,5554;-0,6367;0,2166;0,2217;-0,5512;0,3556;0,4464
"170756";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=170756"" target=""_blank"">Slc8b1</a>";"5";"solute carrier family 8 (sodium/lithium/calcium exchanger), member B1";"Cluster_2";0,4811;-0,6072;0,1262;0,8099;0,0926;0,8021;0,9369;2,5921;0,731;2,6189;2,306;1,6389;2,4147;2,3429;2,233;1,581;1,5504;1,4227;1,4971;1,893;0,9499;0,2004;0,3686;0,1432;-0,6224;-0,1922;-0,0776;-0,8108;-0,3887;-0,3638;0,1172;0,9447;0,9794;0,0454;0,9559;-0,1637
"212090";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=212090"" target=""_blank"">Tmem60</a>";"5";"transmembrane protein 60";"Cluster_2";-0,1855;-0,7106;0,8961;0,8444;0,3451;2,2097;0,2831;1,9864;1,4969;2,0246;1,2235;1,301;2,4772;2,7679;3,359;2,4599;1,9024;1,5438;1,4749;1,0336;0,6117;0,3832;1,6677;0,7966;-0,4611;0,5565;-0,3991;-0,8867;0,8535;0,3977;0,2717;0,997;1,2499;-0,269;1,0186;0,8405
"216190";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=216190"" target=""_blank"">Appl2</a>";"10";"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2";"Cluster_2";-1,0367;0,0824;0,9543;0,0301;-1,6106;-0,2805;1,0079;0,1594;0,5161;1,2911;0,0393;2,3416;0,8462;1,0336;1,6363;0,8642;0,3091;1,0919;1,2706;-0,5427;0,0448;-0,686;-0,6554;-0,5539;-1,9718;-1,7898;-0,147;-0,8732;-0,432;-0,6097;-0,7427;-1,4065;-0,1412;-0,6042;-0,7116;0,6455
"217039";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=217039"" target=""_blank"">Ggnbp2</a>";"11";"gametogenetin binding protein 2";"Cluster_2";-0,383;0,1001;0,2829;0,052;-0,2631;0,0708;1,1225;1,4023;1,3936;1,4023;1,7841;1,5624;1,2156;2,3971;2,9276;0,0783;0,9231;0,439;1,1028;1,0127;0,251;-0,8246;-0,5886;0,0118;-1,5219;0,4228;-0,1943;-0,355;0,2003;-0,0101;-1,3479;0,0621;0,8689;-1,3971;-0,2339;0,6087
"218294";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=218294"" target=""_blank"">Cdc14b</a>";"13";"CDC14 cell division cycle 14B";"Cluster_2";0,1551;-0,3625;0,2074;1,0676;0,0223;1,5036;0,8412;2,1735;0,5243;2,1582;1,5724;0,9009;1,8899;2,8189;1,6524;0,5732;1,4841;1,1574;1,3287;0,206;-0,0956;-1,2949;-0,4232;-1,0756;-0,7134;-0,0649;-1,0601;-0,53;0,0593;-0,5238;1,2043;1,1185;0,9462;0,1586;1,0859;0,4922
"218503";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=218503"" target=""_blank"">Fcho2</a>";"13";"FCH domain only 2";"Cluster_2";-0,5476;0,0634;0,4843;0,2323;0,2444;-0,3186;0,6903;1,4209;0,7686;1,2577;1,4293;1,0975;0,4165;1,7975;2,3479;1,4025;1,0139;0,5656;0,7014;3,1641;1,053;-0,2104;-0,3697;-0,0077;-1,4995;-0,625;-0,3821;-0,5603;0,6981;-0,214;-0,1401;1,7567;1,5081;-1,5504;0,2323;0,4016
"225326";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=225326"" target=""_blank"">Pik3c3</a>";"18";"phosphoinositide-3-kinase, class 3";"Cluster_2";-0,3359;0,1483;0,1876;0,374;-0,1181;-0,1707;1,3283;0,6012;0,9396;2,5257;0,9163;2,0615;1,4241;1,4299;2,2054;1,9052;0,2633;1,2681;1,3257;-0,26;0,046;-1,1496;-0,7567;-0,5579;-0,9566;-1,0967;-0,9887;-1,191;0,0687;-0,5392;0,0951;-0,1751;0,9499;-0,1578;0,1992;0,084
"225523";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=225523"" target=""_blank"">Cep120</a>";"18";"centrosomal protein 120";"Cluster_2";0,1464;-0,0551;-0,0914;0,2022;-0,1485;0,0639;0,7048;1,041;0,2245;0,5163;1,5398;1,4379;1,7297;0,8586;1,8423;0,7082;1,0288;1,1949;1,492;0,3615;-0,7192;-1,7319;-0,5462;-2,3832;-1,2395;0,0696;-0,6576;-0,5696;-0,3816;-0,6758;-0,4374;2,234;0,6881;0,0435;0,3002;0,6604
"227723";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=227723"" target=""_blank"">Prrc2b</a>";"2";"proline-rich coiled-coil 2B";"Cluster_2";-0,5194;-0,5052;1,0246;-0,2252;-0,6772;-1,2495;0,2766;-0,2008;0,5168;1,6963;0,2115;1,442;1,2693;0,3353;1,8198;1,1554;-0,342;0,7723;1,3027;-0,5118;0,0887;0,2512;-1,5889;-1,3505;-0,4826;-1,6694;-1,2942;-0,2094;-1,0641;-0,846;-0,2591;-1,6485;-1,642;-0,2907;-0,8249;0,537
"227737";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=227737"" target=""_blank"">Fam129b</a>";"2";"family with sequence similarity 129, member B";"Cluster_2";0,2602;-0,149;-0,1112;0,0754;-0,361;0,1443;-0,9253;0,1614;0,4706;1,5833;-0,0905;2,4537;0,684;1,3271;0,5352;-0,8344;-0,7013;-0,9831;-0,1389;0,9651;-1,4594;-1,4622;-1,677;-1,3163;-0,85;-1,158;-1,407;-1,4757;-1,749;-1,1256;-0,5282;-1,8272;-1,187;-0,4399;-0,4184;-0,0696
"227867";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=227867"" target=""_blank"">Epc2</a>";"2";"enhancer of polycomb homolog 2 (Drosophila)";"Cluster_2";0,5782;0,1801;-0,7583;0,7403;0,6165;0,4499;0,9877;1,7087;0,1956;1,342;2,1223;1,2562;1,4744;1,6636;1,6539;0,1737;0,1588;0,0829;0,9048;1,6591;0,9048;-0,0815;-0,8396;-1,012;-1,3801;-0,6905;-2,2854;-0,4873;-0,5718;-1,179;0,686;0,8073;0,85;0,5763;0,087;0,2109
"231670";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=231670"" target=""_blank"">Fbxo21</a>";"5";"F-box protein 21";"Cluster_2";-0,0702;0,3466;-0,2765;0,4141;0,0915;-0,3743;0,4606;1,6484;0,9097;1,7063;1,3491;1,4993;2,1051;2,0065;2,1999;1,2567;1,6191;1,3143;1,2907;0,0546;0,5099;-0,2044;0,0828;-0,3329;-0,7498;-1,0073;-0,751;-1,1393;-0,0601;-1,0401;-0,5356;-0,9453;-0,1689;-0,4124;-0,2421;-0,6402
"231832";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=231832"" target=""_blank"">Tmem184a</a>";"5";"transmembrane protein 184a";"Cluster_2";0,0709;-0,3116;0,2407;0,2742;-0,081;-0,0128;0,3715;0,7918;0,6185;1,6871;0,728;2,4552;1,8858;1,365;1,8046;0,9737;0,7817;0,6833;0,8964;0,5825;0,038;-1,3198;-1,3306;-1,0736;-1,4362;-1,2524;-1,1605;-1,0858;-0,2046;-0,2947;0,3467;-0,9411;-0,8563;-0,392;-0,313;0,0577
"235441";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=235441"" target=""_blank"">Usp3</a>";"9";"ubiquitin specific peptidase 3";"Cluster_2";0,2772;0,277;-0,5542;0,981;-0,8967;-0,6542;0,6492;2,522;0,5352;1,5192;0,2457;0,4967;1,3003;2,1206;1,9081;0,913;1,3064;0,7123;1,2072;-0,4047;-0,4157;-0,3924;-0,1665;-0,2135;0,2751;-1,2459;-0,5458;-1,1185;-0,9019;0,032;-0,9943;-1,0368;0,6872;0,4004;-1,1547;-0,9911
