"";"Symbol";"Chromosome";"Description";"Cluster";"Mean_WT_00Hr";"Mean_WT_02Hr";"Mean_WT_04Hr";"Mean_WT_06Hr";"Mean_WT_08Hr";"Mean_WT_10Hr";"Mean_WT_12Hr";"Mean_WT_14Hr";"Mean_WT_16Hr";"Mean_WT_18Hr";"Mean_WT_20Hr";"Mean_WT_22Hr";"Min";"Max";"Range";"pANOVA";"FDR"
"27355";"Pald1";"10";"phosphatase domain containing, paladin 1";"Cluster_2";7,2688;7,155;7,3383;7,3841;7,4207;7,2721;7,3466;7,1551;7,1378;7,1735;7,3397;7,2069;7,0879;7,5277;0,4398;0,00051;0,0028
"50915";"Grb14";"2";"growth factor receptor bound protein 14";"Cluster_2";7,1898;7,1976;7,2977;7,285;7,3487;7,2808;7,2114;7,0165;7,0341;7,1081;7,1361;7,2266;6,9075;7,4783;0,5709;0,004;0,015
"52468";"Ctdsp2";"10";"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2";"Cluster_2";7,0832;7,2566;7,3969;7,3709;7,4617;7,2965;7,2226;7,1769;7,1942;7,1837;7,2325;7,2263;7,0173;7,5084;0,4911;0,00015;0,0011
"52502";"Carhsp1";"16";"calcium regulated heat stable protein 1";"Cluster_2";8,4777;8,6853;8,5004;8,7627;8,6437;8,636;8,5084;8,3359;8,1946;8,3444;8,3891;8,3761;8,0875;8,928;0,8405;1,7e-05;2e-04
"54563";"Nup210";"6";"nucleoporin 210";"Cluster_2";8,3935;8,3029;8,4741;8,595;8,6674;8,5809;8,3754;8,2699;8,1823;8,2148;8,062;8,401;7,7454;8,7226;0,9772;0,0066;0,022
"56055";"Gtpbp2";"17";"GTP binding protein 2";"Cluster_2";8,3727;8,4498;8,628;8,7401;8,6873;8,6735;8,7116;8,3711;8,2144;8,2313;8,2901;8,2476;8,0192;8,8909;0,8716;2,6e-05;0,00028
"56530";"Cnpy2";"10";"canopy 2 homolog (zebrafish)";"Cluster_2";8,7621;8,8041;8,9722;8,8421;8,904;8,8223;8,823;8,6736;8,6861;8,6237;8,5645;8,6999;8,4728;9,0694;0,5966;0,0074;0,024
"58520";"0610007P14Rik";"12";"RIKEN cDNA 0610007P14 gene";"Cluster_2";9,0161;9,032;8,9549;9,1343;9,2881;9,3155;9,1407;8,9587;8,6196;8,7033;8,6994;8,987;8,497;9,4161;0,9191;7,3e-05;0,00062
"59021";"Rab2a";"4";"RAB2A, member RAS oncogene family";"Cluster_2";10,5448;10,5761;10,653;10,6677;10,6178;10,6375;10,685;10,4652;10,3238;10,4695;10,3737;10,517;10,2571;10,7502;0,4931;1,8e-06;3,1e-05
"64050";"Yeats4";"10";"YEATS domain containing 4";"Cluster_2";7,811;7,8216;7,9624;8,0316;8,0112;7,9623;8,0419;7,7664;7,756;7,7726;7,8647;7,8982;7,7046;8,1265;0,4219;2,7e-06;4,5e-05
"66090";"Ypel3";"7";"yippee-like 3 (Drosophila)";"Cluster_2";8,381;8,3463;8,5713;8,6467;8,7611;8,6752;8,5982;8,3826;8,1798;8,1681;8,221;8,2992;8,0503;8,8501;0,7998;4,3e-08;1,7e-06
"66358";"Adprm";"11";"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent";"Cluster_2";7,219;7,2861;7,3178;7,3344;7,477;7,391;7,2612;7,1256;7,1393;7,1528;7,195;7,2516;6,9957;7,5046;0,5089;0,00015;0,0011
"66905";"Plin3";"17";"perilipin 3";"Cluster_2";7,4778;7,5861;7,4384;7,5465;7,5761;7,4804;7,4901;7,2786;7,3512;7,2939;7,4129;7,3246;7,1927;7,6534;0,4607;0,007;0,024
"66935";"Cir1";"2";"corepressor interacting with RBPJ, 1";"Cluster_2";6,9834;7,1176;7,1247;7,1457;7,2289;7,1024;7,0933;7,0166;6,9372;6,9367;6,975;7,0099;6,8445;7,2714;0,4269;0,00013;0,00094
"67468";"Mmd";"11";"monocyte to macrophage differentiation-associated";"Cluster_2";10,4898;10,5937;10,6883;10,7055;10,7729;10,7417;10,738;10,4602;10,2147;10,2224;10,2075;10,2986;10,0651;10,9387;0,8736;0,00045;0,0025
"67898";"Pef1";"4";"penta-EF hand domain containing 1";"Cluster_2";8,2195;8,3179;8,3917;8,3031;8,3365;8,2795;8,2607;8,1735;8,1184;8,0791;8,1124;8,2337;8,0178;8,4215;0,4036;0,00022;0,0014
"68497";"Arel1";"12";"apoptosis resistant E3 ubiquitin protein ligase 1";"Cluster_2";8,6175;8,6115;8,8358;8,9405;8,9292;8,7762;8,904;8,4947;8,5261;8,5877;8,6256;8,7245;8,4215;9,1281;0,7067;5,3e-05;0,00048
"68877";"Maf1";"15";"MAF1 homolog (S. cerevisiae)";"Cluster_2";8,6573;8,9642;9,1847;9,1497;9,3383;9,1379;9,0707;8,516;8,5618;8,5594;8,7725;8,7176;8,4698;9,4174;0,9477;2,2e-10;2,8e-08
"69146";"Gsdmd";"15";"gasdermin D";"Cluster_2";7,4844;7,5458;7,4907;7,5487;7,5304;7,4693;7,5512;7,3518;7,3074;7,2973;7,2641;7,4237;7,1259;7,7515;0,6256;0,0052;0,019
"69216";"Ccdc23";"4";"coiled-coil domain containing 23";"Cluster_2";7,747;7,5766;7,6777;7,6827;7,7204;7,6987;7,6754;7,5015;7,4025;7,4414;7,4957;7,5645;7,2656;7,8637;0,598;0,00074;0,0038
"69821";"Mterf4";"1";"mitochondrial transcription termination factor 4";"Cluster_2";7,4109;7,459;7,6007;7,5783;7,6044;7,5619;7,3959;7,3691;7,3317;7,3577;7,3936;7,4455;7,2313;7,6627;0,4314;1,2e-05;0,00015
"70031";"Cmtm8";"9";"CKLF-like MARVEL transmembrane domain containing 8";"Cluster_2";9,4657;9,504;9,5587;9,7281;9,9184;9,7264;9,4966;9,3266;9,1203;9,2607;9,4375;9,4584;9,0588;9,9763;0,9175;8,3e-08;3e-06
"70510";"Rnf167";"11";"ring finger protein 167";"Cluster_2";7,169;7,2635;7,284;7,3173;7,3418;7,2901;7,2009;7,1772;7,0509;7,0775;7,1753;7,1328;7,0053;7,3915;0,3862;3,1e-05;0,00032
"71517";"9030624J02Rik";"7";"RIKEN cDNA 9030624J02 gene";"Cluster_2";7,6683;7,67;7,6626;7,7681;7,7528;7,7285;7,6816;7,5172;7,4601;7,6059;7,6423;7,5899;7,3325;7,7981;0,4657;0,00079;0,0041
"72083";"Mzt2";"16";"mitotic spindle organizing protein 2";"Cluster_2";8,2956;8,332;8,3012;8,456;8,3993;8,3042;8,3416;8,1196;8,1262;8,1357;8,1789;8,1791;8,0084;8,4734;0,465;0,0082;0,027
"73389";"Hbp1";"12";"high mobility group box transcription factor 1";"Cluster_2";8,2047;8,3075;8,3491;8,4502;8,4592;8,3618;8,3018;8,1887;7,9665;8,0857;8,1223;8,1973;7,9083;8,5;0,5917;4,8e-06;7e-05
"74144";"Robo4";"9";"roundabout homolog 4 (Drosophila)";"Cluster_2";8,4514;8,4382;8,6447;8,633;8,4534;8,5274;8,5352;8,2639;8,2467;8,2569;8,3988;8,5222;8,1631;8,7693;0,6062;0,002;0,0086
"74237";"Tubgcp2";"7";"tubulin, gamma complex associated protein 2";"Cluster_2";7,2733;7,3173;7,4086;7,4665;7,4511;7,4449;7,3952;7,2748;7,0708;7,0718;7,2199;7,2582;6,9515;7,5803;0,6289;1e-04;8e-04
"74442";"Sgms2";"3";"sphingomyelin synthase 2";"Cluster_2";6,894;6,9464;7,0432;7,0762;7,0878;6,9078;7,0127;6,7848;6,7954;6,8601;6,97;6,9304;6,7558;7,1507;0,3949;3,3e-07;8,2e-06
"74895";"Ccdc181";"1";"coiled-coil domain containing 181";"Cluster_2";7,2213;7,1747;7,2555;7,4144;7,3343;7,2995;7,359;7,1384;6,9983;7,1259;7,126;7,1255;6,9729;7,4953;0,5225;2,4e-06;4e-05
"76233";"Dnttip1";"2";"deoxynucleotidyltransferase, terminal, interacting protein 1";"Cluster_2";9,1699;9,2218;9,3157;9,4234;9,4247;9,268;9,3153;9,021;8,9996;8,9669;9,0445;9,1052;8,6887;9,5531;0,8644;0,00028;0,0017
"76467";"Msrb2";"2";"methionine sulfoxide reductase B2";"Cluster_2";7,4749;7,5388;7,5645;7,6021;7,5889;7,5717;7,4326;7,411;7,3073;7,3583;7,3337;7,464;7,2524;7,6559;0,4034;0,00022;0,0014
"76522";"Lsm8";"6";"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)";"Cluster_2";7,5789;7,7128;7,8045;7,8413;7,884;7,8467;7,8107;7,7234;7,5238;7,5523;7,6181;7,6763;7,4096;7,9532;0,5436;0,00015;0,0011
"76867";"Rhbdd1";"1";"rhomboid domain containing 1";"Cluster_2";7,6109;7,6607;7,6376;7,7065;7,6686;7,6453;7,7286;7,5663;7,4173;7,5095;7,468;7,5838;7,353;7,8718;0,5189;8,3e-05;0,00068
"78394";"Ddx52";"11";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52";"Cluster_2";7,6037;7,6226;7,6834;7,8266;7,7778;7,6245;7,6603;7,4853;7,3639;7,4227;7,4424;7,5499;7,298;8,0357;0,7377;0,00087;0,0044
"78689";"Naa35";"13";"N(alpha)-acetyltransferase 35, NatC auxiliary subunit";"Cluster_2";7,8612;7,9298;7,9538;8,0509;8,0388;7,9734;7,8906;7,9223;7,6673;7,7799;7,7546;7,831;7,6283;8,1908;0,5625;0,0028;0,011
"80884";"Maged2";"X";"melanoma antigen, family D, 2";"Cluster_2";7,2426;7,2579;7,3289;7,412;7,3107;7,3335;7,2494;7,0697;7,0195;7,0154;7,1095;7,1328;6,9523;7,4482;0,4959;1,7e-05;2e-04
"83965";"Enpp5";"17";"ectonucleotide pyrophosphatase/phosphodiesterase 5";"Cluster_2";8,3604;8,3245;8,436;8,4648;8,603;8,5536;8,417;8,3174;7,9549;8,0743;8,0811;8,3165;7,8031;8,6359;0,8328;1,1e-05;0,00014
"94179";"Krt23";"11";"keratin 23";"Cluster_2";6,9647;7,0369;7,1732;7,1268;7,3459;7,1539;7,1432;6,9423;6,8856;6,8973;7,0973;6,9946;6,7827;7,5864;0,8037;0,0093;0,03
"105246";"Brd9";"13";"bromodomain containing 9";"Cluster_2";7,1304;7,1976;7,2143;7,3285;7,2372;7,2685;7,27;7,1462;7,0536;7,009;7,1802;7,0624;6,9457;7,4182;0,4726;7,8e-05;0,00065
"108652";"Slc35b3";"13";"solute carrier family 35, member B3";"Cluster_2";7,7576;7,836;7,9808;7,9435;7,9612;7,8479;7,9334;7,7273;7,6462;7,694;7,7491;7,7684;7,5612;8,1545;0,5933;0,00019;0,0013
"212090";"Tmem60";"5";"transmembrane protein 60";"Cluster_2";8,264;8,4267;8,4443;8,4817;8,6759;8,5467;8,4133;8,4003;8,2494;8,2814;8,3846;8,3401;8,1366;8,7464;0,6097;0,00066;0,0035
"216190";"Appl2";"10";"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2";"Cluster_2";7,5148;7,4005;7,6183;7,7404;7,7308;7,654;7,5623;7,3984;7,2747;7,3972;7,3742;7,4737;7,1515;7,9464;0,7949;0,0035;0,014
"218294";"Cdc14b";"13";"CDC14 cell division cycle 14B";"Cluster_2";7,3748;7,5615;7,6295;7,7081;7,8326;7,6062;7,4784;7,1737;7,2425;7,3032;7,6101;7,4998;7,0952;7,9834;0,8882;1,4e-05;0,00017
"218503";"Fcho2";"13";"FCH domain only 2";"Cluster_2";8,4116;8,4203;8,571;8,6211;8,6642;8,5767;8,6839;8,379;8,2727;8,4073;8,5846;8,3608;8,154;8,9372;0,7832;0,0038;0,014
"225326";"Pik3c3";"18";"phosphoinositide-3-kinase, class 3";"Cluster_2";7,6941;7,6986;7,8451;7,9838;7,9604;7,875;7,7526;7,5644;7,534;7,6066;7,7399;7,7007;7,506;8,0929;0,5869;4,9e-06;7,1e-05
"225523";"Cep120";"18";"centrosomal protein 120";"Cluster_2";7,7533;7,7581;7,8341;7,8966;7,935;7,8735;7,7998;7,5621;7,6783;7,6865;7,8552;7,7944;7,4601;8,0281;0,568;0,00049;0,0027
"227723";"Prrc2b";"2";"proline-rich coiled-coil 2B";"Cluster_2";7,9257;7,8461;7,9476;8,0496;8,0524;7,9844;7,9582;7,8263;7,7982;7,8473;7,7944;7,9043;7,7405;8,1276;0,3872;0,0037;0,014
"227737";"Fam129b";"2";"family with sequence similarity 129, member B";"Cluster_2";7,3843;7,3738;7,3625;7,6781;7,5738;7,1968;7,3372;7,0526;7,1301;7,0605;7,1206;7,3152;6,9763;7,9322;0,956;0,00013;0,00094
"227867";"Epc2";"2";"enhancer of polycomb homolog 2 (Drosophila)";"Cluster_2";7,4517;7,5348;7,5847;7,6688;7,6721;7,4708;7,6113;7,3628;7,2514;7,3488;7,5595;7,4919;7,1364;7,7446;0,6082;2e-07;6e-06
"231832";"Tmem184a";"5";"transmembrane protein 184a";"Cluster_2";7,0096;7,0179;7,0913;7,2328;7,2412;7,1214;7,0791;6,839;6,8332;6,937;6,9431;6,98;6,8122;7,3471;0,5349;1,4e-08;6,3e-07
"235441";"Usp3";"9";"ubiquitin specific peptidase 3";"Cluster_2";7,6164;7,5953;7,7535;7,7001;7,8135;7,7249;7,6307;7,5878;7,5603;7,5429;7,5667;7,5518;7,4782;7,8963;0,4181;0,0054;0,019
"237082";"Nxt2";"X";"nuclear transport factor 2-like export factor 2";"Cluster_2";9,4357;9,3584;9,4415;9,5628;9,6019;9,474;9,4263;9,2444;8,9635;9,1653;9,3302;9,4038;8,9299;9,702;0,7721;5,9e-05;0,00052
"239037";"Lrit1";"14";"leucine-rich repeat, immunoglobulin-like and transmembrane domains 1";"Cluster_2";6,9532;6,9296;6,9351;7,0293;7,0737;7,023;6,92;6,8837;6,8131;6,7872;6,8353;6,9199;6,6878;7,136;0,4482;0,0027;0,011
"243771";"Parp12";"6";"poly (ADP-ribose) polymerase family, member 12";"Cluster_2";7,0334;7,0914;7,0865;7,1052;7,1957;7,1876;7,1849;6,964;6,9123;6,8891;6,9847;7,098;6,7176;7,2998;0,5822;0,0018;0,008
"399568";"BC052040";"2";"cDNA sequence BC052040";"Cluster_2";7,0987;7,1054;7,129;7,2376;7,2291;7,1603;7,155;6,8694;6,8367;6,9026;7,0561;7,0768;6,7832;7,3114;0,5282;1,1e-05;0,00013
"654467";"Gm10052";"9";"heterogeneous nuclear ribonucleoprotein A1 pseudogene";"Cluster_2";7,2113;7,2193;7,2599;7,3939;7,6601;7,2469;7,3425;7,1695;7,1495;7,1172;7,2295;7,1509;6,9537;7,799;0,8453;0,002;0,0087
"13170";"Dbp";"7";"D site albumin promoter binding protein";"Cluster_3";7,0298;6,9068;7,3031;9,5764;11,4011;11,4674;11,0424;10,1378;8,8387;8,1409;7,6917;7,3205;6,8432;11,5846;4,7414;5,2e-18;1,3e-14
"19734";"Rgs16";"1";"regulator of G-protein signaling 16";"Cluster_3";6,7292;6,9455;6,9883;7,6225;9,4684;9,0253;8,244;7,5502;7,0435;6,9326;6,902;6,8337;6,6377;9,6447;3,007;3,6e-07;8,9e-06
"67470";"Abcg8";"17";"ATP-binding cassette, sub-family G (WHITE), member 8";"Cluster_3";8,6798;8,9611;8,7413;9,3754;9,7923;9,8188;9,4319;9,2403;8,5603;8,1902;8,8172;8,3784;7,8388;9,9567;2,118;8,1e-05;0,00067
"27409";"Abcg5";"17";"ATP-binding cassette, sub-family G (WHITE), member 5";"Cluster_3";9,7636;10,0165;9,7809;10,3568;10,77;10,9209;10,9311;10,7198;10,2275;9,9198;9,9411;9,4421;9,2556;11,0747;1,8191;2,7e-10;3,2e-08
"66270";"Fam134b";"15";"family with sequence similarity 134, member B";"Cluster_3";8,4771;8,9391;9,0606;9,3377;9,6301;9,5446;9,4369;9,1664;8,6887;8,6498;8,8324;8,8175;8,227;9,9241;1,6971;0,0082;0,027
"76257";"Slc38a3";"9";"solute carrier family 38, member 3";"Cluster_3";9,8726;9,9886;10,0371;10,4248;10,9153;10,9579;10,4395;10,6625;10,1821;9,8716;10,0036;9,7377;9,4847;11,0747;1,59;1,6e-05;0,00019
"20229";"Sat1";"X";"spermidine/spermine N1-acetyl transferase 1";"Cluster_3";9,2844;9,268;9,3189;9,4929;9,6574;9,6579;9,9553;9,6398;9,0251;9,0712;9,3317;9,281;8,8465;10,4039;1,5574;0,00098;0,0047
"16363";"Irf2";"8";"interferon regulatory factor 2";"Cluster_3";10,0829;10,3049;10,4271;10,6477;10,9266;10,7017;10,918;10,487;10,3783;10,4757;10,4194;10,2469;9,9018;11,3517;1,4499;0,00046;0,0026
"15331";"Hmgn2";"4";"high mobility group nucleosomal binding domain 2";"Cluster_3";8,345;8,463;8,6133;8,5001;8,707;8,8172;8,9148;8,596;8,3688;8,2789;8,2597;8,3246;8,026;9,4059;1,3799;0,0013;0,0061
"14685";"Gnat1";"9";"guanine nucleotide binding protein, alpha transducing 1";"Cluster_3";6,7528;6,8193;6,9389;7,2591;7,3628;7,4543;7,6207;7,1226;6,8677;6,835;7,0158;6,855;6,6844;8,0501;1,3657;7,5e-05;0,00064
"72657";"2700094K13Rik";"2";"RIKEN cDNA 2700094K13 gene";"Cluster_3";8,6511;8,5831;8,8198;8,8417;8,9513;8,8683;9,1024;8,8936;8,7245;8,6102;8,3385;8,4301;8,0516;9,3766;1,325;0,00037;0,0021
"22234";"Ugcg";"4";"UDP-glucose ceramide glucosyltransferase";"Cluster_3";7,8977;7,9165;8,0761;8,2777;8,5361;8,427;8,6386;8,1456;7,9;8,0321;8,0922;7,9473;7,706;9,0005;1,2945;0,00029;0,0018
"218793";"Ube2e2";"14";"ubiquitin-conjugating enzyme E2E 2";"Cluster_3";8,8348;8,7306;8,8079;8,9613;8,9549;9,0343;9,2435;8,9235;8,7337;8,732;8,4782;8,6441;8,0853;9,3267;1,2414;0,00096;0,0047
"216558";"Ugp2";"11";"UDP-glucose pyrophosphorylase 2";"Cluster_3";8,8592;8,9946;9,0773;9,2923;9,5534;9,5393;9,2141;9,3256;9,0477;8,8216;8,7169;8,7671;8,4831;9,6665;1,1834;0,00011;0,00082
"50490";"Nox4";"7";"NADPH oxidase 4";"Cluster_3";8,376;8,3222;8,6442;8,6509;8,9153;8,7576;8,6549;8,7551;8,3467;8,3503;8,2828;8,2314;7,9877;9,1589;1,1712;0,005;0,018
"320024";"Nceh1";"3";"neutral cholesterol ester hydrolase 1";"Cluster_3";8,5752;8,5315;9,2835;9,0422;9,1575;9,2834;9,5132;9,1884;8,8064;8,6868;8,5775;8,697;8,439;9,6034;1,1644;3,2e-09;1,8e-07
"207278";"Fchsd2";"7";"FCH and double SH3 domains 2";"Cluster_3";7,8934;7,8884;7,9201;7,966;8,2228;8,3012;8,5092;7,9844;8,0427;8,0083;8,0592;7,7856;7,7207;8,8122;1,0915;3,5e-05;0,00035
"18242";"Oat";"7";"ornithine aminotransferase";"Cluster_3";11,9038;11,9627;12,0784;12,3779;12,2565;12,4919;12,3648;12,3418;12,1708;12,0489;11,8753;11,8893;11,4908;12,5805;1,0897;0,0062;0,021
"192197";"Bcas3";"11";"breast carcinoma amplified sequence 3";"Cluster_3";8,0945;8,0548;8,3565;8,2508;8,2861;8,5613;8,5001;8,4576;8,3161;8,057;7,9412;8,1034;7,7136;8,7434;1,0298;0,0048;0,018
"68949";"1500012F01Rik";"2";"RIKEN cDNA 1500012F01 gene";"Cluster_3";7,7355;7,8452;8,1647;8,1753;8,5338;8,315;8,402;8,0414;7,8125;7,7407;7,9365;7,7001;7,5968;8,625;1,0281;1,6e-06;2,9e-05
"67760";"Slc38a2";"15";"solute carrier family 38, member 2";"Cluster_3";7,684;7,78;7,7358;7,794;7,9972;8,1442;8,3787;7,7473;7,6928;7,7404;7,9239;7,644;7,5555;8,5744;1,0188;1,2e-05;0,00015
"13108";"Cyp2g1";"7";"cytochrome P450, family 2, subfamily g, polypeptide 1";"Cluster_3";6,7252;6,6976;6,6584;6,7651;6,9127;6,8939;6,8861;6,7978;6,6867;6,6851;6,6926;6,6751;6,6071;7,0318;0,4247;0,00014;0,00098
"13650";"Rhbdf1";"11";"rhomboid family 1 (Drosophila)";"Cluster_3";7,2471;7,2379;7,2727;7,3739;7,4011;7,4061;7,5144;7,2466;7,2629;7,2349;7,1596;7,1626;7,105;7,6967;0,5917;0,00055;0,003
"16825";"Ldb1";"19";"LIM domain binding 1";"Cluster_3";8,7124;8,5321;8,7423;8,7851;9,0364;9,1124;9,2224;8,9712;8,8289;8,5948;8,5991;8,605;8,3827;9,344;0,9613;6e-05;0,00053
"18035";"Nfkbia";"12";"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha";"Cluster_3";7,3251;7,5124;7,3931;7,59;7,6816;7,7207;7,8816;7,6389;7,4832;7,4411;7,4739;7,3074;7,1923;7,9464;0,7541;0,00012;9e-04
"18632";"Pex11b";"3";"peroxisomal biogenesis factor 11 beta";"Cluster_3";8,5566;8,4954;8,5953;8,6813;8,7889;8,7132;8,7461;8,5417;8,5067;8,6103;8,4489;8,5104;8,3465;8,8529;0,5065;7,6e-05;0,00064
"19018";"Scand1";"2";"SCAN domain-containing 1";"Cluster_3";7,8434;7,8771;8,0253;7,9768;8,1548;8,1445;8,1685;8,0051;7,9953;7,8061;7,8578;7,9449;7,7461;8,3211;0,575;0,0022;0,0093
"19298";"Pex19";"1";"peroxisomal biogenesis factor 19";"Cluster_3";8,3014;8,2717;8,395;8,4446;8,4968;8,5805;8,4823;8,4538;8,3762;8,2497;8,0848;8,3686;7,8236;8,6395;0,8159;0,0027;0,011
"19822";"Rnf4";"5";"ring finger protein 4";"Cluster_3";7,4314;7,5043;7,4539;7,5039;7,6199;7,589;7,5477;7,615;7,3427;7,3082;7,3749;7,3981;7,2603;7,6723;0,412;0,00031;0,0019
"21761";"Morf4l1";"9";"mortality factor 4 like 1";"Cluster_3";8,1049;8,1118;8,2252;8,1683;8,261;8,2874;8,2973;8,2797;8,1859;8,101;8,0614;8,0811;7,9152;8,3672;0,452;0,0052;0,019
"21813";"Tgfbr2";"9";"transforming growth factor, beta receptor II";"Cluster_3";7,4013;7,5098;7,587;7,6305;7,6661;7,7014;7,6958;7,6169;7,5022;7,5452;7,3785;7,5773;7,3064;7,7975;0,491;3e-04;0,0018
"21854";"Timm17a";"1";"translocase of inner mitochondrial membrane 17a";"Cluster_3";9,118;8,9548;9,1973;9,2686;9,4538;9,4794;9,3363;9,3977;9,0972;9,1397;9,0915;9,1872;8,9241;9,5436;0,6195;0,00018;0,0012
"23789";"Coro1b";"19";"coronin, actin binding protein 1B";"Cluster_3";7,6637;7,6021;7,7298;7,7594;7,7935;7,8914;7,8291;7,6978;7,6397;7,5599;7,5367;7,5933;7,4416;7,9657;0,5241;4,4e-05;0,00041
"23807";"Arih2";"9";"ariadne homolog 2 (Drosophila)";"Cluster_3";8,5456;8,4308;8,4677;8,6591;8,7224;8,7608;8,8265;8,7109;8,4721;8,574;8,5349;8,494;8,341;8,9483;0,6073;0,0016;0,0072
"52432";"Ppp2r2d";"7";"protein phosphatase 2, regulatory subunit B, delta";"Cluster_3";7,9583;7,8951;8,1956;8,3057;8,4892;8,3601;8,3466;8,1711;8,0128;8,0022;7,992;8,0457;7,7225;8,6144;0,8918;9,6e-05;0,00076
"52639";"Wipi1";"11";"WD repeat domain, phosphoinositide interacting 1";"Cluster_3";7,0895;7,1148;7,1862;7,1712;7,1984;7,1917;7,2482;7,2225;7,0438;7,0297;6,9874;7,0145;6,8938;7,3183;0,4245;2e-04;0,0013
"52670";"Cpsf4l";"11";"cleavage and polyadenylation specific factor 4-like";"Cluster_3";7,0555;7,0898;7,2013;7,3428;7,4713;7,3458;7,3666;7,1959;7,1833;7,1754;7,0872;7,1913;6,8062;7,5187;0,7125;0,0027;0,011
"54636";"Wdr45";"X";"WD repeat domain 45";"Cluster_3";8,1059;8,1439;8,3757;8,4537;8,5301;8,5453;8,3927;8,27;8,138;7,8453;7,9145;7,9147;7,7237;8,61;0,8862;8,2e-07;1,7e-05
"56176";"Pigp";"16";"phosphatidylinositol glycan anchor biosynthesis, class P";"Cluster_3";7,7997;7,9412;8,0597;8,1119;8,1072;8,2084;8,3168;8,1328;7,9457;8,0064;7,8675;7,8685;7,6521;8,6519;0,9998;0,0032;0,013
"56878";"Rbms1";"2";"RNA binding motif, single stranded interacting protein 1";"Cluster_3";7,6933;7,6571;7,8448;7,8938;8,1784;8,0934;8,0238;7,8726;7,5494;7,5439;7,6381;7,6178;7,4148;8,3089;0,8941;8,4e-06;0,00011
"57813";"Tk2";"8";"thymidine kinase 2, mitochondrial";"Cluster_3";7,9291;7,7391;7,9323;7,9411;7,991;8,0088;7,9823;7,8654;7,8664;7,5968;7,6888;7,7238;7,5467;8,0853;0,5386;0,00011;0,00085
"59005";"Trappc2l";"8";"trafficking protein particle complex 2-like";"Cluster_3";8,3129;8,306;8,3829;8,4563;8,5894;8,5852;8,6481;8,5529;8,4073;8,2413;8,1882;8,2087;8,107;8,7249;0,6179;2,6e-07;7,1e-06
"64384";"Sirt3";"7";"sirtuin 3";"Cluster_3";9,5325;9,562;9,6861;9,7405;10,0373;9,9447;9,6838;9,779;9,7154;9,5021;9,5;9,4486;9,288;10,0614;0,7734;0,0015;0,0068
"64602";"Ireb2";"9";"iron responsive element binding protein 2";"Cluster_3";7,0042;7,007;7,0322;7,1426;7,1809;7,1484;7,2501;7,1426;6,985;6,9954;7,0119;7,0269;6,9253;7,3077;0,3824;0,00015;0,0011
"66241";"Tmem9";"1";"transmembrane protein 9";"Cluster_3";7,4904;7,4577;7,5289;7,5782;7,7212;7,7217;7,7525;7,6856;7,4508;7,3444;7,3834;7,4145;7,2736;7,95;0,6765;0,00074;0,0038
"66388";"Cutc";"19";"cutC copper transporter homolog (E.coli)";"Cluster_3";7,9941;8,0303;8,0565;8,2002;8,3106;8,2428;8,2671;8,1104;7,9564;8,0561;8,0325;7,9234;7,7907;8,4866;0,6959;0,0015;0,0068
"66687";"Tbc1d15";"10";"TBC1 domain family, member 15";"Cluster_3";8,0371;8,086;8,1071;8,2178;8,364;8,3519;8,4612;8,39;7,9802;7,8657;7,8743;7,8758;7,7335;8,5212;0,7876;1e-05;0,00013
"67118";"Bfar";"16";"bifunctional apoptosis regulator";"Cluster_3";7,9512;7,9206;7,9826;7,989;8,1578;8,1269;8,1135;8,0799;7,8885;7,8502;7,7394;7,7334;7,5289;8,3185;0,7896;0,0091;0,029
"69993";"Chn2";"6";"chimerin 2";"Cluster_3";7,889;7,9347;7,9837;8,0309;8,2312;8,3054;8,2832;7,9645;7,8626;8,0651;8,0558;7,9523;7,7572;8,3827;0,6255;0,00028;0,0017
"70237";"Bhlhb9";"X";"basic helix-loop-helix domain containing, class B9";"Cluster_3";6,8876;6,9033;7,035;7,0619;7,1648;7,2239;7,4397;7,1274;7,0208;6,953;6,8689;6,9033;6,7859;7,5298;0,7438;6,8e-07;1,5e-05
"71648";"Optn";"2";"optineurin";"Cluster_3";7,5932;7,6506;7,7027;7,8211;7,9074;7,9104;7,9275;7,7323;7,5947;7,7079;7,6475;7,6107;7,539;8,0105;0,4715;1,7e-06;3e-05
"71801";"Plekhf2";"4";"pleckstrin homology domain containing, family F (with FYVE domain) member 2";"Cluster_3";7,5295;7,5149;7,5791;7,6963;7,7908;7,6812;7,7822;7,6796;7,5861;7,6777;7,588;7,5642;7,4361;7,8339;0,3978;6,6e-06;9,2e-05
"74277";"Chic2";"5";"cysteine-rich hydrophobic domain 2";"Cluster_3";7,7988;7,8673;7,9343;7,9765;8,1948;8,2111;8,3152;7,9548;7,7711;7,8323;7,847;7,841;7,6731;8,4474;0,7743;3,6e-05;0,00035
