"";"Symbol";"Type";"Title";"Cluster";"Breast";"CNS";"Colon";"Blood";"Skin";"Lung";"Ovary";"Prostate";"Kidney";"Min";"Max";"Range";"pANOVA";"FDR"
"79977";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79977"" target=""_blank"">GRHL2</a>";"protein-coding";"grainyhead-like transcription factor 2";"Cluster_2";4,114;2,6933;4,4829;2,62;2,672;3,09;3,3329;2,735;2,6863;2,44;6,68;4,24;0,0053;0,013
"85379";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=85379"" target=""_blank"">KIAA1671</a>";"protein-coding";"KIAA1671";"Cluster_2";5,448;5,18;6,5786;5,0267;5,279;6,0156;5,9729;5,92;5,8688;4,41;6,91;2,5;2,6e-09;1,1e-07
"89944";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=89944"" target=""_blank"">GLB1L2</a>";"protein-coding";"galactosidase, beta 1-like 2";"Cluster_2";5,862;5,405;6,8657;5,8983;5,893;5,7133;5,7914;5,88;5,5888;5,26;7,84;2,58;1,1e-06;1,4e-05
"94234";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=94234"" target=""_blank"">FOXQ1</a>";"protein-coding";"forkhead box Q1";"Cluster_2";3,486;3,3617;5,7229;3,4067;3,305;3,8911;3,6486;3,44;3,5612;3,05;8,74;5,69;3,2e-06;3,1e-05
"114569";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=114569"" target=""_blank"">MAL2</a>";"protein-coding";"mal, T-cell differentiation protein 2 (gene/pseudogene)";"Cluster_2";3,662;2,3967;5,7157;2,4233;2,456;3,34;4,7357;5,755;4,7925;2,21;7,75;5,54;8,2e-05;0,00044
"118471";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=118471"" target=""_blank"">PRAP1</a>";"protein-coding";"proline-rich acidic protein 1";"Cluster_2";5,64;5,3517;6,5271;5,455;5,473;5,6667;5,6529;5,865;5,5712;5,06;8,59;3,53;0,0042;0,011
"119467";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=119467"" target=""_blank"">CLRN3</a>";"protein-coding";"clarin 3";"Cluster_2";3,952;4,0317;5,8329;4,1367;4,11;4,0744;4,0186;4,07;4,0912;3,68;7,87;4,19;9,7e-07;1,2e-05
"120224";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=120224"" target=""_blank"">TMEM45B</a>";"protein-coding";"transmembrane protein 45B";"Cluster_2";3,202;2,7483;4,0029;2,7533;2,725;3,0467;2,9386;3,5;2,7563;2,5;5,23;2,73;0,00059;0,0023
"124976";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=124976"" target=""_blank"">SPNS2</a>";"protein-coding";"spinster homolog 2 (Drosophila)";"Cluster_2";6,544;6,4;7,9643;6,5517;6,444;6,4767;6,7729;6,495;7,335;6,05;8,99;2,94;1,9e-07;3,7e-06
"126353";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=126353"" target=""_blank"">MISP</a>";"protein-coding";"mitotic spindle positioning";"Cluster_2";5,83;5,3917;7,0786;5,4083;5,409;6,1;6,2643;6,47;5,5388;4,99;7,51;2,52;3,3e-07;5,8e-06
"127845";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=127845"" target=""_blank"">GOLT1A</a>";"protein-coding";"golgi transport 1A";"Cluster_2";4,554;3,84;5,7357;3,555;3,895;4,5533;4,2571;4,775;3,8625;3,25;7,02;3,77;5,6e-07;8,6e-06
"200634";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=200634"" target=""_blank"">KRTCAP3</a>";"protein-coding";"keratinocyte associated protein 3";"Cluster_2";6,642;6,3183;8,2357;6,3683;6,402;6,3189;6,6014;6,77;6,37;6,08;9,63;3,55;2,2e-09;9,7e-08
"200958";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=200958"" target=""_blank"">MUC20</a>";"protein-coding";"mucin 20, cell surface associated";"Cluster_2";5,254;5,0917;6,1;5,07;5,112;5,12;5,3371;5,06;5,1137;4,79;7,44;2,65;0,0014;0,0043
"255738";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=255738"" target=""_blank"">PCSK9</a>";"protein-coding";"proprotein convertase subtilisin/kexin type 9";"Cluster_2";4,418;4,0817;5,4671;4,235;4,186;4,2856;4,4671;4,32;4,1562;3,69;7,57;3,88;0,00043;0,0017
"644844";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=644844"" target=""_blank"">PHGR1</a>";"protein-coding";"proline/histidine/glycine-rich 1";"Cluster_2";3,092;3,0983;5,5957;2,93;3,08;3,0856;3,0614;3,175;2,9425;2,71;11,06;8,35;0,00014;0,00069
"100";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=100"" target=""_blank"">ADA</a>";"protein-coding";"adenosine deaminase";"Cluster_3";5,964;6,0217;6,4857;7,9783;6,507;6,3144;6,6086;6,04;6,4575;5,51;11,17;5,66;0,0085;0,018
"241";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=241"" target=""_blank"">ALOX5AP</a>";"protein-coding";"arachidonate 5-lipoxygenase-activating protein";"Cluster_3";3,836;3,83;3,9086;4,8817;3,731;3,7944;3,7029;3,745;4,2575;3,45;6,86;3,41;0,00013;0,00066
"393";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=393"" target=""_blank"">ARHGAP4</a>";"protein-coding";"Rho GTPase activating protein 4";"Cluster_3";6,232;6,04;6,4714;7,6483;6,463;6,3244;6,2986;6,05;6,1875;5,55;8,08;2,53;7,5e-06;6,2e-05
"397";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=397"" target=""_blank"">ARHGDIB</a>";"protein-coding";"Rho GDP dissociation inhibitor (GDI) beta";"Cluster_3";4,89;4,7567;4,4286;8,5167;4,879;5,2222;5,2986;4,125;4,5125;3,83;10,71;6,88;1,3e-05;9,6e-05
"399";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=399"" target=""_blank"">RHOH</a>";"protein-coding";"ras homolog family member H";"Cluster_3";3,284;3,1317;3,3014;5,5483;3,136;3,1478;3,0186;3,1;3,0612;2,78;8,28;5,5;1,8e-07;3,4e-06
"913";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=913"" target=""_blank"">CD1E</a>";"protein-coding";"CD1e molecule";"Cluster_3";3,384;3,2683;3,28;4,5967;3,353;3,2033;3,3843;3,095;3,3375;2,95;7,72;4,77;0,0069;0,016
"915";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=915"" target=""_blank"">CD3D</a>";"protein-coding";"CD3d molecule, delta (CD3-TCR complex)";"Cluster_3";3,416;3,3283;3,4571;6,625;3,348;3,39;3,35;3,135;3,4213;3,06;9,95;6,89;1,5e-07;3e-06
"916";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=916"" target=""_blank"">CD3E</a>";"protein-coding";"CD3e molecule, epsilon (CD3-TCR complex)";"Cluster_3";5,766;5,71;5,6557;6,8017;5,709;5,6311;5,6729;5,56;5,6913;5,33;9,08;3,75;0,0078;0,017
"917";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=917"" target=""_blank"">CD3G</a>";"protein-coding";"CD3g molecule, gamma (CD3-TCR complex)";"Cluster_3";3,35;3,2533;3,2329;4,3167;3,289;3,2533;3,2329;3,21;3,3113;2,99;6,3;3,31;0,0045;0,011
"919";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=919"" target=""_blank"">CD247</a>";"protein-coding";"CD247 molecule";"Cluster_3";4,276;4,205;4,2586;6,3233;4,303;4,2278;4,2129;4,345;4,215;3,81;8,37;4,56;9e-06;7,2e-05
"963";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=963"" target=""_blank"">CD53</a>";"protein-coding";"CD53 molecule";"Cluster_3";2,934;2,8883;2,9986;5,7417;2,991;2,8867;2,9157;3,2;3,0125;2,75;6,81;4,06;2,3e-30;7,1e-27
"1043";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1043"" target=""_blank"">CD52</a>";"protein-coding";"CD52 molecule";"Cluster_3";3,352;3,12;3,2786;4,4533;3,351;3,2611;3,2029;3,145;3,2675;2,86;6,66;3,8;0,00051;0,002
"1102";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1102"" target=""_blank"">RCBTB2</a>";"protein-coding";"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2";"Cluster_3";2,904;2,9567;2,6529;4,4567;3,013;2,6867;2,8257;2,69;2,8638;2,37;7,72;5,35;0,00072;0,0026
"1511";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1511"" target=""_blank"">CTSG</a>";"protein-coding";"cathepsin G";"Cluster_3";5,298;5,1217;5,2257;6,125;5,359;5,1511;5,1857;5,46;5,195;4,88;8,45;3,57;0,0095;0,02
"1794";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1794"" target=""_blank"">DOCK2</a>";"protein-coding";"dedicator of cytokinesis 2";"Cluster_3";3,668;3,775;3,4371;6,8383;3,516;3,5211;3,6929;3,395;4,7888;3,11;8,17;5,06;3e-11;2,6e-09
"2533";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2533"" target=""_blank"">FYB</a>";"protein-coding";"FYN binding protein";"Cluster_3";3,476;3,4583;3,4314;4,92;3,822;3,5967;3,2843;3,41;3,35;3,06;7,31;4,25;4,5e-05;0,00027
"2769";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2769"" target=""_blank"">GNA15</a>";"protein-coding";"guanine nucleotide binding protein (G protein), alpha 15 (Gq class)";"Cluster_3";4,812;4,035;4,7886;6,8083;4,083;4,8044;4,8957;4,38;4,39;3,74;8,87;5,13;3e-04;0,0013
"3059";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3059"" target=""_blank"">HCLS1</a>";"protein-coding";"hematopoietic cell-specific Lyn substrate 1";"Cluster_3";5,05;5,015;5,0714;8,72;5,086;5,2111;5,1357;4,945;5,0925;4,66;9,5;4,84;1,6e-26;2,5e-23
"3543";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3543"" target=""_blank"">IGLL1</a>";"protein-coding";"immunoglobulin lambda-like polypeptide 1";"Cluster_3";2,744;2,5717;2,4929;5,2117;2,57;2,5333;2,4614;2,57;2,55;2,14;8,71;6,57;9,4e-05;5e-04
"3561";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3561"" target=""_blank"">IL2RG</a>";"protein-coding";"interleukin 2 receptor, gamma";"Cluster_3";6,536;6,4417;6,4157;8,3817;6,48;6,5511;6,3957;6,415;6,425;5,99;10,72;4,73;2,8e-07;5e-06
"3932";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3932"" target=""_blank"">LCK</a>";"protein-coding";"LCK proto-oncogene, Src family tyrosine kinase";"Cluster_3";4,706;4,5967;5,9271;6,05;4,637;4,5856;4,64;4,63;4,6288;4,3;9,32;5,02;0,0098;0,021
"3936";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3936"" target=""_blank"">LCP1</a>";"protein-coding";"lymphocyte cytosolic protein 1 (L-plastin)";"Cluster_3";4,148;3,6783;4,0014;7,735;4,774;4,0122;4,0029;3,52;3,885;3,2;8,52;5,32;4,7e-08;1,2e-06
"3937";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3937"" target=""_blank"">LCP2</a>";"protein-coding";"lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)";"Cluster_3";3,042;2,98;2,8386;4,4983;3,406;2,8256;2,9271;2,885;2,8688;2,54;5,47;2,93;3,9e-09;1,6e-07
"4033";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4033"" target=""_blank"">LRMP</a>";"protein-coding";"lymphoid-restricted membrane protein";"Cluster_3";3,478;3,3733;3,36;4,65;3,367;3,3911;3,2657;3,45;3,4462;3,1;5,88;2,78;6,1e-07;8,9e-06
"4046";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4046"" target=""_blank"">LSP1</a>";"protein-coding";"lymphocyte-specific protein 1";"Cluster_3";4,158;4,5167;3,8743;6,015;4,049;3,8378;3,82;4,015;3,9013;3,54;7,95;4,41;5,4e-06;4,8e-05
"4068";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4068"" target=""_blank"">SH2D1A</a>";"protein-coding";"SH2 domain containing 1A";"Cluster_3";2,848;2,82;2,7986;4,1033;2,8;2,7844;2,7886;2,84;2,7675;2,61;7,22;4,61;0,0045;0,011
"4925";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4925"" target=""_blank"">NUCB2</a>";"protein-coding";"nucleobindin 2";"Cluster_3";3,844;3,415;3,2586;4,3517;2,992;3,4111;3,1514;3,13;3,2513;2,55;6,36;3,81;0,0011;0,0037
"5778";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5778"" target=""_blank"">PTPN7</a>";"protein-coding";"protein tyrosine phosphatase, non-receptor type 7";"Cluster_3";5,428;5,28;5,3571;7,4533;5,365;5,3778;5,45;5,37;5,3463;5,1;8,1;3;1,2e-18;7,5e-16
"5790";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5790"" target=""_blank"">PTPRCAP</a>";"protein-coding";"protein tyrosine phosphatase, receptor type, C-associated protein";"Cluster_3";6,188;5,9933;6,1343;8,07;6,144;5,9822;6,0586;6,06;6,0525;5,66;9,78;4,12;9,6e-08;2,1e-06
"7409";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7409"" target=""_blank"">VAV1</a>";"protein-coding";"vav 1 guanine nucleotide exchange factor";"Cluster_3";3,802;3,4;3,6071;5,2167;3,496;3,8278;4,2529;3,95;3,6088;3,24;6,2;2,96;4,1e-08;1,1e-06
"7454";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7454"" target=""_blank"">WAS</a>";"protein-coding";"Wiskott-Aldrich syndrome";"Cluster_3";3,778;3,5467;3,8729;7,3917;3,627;3,4456;3,5929;3,62;3,7575;2,69;8,3;5,61;9,6e-23;1e-19
"7535";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7535"" target=""_blank"">ZAP70</a>";"protein-coding";"zeta-chain (TCR) associated protein kinase 70kDa";"Cluster_3";5,968;5,8817;5,8671;7,2283;5,827;5,8278;5,8386;5,81;5,9175;5,62;9,27;3,65;0,00016;0,00076
"7805";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7805"" target=""_blank"">LAPTM5</a>";"protein-coding";"lysosomal protein transmembrane 5";"Cluster_3";5,05;4,965;5,0271;7,2233;5,072;5,2889;4,9343;4,85;4,905;4,59;8,97;4,38;6,3e-07;9,1e-06
"7852";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7852"" target=""_blank"">CXCR4</a>";"protein-coding";"chemokine (C-X-C motif) receptor 4";"Cluster_3";3,666;3,6617;3,64;6,58;3,631;3,6167;4,37;3,69;3,9212;3,23;9,07;5,84;5,8e-06;5e-05
"8418";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8418"" target=""_blank"">CMAHP</a>";"pseudo";"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene";"Cluster_3";3,316;3,1217;2,8971;4,0117;3,016;3,0233;2,9486;2,815;2,9225;2,56;5,07;2,51;0,0011;0,0037
"8854";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8854"" target=""_blank"">ALDH1A2</a>";"protein-coding";"aldehyde dehydrogenase 1 family, member A2";"Cluster_3";4,718;4,65;4,8214;6,5267;4,813;5,0333;4,7843;5,365;4,8425;4,45;8,52;4,07;0,00031;0,0013
"9402";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9402"" target=""_blank"">GRAP2</a>";"protein-coding";"GRB2-related adaptor protein 2";"Cluster_3";4,74;4,4383;4,4271;5,5367;4,555;4,4444;4,3857;4,205;4,4713;3,88;6,99;3,11;0,00062;0,0023
"9452";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9452"" target=""_blank"">ITM2A</a>";"protein-coding";"integral membrane protein 2A";"Cluster_3";2,494;2,53;2,38;5,505;3,037;2,4656;2,7029;2,54;2,5587;2,11;9,61;7,5;8,6e-05;0,00046
"9459";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9459"" target=""_blank"">ARHGEF6</a>";"protein-coding";"Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6";"Cluster_3";5,114;5,7617;4,7814;6,81;5,17;4,9344;4,79;4,76;5,3362;4,5;8,45;3,95;1,7e-06;1,9e-05
"9535";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9535"" target=""_blank"">GMFG</a>";"protein-coding";"glia maturation factor, gamma";"Cluster_3";4,056;3,935;4,2514;7,4217;4,101;4,2633;4,4671;4,075;3,9875;3,73;9,06;5,33;8,6e-11;6,1e-09
"10788";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10788"" target=""_blank"">IQGAP2</a>";"protein-coding";"IQ motif containing GTPase activating protein 2";"Cluster_3";3,286;3,355;3,68;4,835;3,43;3,2333;3,76;3,37;3,295;3,02;5,86;2,84;1,9e-06;2,1e-05
"11151";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11151"" target=""_blank"">CORO1A</a>";"protein-coding";"coronin, actin binding protein, 1A";"Cluster_3";6,914;7,0883;7,5029;10,2867;6,801;6,9289;6,9086;7,01;6,7588;6,34;11,73;5,39;6,3e-11;4,9e-09
"50619";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=50619"" target=""_blank"">DEF6</a>";"protein-coding";"DEF6 guanine nucleotide exchange factor";"Cluster_3";5,656;5,0817;5,57;6,585;5,237;5,1278;5,3714;5,15;5,085;4,69;7,16;2,47;1,4e-08;4,2e-07
"51237";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51237"" target=""_blank"">MZB1</a>";"protein-coding";"marginal zone B and B1 cell-specific protein";"Cluster_3";5,978;5,7867;5,9443;7,7933;6,02;6,09;5,8171;6,165;5,9238;5,25;11,02;5,77;0,0011;0,0037
"53335";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=53335"" target=""_blank"">BCL11A</a>";"protein-coding";"B-cell CLL/lymphoma 11A (zinc finger protein)";"Cluster_3";3,484;4,0133;4,1671;5,4017;3,883;3,66;4,0929;3,73;3,5412;3,19;7,37;4,18;0,0012;0,0039
"54440";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54440"" target=""_blank"">SASH3</a>";"protein-coding";"SAM and SH3 domain containing 3";"Cluster_3";4,288;4,16;4,1714;5,7233;4,216;4,15;4,2043;4,205;4,2037;3,91;7,96;4,05;0,00011;0,00055
"55843";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55843"" target=""_blank"">ARHGAP15</a>";"protein-coding";"Rho GTPase activating protein 15";"Cluster_3";2,91;2,89;2,9114;4,6167;3,083;2,9089;2,8971;2,955;2,8137;2,57;5,59;3,02;6,4e-14;1,4e-11
"63940";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=63940"" target=""_blank"">GPSM3</a>";"protein-coding";"G-protein signaling modulator 3";"Cluster_3";5,844;5,3967;5,49;7,4033;6,193;5,8667;5,77;5,705;5,6962;5,1;8,26;3,16;1,4e-07;2,9e-06
"64005";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64005"" target=""_blank"">MYO1G</a>";"protein-coding";"myosin IG";"Cluster_3";5,834;5,67;5,8971;7,48;5,855;5,7633;5,8229;5,785;5,765;5,41;9,35;3,94;5,9e-07;8,7e-06
"64333";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64333"" target=""_blank"">ARHGAP9</a>";"protein-coding";"Rho GTPase activating protein 9";"Cluster_3";3,584;3,4967;3,6529;4,6917;3,533;3,6211;3,6114;3,485;3,5088;3,14;6,02;2,88;6,8e-05;0,00038
"79037";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79037"" target=""_blank"">PVRIG</a>";"protein-coding";"poliovirus receptor related immunoglobulin domain containing";"Cluster_3";5,144;5,1967;5,2171;6,6317;5,167;5,2011;5,3229;5;5,2337;4,71;9,36;4,65;0,0013;0,0042
"83593";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=83593"" target=""_blank"">RASSF5</a>";"protein-coding";"Ras association (RalGDS/AF-6) domain family member 5";"Cluster_3";3,106;3,2933;3,5543;5,5433;3,124;3,2322;3,2329;3,185;3,175;2,77;6,96;4,19;8,7e-17;3,9e-14
"92241";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=92241"" target=""_blank"">RCSD1</a>";"protein-coding";"RCSD domain containing 1";"Cluster_3";3,308;3,145;3,1957;5,3917;3,123;3,3511;3,1586;3,155;3,12;2,9;7,35;4,45;2,1e-11;1,9e-09
"285313";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=285313"" target=""_blank"">IGSF10</a>";"protein-coding";"immunoglobulin superfamily, member 10";"Cluster_3";4,516;4,5217;4,66;5,4917;4,451;4,3644;4,17;4,63;4,5862;3,04;6,45;3,41;5e-04;0,002
"286530";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=286530"" target=""_blank"">P2RY8</a>";"protein-coding";"purinergic receptor P2Y, G-protein coupled, 8";"Cluster_3";3,786;3,6667;3,6443;5,9317;3,788;3,7056;3,6029;3,805;3,7325;3,33;7,23;3,9;5,4e-08;1,3e-06
"339541";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=339541"" target=""_blank"">C1orf228</a>";"protein-coding";"chromosome 1 open reading frame 228";"Cluster_3";6,498;6,41;6,5371;7,7983;6,485;6,5011;6,5671;6,45;6,52;6,02;9,68;3,66;0,00024;0,0011
"474344";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=474344"" target=""_blank"">GIMAP6</a>";"protein-coding";"GTPase, IMAP family member 6";"Cluster_3";2,554;2,3983;2,4414;3,4467;2,451;2,3867;2,4686;2,37;2,4288;2,17;5,25;3,08;0,0027;0,0074
"2526";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2526"" target=""_blank"">FUT4</a>";"protein-coding";"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)";"Cluster_4";3,32;3,3733;4,9429;4,5083;3,331;3,4267;3,7057;3,655;3,795;2,86;6,69;3,83;3,4e-05;0,00021
"2971";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2971"" target=""_blank"">GTF3A</a>";"protein-coding";"general transcription factor IIIA";"Cluster_4";7,31;7,3233;8,0257;8,3567;7,291;7,4056;7,2329;7,205;7,1037;6,45;8,77;2,32;5,7e-05;0,00033
"4609";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4609"" target=""_blank"">MYC</a>";"protein-coding";"v-myc avian myelocytomatosis viral oncogene homolog";"Cluster_4";6,882;6,625;7,4514;8,0383;7,048;6,9067;6,7443;7,44;6,9562;6,3;9,54;3,24;2,2e-05;0,00014
"5777";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5777"" target=""_blank"">PTPN6</a>";"protein-coding";"protein tyrosine phosphatase, non-receptor type 6";"Cluster_4";4,924;4,5867;5,6529;5,83;4,672;4,98;5,0986;5,175;5,0388;4,13;7,78;3,65;2,6e-05;0,00017
"6850";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6850"" target=""_blank"">SYK</a>";"protein-coding";"spleen tyrosine kinase";"Cluster_4";3,842;3,6833;5,3771;4,875;3,793;3,6589;4,0386;3,83;3,865;3,27;6,92;3,65;5,1e-06;4,6e-05
"7133";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7133"" target=""_blank"">TNFRSF1B</a>";"protein-coding";"tumor necrosis factor receptor superfamily, member 1B";"Cluster_4";6,092;6,0533;6,6557;6,7983;5,981;6,1;5,9071;6,065;6,0537;5,72;7,98;2,26;0,0041;0,01
"7464";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7464"" target=""_blank"">CORO2A</a>";"protein-coding";"coronin, actin binding protein, 2A";"Cluster_4";4,442;4,4033;5,3086;5,0583;4,296;4,5111;4,4714;4,455;4,3475;3,95;6,57;2,62;0,0029;0,0077
"10131";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10131"" target=""_blank"">TRAP1</a>";"protein-coding";"TNF receptor-associated protein 1";"Cluster_4";8,142;7,7833;9,4686;9,06;8,548;8,5056;8,6557;8,82;8,59;6,87;9,97;3,1;9,2e-06;7,3e-05
"10464";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10464"" target=""_blank"">PIBF1</a>";"protein-coding";"progesterone immunomodulatory binding factor 1";"Cluster_4";4,322;4,6367;5,4329;4,895;4,555;4,4389;4,6814;4,43;4,305;3,4;6,38;2,98;0,0052;0,012
"23483";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23483"" target=""_blank"">TGDS</a>";"protein-coding";"TDP-glucose 4,6-dehydratase";"Cluster_4";3,798;4,33;5,3729;5,0033;4,526;4,0822;4,1486;3,86;3,9375;3,17;6,38;3,21;8,4e-06;6,9e-05
"29880";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=29880"" target=""_blank"">ALG5</a>";"protein-coding";"ALG5, dolichyl-phosphate beta-glucosyltransferase";"Cluster_4";6,848;6,505;7,4057;7,3733;6,696;6,7978;6,61;6,42;6,3963;5,68;9,46;3,78;0,0034;0,009
"55342";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55342"" target=""_blank"">STRBP</a>";"protein-coding";"spermatid perinuclear RNA binding protein";"Cluster_4";4,082;3,91;4,8457;4,9167;3,949;4,0567;4,3243;3,975;4,205;3,26;5,9;2,64;0,0046;0,011
"60488";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=60488"" target=""_blank"">MRPS35</a>";"protein-coding";"mitochondrial ribosomal protein S35";"Cluster_4";7,298;7,0483;8,4286;8,045;7,568;7,89;7,3486;7,455;7,6363;6,11;8,95;2,84;0,0032;0,0086
"84842";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=84842"" target=""_blank"">HPDL</a>";"protein-coding";"4-hydroxyphenylpyruvate dioxygenase-like";"Cluster_4";4,72;4,5083;5,6429;5,5117;4,615;4,9222;4,9629;4,805;4,5488;4,22;7,18;2,96;0,0037;0,0096
"84941";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=84941"" target=""_blank"">HSH2D</a>";"protein-coding";"hematopoietic SH2 domain containing";"Cluster_4";4,502;4,41;5,8643;6,165;4,233;4,3989;4,3557;4,23;4,4062;3,83;9,29;5,46;1,7e-05;0,00012
"407975";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=407975"" target=""_blank"">MIR17HG</a>";"ncRNA";"miR-17-92 cluster host gene";"Cluster_4";4,176;4,045;4,55;5,4883;4,182;4,3033;4,2243;4,175;4,1625;3,81;7,65;3,84;0,00052;0,002
"890";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=890"" target=""_blank"">CCNA2</a>";"protein-coding";"cyclin A2";"Cluster_5";7,952;7,8683;8,0914;8,4833;7,368;7,8144;8,0257;7,55;7,9488;6,6;9,31;2,71;0,003;0,008
"2146";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2146"" target=""_blank"">EZH2</a>";"protein-coding";"enhancer of zeste 2 polycomb repressive complex 2 subunit";"Cluster_5";7,256;7,3633;7,5543;8,2083;7,015;6,9856;7,6029;7,21;7,1837;5,9;8,89;2,99;0,0021;0,006
