"";"Symbol";"Type";"Title";"Cluster";"Breast_GSM133995";"Breast_GSM134000";"Breast_GSM134005";"Breast_GSM134010";"Breast_GSM134015";"CNS_GSM134020";"CNS_GSM134025";"CNS_GSM134030";"CNS_GSM134035";"CNS_GSM134040";"CNS_GSM134045";"Colon_GSM134050";"Colon_GSM134055";"Colon_GSM134060";"Colon_GSM134065";"Colon_GSM134070";"Colon_GSM134075";"Colon_GSM134080";"Blood_GSM134085";"Blood_GSM134090";"Blood_GSM134095";"Blood_GSM134100";"Blood_GSM134105";"Blood_GSM134110";"Skin_GSM134115";"Skin_GSM134120";"Skin_GSM134125";"Skin_GSM134130";"Skin_GSM134135";"Skin_GSM134140";"Skin_GSM134145";"Skin_GSM134150";"Skin_GSM134155";"Skin_GSM134160";"Lung_GSM134165";"Lung_GSM134170";"Lung_GSM134175";"Lung_GSM134180";"Lung_GSM134185";"Lung_GSM134190";"Lung_GSM134195";"Lung_GSM134200";"Lung_GSM134209";"Ovary_GSM134214";"Ovary_GSM134219";"Ovary_GSM134224";"Ovary_GSM134229";"Ovary_GSM134234";"Ovary_GSM134239";"Ovary_GSM134244";"Prostate_GSM134249";"Prostate_GSM134254";"Kidney_GSM134259";"Kidney_GSM134264";"Kidney_GSM134269";"Kidney_GSM134274";"Kidney_GSM134279";"Kidney_GSM134284";"Kidney_GSM134289";"Kidney_GSM134294"
"26499";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=26499"" target=""_blank"">PLEK2</a>";"protein-coding";"pleckstrin 2";"Cluster_2";-0,4302;0,036;-0,9308;-0,9136;-0,1367;-1,3884;-1,2157;-0,9654;-0,551;-1,1121;-1,0258;2,4962;1,3999;1,0718;0,5107;1,1236;2,5479;1,2013;-0,9999;-1,0862;-1,2243;-0,8532;-0,4388;-1,0949;2,3235;-0,7323;-1,2157;0,3985;-0,8014;-0,8532;-0,9308;-0,6978;-1,1553;-0,9049;-0,1971;-0,3007;1,1064;0,4417;-0,3266;-0,223;1,2617;-0,4215;-1,0517;-0,5769;0,6143;-0,128;1,4085;0,1309;0,4762;0,4589;1,1754;0,5712;0,8819;-0,0676;0,4676;-0,2316;0,5625;0,5539;1,1582;0,8042
"51361";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51361"" target=""_blank"">HOOK1</a>";"protein-coding";"hook microtubule-tethering protein 1";"Cluster_2";0,0313;-0,7184;-0,6263;-0,9157;0,0313;-0,6132;-1,2972;-1,0078;-0,6526;-0,942;-0,7447;2,9515;1,9649;1,202;2,6489;0,3602;0,8337;1,6756;-0,2712;-0,6;-0,9946;-0,4816;1,4519;-0,5869;-0,4816;-0,5869;-0,5079;0,2418;-0,6658;-0,9552;-0,6921;-0,3633;-0,429;-0,5474;-0,5474;-0,6132;-0,3764;-0,8368;-0,9815;0,518;0,1234;-0,7316;-1,0341;2,0965;0,0313;1,8597;0,005;0,2681;0,9126;0,7285;-0,3764;-0,0607;-0,2317;-0,7973;0,2023;1,6492;-0,5737;-0,8631;1,0705;0,8469
"51599";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51599"" target=""_blank"">LSR</a>";"protein-coding";"lipolysis stimulated lipoprotein receptor";"Cluster_2";0,3699;0,1631;-0,8059;-0,6897;0,919;-1,3615;-1,129;-0,2956;-1,1742;-1,0902;-1,2065;1,5263;1,8299;1,6167;1,5263;1,8493;1,3389;0,9578;-1,3422;-1,2776;1,1451;-1,2259;-0,1405;-0,9158;-0,9287;-0,6767;-1,0191;0,0662;-0,063;-1,0385;-0,709;-0,9416;-0,8253;-0,6315;-0,231;0,5378;0,5249;-0,961;0,4926;0,2665;1,9204;-1,0385;0,5378;0,9642;1,7524;1,4552;0,7381;0,4215;0,4151;0,6412;-0,8641;0,7381;-0,4119;0,5766;-0,063;-1,3034;-0,4377;-1,1742;0,6735;0,0081
"54682";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54682"" target=""_blank"">MANSC1</a>";"protein-coding";"MANSC domain containing 1";"Cluster_2";-0,2838;-0,3197;-0,6254;-1,0389;0,0399;-0,7692;0,0938;-0,3197;-0,8052;-0,6254;0,9928;5,3439;1,676;-0,3737;0,1657;1,4063;2,3053;0,6152;-0,6074;-0,5894;0,0219;-0,4276;-0,1399;-0,6434;-0,6614;2,0895;0,0758;0,6871;0,2736;0,2376;-0,1939;0,1477;0,759;-0,6614;-0,3377;0,1298;-0,3018;-0,8412;-0,4995;-0,4636;0,5792;-0,3917;-0,8232;0,9029;0,0938;-0,05;-0,5175;-0,6074;-0,2838;-0,086;-0,5715;-0,3737;-0,0321;-0,7872;-0,6434;0,5792;-0,6614;-0,6254;-0,7872;-0,4456
"54894";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54894"" target=""_blank"">RNF43</a>";"protein-coding";"ring finger protein 43";"Cluster_2";1,0407;-0,5852;-0,7659;-0,4702;0,0224;-0,7987;-0,6673;-0,7659;-0,0925;-0,5031;-0,8972;3,4056;2,4695;2,0917;1,5826;3,6026;1,1556;1,5662;-0,2567;-0,5359;-0,7987;-0,733;-0,5359;-0,7659;-0,8151;0,121;0,4987;-0,4867;0,1538;0,0553;-0,1418;0,3016;0,0881;0,3673;1,5826;0,2359;-0,9794;-0,3717;-0,3717;-0,8151;-0,0925;-0,8808;-0,0597;-0,2403;-0,306;0,2031;0,0389;-0,618;-0,4538;-0,5688;0,1538;-0,3224;-0,306;-0,4374;-0,4046;-0,6673;-0,6837;-0,4374;-0,2403;-0,8644
"55107";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55107"" target=""_blank"">ANO1</a>";"protein-coding";"anoctamin 1, calcium activated chloride channel";"Cluster_2";0,0766;-0,434;-0,4733;-0,1591;0,2337;-0,2573;-0,2769;-0,434;-0,0609;-0,3162;-0,3947;3,3955;-0,1984;0,9603;-0,2965;4,9666;2,7278;1,9815;-0,3555;-0,1787;-0,218;0,0177;-0,5518;-0,1984;-0,4929;-0,3162;-0,1002;-0,6697;-0,3162;0,3712;-0,3555;-0,1984;-0,5715;-0,1002;-0,709;-0,0412;0,0373;-0,6108;-0,4144;-0,4537;1,8244;-0,0805;-0,1198;-0,1002;-0,2376;-0,3162;-0,3555;-0,4537;-0,3358;-0,5715;-0,3358;-0,1984;-0,3162;-0,3555;-0,4733;-0,5518;-0,5715;-0,3555;-0,5126;-0,1984
"55930";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55930"" target=""_blank"">MYO5C</a>";"protein-coding";"myosin VC";"Cluster_2";2,7147;-0,8247;-1,3012;-1,0459;2,1191;-1,0629;-0,9608;-0,7907;-0,6375;-0,7056;-0,042;1,7958;1,6426;1,4044;1,3874;1,8979;1,3193;1,8128;-0,5865;-0,8417;-0,9268;0,2303;0,2813;-1,0459;-0,8928;-0,3653;-0,042;-0,7056;-0,6886;-0,9268;-0,9779;-0,5865;-0,6546;-0,6716;0,8088;-0,4504;-0,1271;-1,0289;-0,1781;-0,5865;0,8769;0,5536;-0,4674;1,03;-0,2802;0,5196;2,1191;-0,6375;0,2133;-0,7056;0,6727;0,8939;-0,5865;-0,4504;0,2303;-0,3653;-0,5014;-0,6035;0,3494;-0,6205
"57111";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57111"" target=""_blank"">RAB25</a>";"protein-coding";"RAB25, member RAS oncogene family";"Cluster_2";1,7604;-0,5116;-0,1982;-0,3897;2,1609;-0,4071;-0,4593;-0,5029;-0,3462;-0,4332;-0,5812;2,3088;2,4916;1,6211;1,804;2,2044;2,6135;-0,5899;-0,2939;-0,0502;-0,2765;-0,3462;-0,2156;-0,2156;-0,8336;-0,3984;-0,5812;-0,5812;-0,3897;-0,5377;-0,5029;-0,3897;-0,5638;-0,6595;-0,3113;-0,4941;-0,3026;-0,4158;-0,5377;-0,7205;2,6831;-0,8336;-0,3984;-0,5464;1,5254;1,0379;-0,3723;-0,7988;-0,4767;-0,3113;-0,5029;-0,8511;-0,381;-0,3375;-0,3026;-0,3113;-0,2243;-0,4506;-0,616;-0,4593
"57402";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57402"" target=""_blank"">S100A14</a>";"protein-coding";"S100 calcium binding protein A14";"Cluster_2";1,8467;-0,4954;-0,309;-0,7168;-0,7401;-0,2624;-0,5653;-0,4138;-0,6003;-0,1575;-0,3439;0,6815;4,3752;1,5321;2,3244;1,334;3,0352;0,2503;-0,2857;-0,3905;-0,4138;-0,3206;-0,5071;-0,3439;-0,6818;-0,4255;-0,2507;-0,3206;-0,577;-0,4255;-0,4138;-0,309;-0,4721;-0,4138;-0,2973;-0,4488;-0,2507;-0,4138;-0,6119;-0,2041;2,2661;-0,5886;-0,3556;-0,274;0,2037;1,7884;-0,4022;-0,4605;-0,2041;-0,3789;-0,1808;-0,6352;-0,2857;-0,3439;-0,3206;-0,2973;-0,4255;-0,4371;-0,3556;-0,309
"57662";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57662"" target=""_blank"">CAMSAP3</a>";"protein-coding";"calmodulin regulated spectrin-associated protein family, member 3";"Cluster_2";2,0626;-1,2541;-1,0354;-0,5616;2,1902;-1,2905;-1,1994;-0,5616;0,222;-0,9078;-0,9261;2,4271;1,4248;0,9145;1,6435;1,2425;0,951;1,8621;-0,5434;-1,5457;-0,4705;-0,5251;0,1674;-0,5434;-1,0172;-1,0901;0,4954;-0,3794;-0,8349;0,058;-0,4705;-0,7438;-0,8349;-0,7438;-0,27;-0,2518;-0,4158;-0,8714;-0,6345;-0,3065;0,3314;-0,8896;0,9327;1,3883;0,7141;0,7323;0,1674;-0,5616;1,6435;0,55;0,7505;0,3496;-0,9261;0,4954;-0,9807;0,4589;-0,8167;-0,6345;1,3154;-0,4522
"58191";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=58191"" target=""_blank"">CXCL16</a>";"protein-coding";"chemokine (C-X-C motif) ligand 16";"Cluster_2";0,941;-0,8428;-0,8246;-0,861;2,3608;-0,2603;0,0673;-0,5151;0,4132;0,3768;-0,1147;0,5042;2,7612;1,0867;2,743;1,4689;1,1413;-0,5333;-1,0612;-1,225;-0,952;-0,7335;0,2676;-0,5515;-0,952;1,6327;0,122;-0,5333;0,0491;-0,0419;-1,043;-0,4241;-0,8064;-0,9884;0,2858;0,1038;-1,043;-1,1158;-0,3695;0,5042;2,4154;0,6316;0,0127;-0,1329;0,4678;2,1606;-0,5515;-0,0783;-0,5151;-0,6425;-0,5151;0,0491;-0,2785;-0,9338;-0,4059;-0,8246;-0,4059;-0,1693;-0,9156;-0,4059
"58495";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=58495"" target=""_blank"">OVOL2</a>";"protein-coding";"ovo-like zinc finger 2";"Cluster_2";0,0535;-0,7056;-0,7246;-0,1933;0,9264;-0,0794;-0,4779;-0,7626;-0,3071;-0,6677;-0,383;1,7235;2,084;-0,2881;1,6665;0,3571;2,3308;0,5089;0,3571;-0,7056;-0,4779;-0,0794;0,414;-0,0604;-1,0662;-0,9713;-0,0984;-0,44;-0,2881;-0,0035;-0,421;-0,8195;-0,44;-0,6867;-0,2692;-0,2692;-0,8385;-0,7626;-0,8385;-0,6867;3,0899;-0,5728;-0,0604;-0,0794;3,3935;2,3308;-0,3071;-0,8764;1,287;-0,6108;-0,3641;0,1294;0,2622;-0,6487;-0,6297;-0,0035;-0,9144;-0,5159;-0,0794;-0,44
"79152";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79152"" target=""_blank"">FA2H</a>";"protein-coding";"fatty acid 2-hydroxylase";"Cluster_2";0,8087;-0,6274;-0,6122;-0,3677;0,656;-0,7802;-0,5816;0,1212;0,549;-0,3677;-0,658;2,7033;1,2518;-0,2913;0,274;1,1754;4,3228;0,656;-0,4441;-0,4747;-0,9177;-0,4288;-0,5052;-0,8108;-0,8872;-0,4899;-0,8108;-1,0705;-0,7649;-0,5816;-0,8566;-0,383;-0,7038;-0,4899;1,7102;0,2893;-0,1232;0,9921;-0,6122;-0,7191;2,8866;-0,3371;0,0907;0,6407;-0,4594;-0,276;0,6407;-0,5358;0,4268;-0,6274;-0,0621;-0,1844;-0,4899;-0,9789;0,6254;-0,3524;-0,3524;-0,6122;0,4879;0,3198
"79170";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79170"" target=""_blank"">PRR15L</a>";"protein-coding";"proline rich 15-like";"Cluster_2";1,414;-0,4433;-0,5718;-0,5484;1,6943;-0,6068;-0,5484;-0,5017;-0,198;-0,3031;-0,5601;3,5516;3,5866;-0,233;3,4348;1,0402;2,4536;-0,198;-0,3031;-0,4433;-0,2214;-0,3031;-0,4082;-0,2214;-0,4783;-0,5951;-0,0578;-0,0345;0,0123;-0,2798;-0,4316;-0,233;-0,4783;-0,4199;-0,233;-0,2798;-0,6302;-0,3732;-0,6185;-0,49;1,192;-0,6185;0,094;-0,2564;0,1174;-0,2564;-0,3849;-0,198;-0,6652;-0,1629;-0,4082;-0,3615;-0,4316;-0,4783;-0,233;-0,5718;-0,4199;-0,198;-0,1863;-0,5134
"79574";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79574"" target=""_blank"">EPS8L3</a>";"protein-coding";"EPS8-like 3";"Cluster_2";1,1119;-0,5404;-0,6142;-0,3192;-0,1126;-0,7912;-0,5109;-0,5109;0,1382;-0,5995;-0,3192;3,7084;3,3691;-0,1716;0,0497;2,8084;0,4037;3,7674;-0,4077;-0,5847;-0,1569;-0,1126;-0,1274;-0,6142;-0,4814;-0,4962;1,0234;-0,3634;0,33;-0,8798;-0,2454;-0,2601;-0,1126;-0,2896;0,1087;-0,806;-0,629;-0,688;-0,2896;-0,0684;-0,747;0,0202;0,448;-0,3634;0,0349;-0,2454;-0,4224;-0,2601;0,1234;-0,2159;-0,0831;-0,7617;-0,4372;-0,1421;-0,1126;-0,1716;-0,3487;-0,1569;-0,3339;-0,5404
"79774";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79774"" target=""_blank"">GRTP1</a>";"protein-coding";"growth hormone regulated TBC protein 1";"Cluster_2";1,7304;-0,7218;-0,8694;-1,0353;1,3432;-0,4637;-1,2012;-0,6112;-0,6481;-0,814;-1,0353;2,3573;2,7998;1,5092;1,841;2,597;1,8595;0,9744;-0,5928;-0,4822;0,4397;-1,2197;-0,6297;-0,7218;-1,109;0,1447;-0,2978;0,0525;-0,2056;-0,4637;-0,5006;-0,7956;-0,685;-1,2012;-0,2425;0,0341;-0,7956;-0,7403;-0,0581;-0,1134;0,8638;-0,9062;-0,3346;0,7348;1,1773;0,4213;-0,4084;1,122;0,3107;0,4951;-0,1134;-0,7772;-0,814;-0,1318;-0,224;0,6426;-0,9984;0,1263;-0,0765;-0,5375
"79784";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79784"" target=""_blank"">MYH14</a>";"protein-coding";"myosin, heavy chain 14, non-muscle";"Cluster_2";0,8476;-0,7863;-0,3632;-0,5967;0,3662;-0,2611;-0,2611;-0,8155;-0,3924;-0,4945;-0,8884;1,9709;3,4297;0,5996;0,8184;2,7294;0,7892;-0,7279;-0,7571;-0,2465;-0,7279;-0,6404;-0,5967;-0,5967;-1,0343;0,833;0,016;0,1328;1,2852;0,8476;0,016;0,2495;-1,0051;-1,2823;0,3807;-0,2174;-0,2611;0,0015;-1,0635;-0,3924;1,8979;-0,1444;0,8622;-0,2611;0,3953;2,9045;0,3078;-1,1218;-0,1298;-0,4799;-0,5675;-0,5091;-0,6112;0,4683;-1,2385;-0,7134;-0,0715;-0,5091;-0,7571;-0,6258
"79977";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79977"" target=""_blank"">GRHL2</a>";"protein-coding";"grainyhead-like transcription factor 2";"Cluster_2";2,8545;-0,5039;-0,5843;-0,4325;2,9974;-0,5307;-0,5396;-0,3878;0,0052;-0,5218;-0,4414;2,3007;1,2378;0,3;1,3897;1,8809;1,7559;-0,495;-0,4235;-0,3699;-0,5218;-0,6022;-0,4414;-0,4503;-0,4682;-0,4592;-0,1645;-0,5575;-0,2806;-0,495;-0,5307;-0,3967;-0,5039;-0,361;-0,5396;-0,5664;-0,4592;-0,3878;-0,5396;-0,3521;3,1582;-0,5486;-0,2002;-0,3074;1,8541;1,6933;-0,495;-0,5575;-0,3789;-0,629;-0,3163;-0,4146;-0,3342;-0,1913;-0,3431;-0,5932;-0,4146;-0,4503;-0,4057;-0,5396
"85379";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=85379"" target=""_blank"">KIAA1671</a>";"protein-coding";"KIAA1671";"Cluster_2";-0,3711;0,5356;-1,9829;-0,4046;0,0991;-1,2777;-0,2703;-1,731;-0,774;-0,8076;-0,3878;1,778;1,862;0,905;0,9889;0,8378;1,9124;2,0299;-0,9755;-1,1434;-2,1676;-1,0091;-1,0091;-0,4886;-1,5799;-1,0259;-0,8412;0,1158;-0,6565;-0,0353;-0,539;0,5692;-1,6975;-1,3952;-0,052;0,7203;-0,0017;0,8546;0,7035;0,7371;1,8284;0,0991;-0,136;0,3509;0,5188;1,1064;0,3677;0,3845;-0,3207;0,7874;0,6699;0,0655;0,905;-0,0185;-0,5054;-0,2871;0,8378;-0,2032;1,14;0,3845
"89944";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=89944"" target=""_blank"">GLB1L2</a>";"protein-coding";"galactosidase, beta 1-like 2";"Cluster_2";0,6651;-0,9124;-0,687;0,2144;0,59;-0,7434;-0,7997;-1,1565;-0,4992;-0,9875;-1,119;3,6887;0,4398;1,022;1,7732;2,9;1,4539;1,7356;0,3834;-0,95;0,7403;-0,2363;-0,0485;0,3646;-0,95;0,1017;1,4163;-0,2927;0,5149;-0,8748;0,6276;0,2895;-0,3678;-0,1424;0,2707;-0,9687;-0,9875;-1,0814;-0,9687;0,8154;-1,0063;0,9093;0,2707;-0,8936;-0,8936;-0,6683;0,8717;-0,3678;1,1159;-0,2739;-0,0297;0,0454;-0,4617;0,0454;-0,6495;-0,8561;-0,6307;-0,8748;-0,518;-0,3678
"94234";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=94234"" target=""_blank"">FOXQ1</a>";"protein-coding";"forkhead box Q1";"Cluster_2";-0,4879;0,1926;-0,2413;-0,5076;-0,4287;-0,5372;-0,3596;-0,4583;-0,3301;-0,3794;-0,4385;0,6069;1,5734;-0,4188;1,6424;3,319;1,7706;4,8872;-0,4287;-0,3596;-0,5273;-0,3202;-0,5076;-0,0934;-0,7048;-0,4977;-0,2413;-0,3794;-0,3301;-0,6358;-0,5273;-0,6752;-0,192;-0,547;-0,0145;-0,4287;2,4314;-0,4188;-0,7246;-0,1821;0,3406;0,3899;-0,4484;-0,3202;-0,1723;0,9323;0,0546;-0,5569;-0,3005;-0,5766;-0,1723;-0,5076;-0,2413;-0,1821;-0,2019;-0,3202;-0,0046;-0,5174;-0,2906;-0,0046
"114569";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=114569"" target=""_blank"">MAL2</a>";"protein-coding";"mal, T-cell differentiation protein 2 (gene/pseudogene)";"Cluster_2";0,9239;-0,764;-0,8345;-0,5686;1,0108;-0,7477;-0,7803;-0,7043;-0,6012;-0,7803;-0,7857;1,6458;1,3798;0,5169;0,9836;2,1722;1,5155;-0,7369;-0,7803;-0,6175;-0,7803;-0,6609;-0,726;-0,7477;-0,6066;-0,8074;-0,65;-0,764;-0,726;-0,7043;-0,6717;-0,6283;-0,6717;-0,7803;-0,7911;0,1858;-0,0747;-0,7477;-0,7314;-0,5795;2,1125;-0,7803;-0,5849;1,2387;1,6078;1,4341;-0,4383;-0,8291;1,5101;-0,7694;1,9823;0,1967;-0,2972;0,506;1,179;1,2333;-0,5632;-0,7531;1,5155;1,7163
"118471";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=118471"" target=""_blank"">PRAP1</a>";"protein-coding";"proline-rich acidic protein 1";"Cluster_2";0,2408;-0,2309;-0,3357;-0,2833;0,3281;-0,5977;-0,4929;-1,0519;0,1884;-0,4929;-0,9122;4,5905;5,0971;-0,0038;1,254;-0,3182;-0,2658;0,101;-0,1785;-0,0737;-0,4405;-0,0038;-1,0694;-0,5104;-0,8248;-0,5803;-0,1959;-0,4405;-0,5278;-0,0213;-0,1435;-0,1785;-0,5278;-0,0387;-0,1086;-0,5104;-0,3182;0,8522;-0,0387;-0,161;-0,2309;0,3456;0,0836;0,3456;-0,0737;0,3107;-0,4754;-0,4056;0,6076;-0,5453;0,3107;0,3631;0,0661;-0,2309;-0,1261;-0,2134;-0,2483;-0,0213;0,0486;-0,6851
"119467";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=119467"" target=""_blank"">CLRN3</a>";"protein-coding";"clarin 3";"Cluster_2";-0,4554;-0,6232;-0,2102;-0,5845;-0,1973;-0,0295;-0,5974;-0,5071;-0,3005;-0,0682;-0,3651;4,6431;3,4685;-0,1715;-0,4038;1,1451;1,5969;3,817;-0,1715;-0,4038;-0,5071;-0,3522;0,3965;-0,0166;-0,2102;-0,6619;-0,2489;-0,3522;-0,1585;-0,3005;-0,0037;0,048;-0,3651;0,1512;-0,2618;-0,7652;-0,3005;0,048;-0,3263;-0,0295;-0,52;0,1512;-0,3005;-0,3393;0,1125;-0,3393;-0,6232;-0,52;-0,3393;-0,2489;-0,3263;-0,1973;-0,4038;0,1254;-0,3263;-0,2618;-0,3263;-0,3909;-0,4038;0,1125
"120224";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=120224"" target=""_blank"">TMEM45B</a>";"protein-coding";"transmembrane protein 45B";"Cluster_2";-0,4078;-0,3922;-0,33;-0,47;2,9987;-0,5633;-0,6567;-0,3922;-0,2211;-0,33;-0,3922;3,2165;3,4342;-0,2522;0,5877;1,2721;1,7699;0,6499;-0,1589;-0,4389;-0,6567;-0,3145;-0,4078;-0,5322;-0,47;-0,5945;-0,5167;-0,3145;-0,5633;-0,3145;-0,2989;-0,4233;-0,7189;-0,4078;-0,2834;-0,8122;-0,3145;-0,5011;-0,33;0,1055;2,8431;-0,0345;-0,33;0,2922;-0,3767;-0,1589;-0,19;-0,5322;0,7433;-0,6878;2,0499;-0,5633;-0,4856;-0,3611;-0,4545;-0,3611;-0,4856;-0,3767;-0,33;-0,4545
"124976";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=124976"" target=""_blank"">SPNS2</a>";"protein-coding";"spinster homolog 2 (Drosophila)";"Cluster_2";0,1618;-0,8808;-1,1011;-0,499;0,4408;-0,5578;-0,8955;-0,5578;-0,2494;-0,6752;-0,5871;2,6141;1,6008;-0,4403;0,4701;1,5862;3,128;3,0105;-0,0144;0,2352;-0,6312;-0,5284;-0,5724;-0,6752;-0,7046;-0,7487;-0,2788;-0,6752;-0,4843;-0,4843;-0,3669;-0,5137;-0,5724;-0,3962;-0,7633;-0,7046;-0,6459;-0,734;-0,7927;-0,3962;0,7932;-0,6312;-0,3962;0,2205;-0,2053;0,2352;0,6317;-0,5284;-0,4256;-0,2053;-0,4109;-0,4843;0,7932;0,4701;3,2161;0,0149;0,0737;-0,0879;0,4995;1,3072
"126353";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=126353"" target=""_blank"">MISP</a>";"protein-coding";"mitotic spindle positioning";"Cluster_2";0,6625;-0,8072;-1,0113;0,1862;0,54;-1,093;-0,9025;-0,6983;-0,2901;-0,467;-0,6439;1,8192;1,9553;0,3631;2,2003;1,411;2,1458;1,3974;-0,467;-0,6031;-1,2291;-0,5623;-0,5623;-0,535;-0,8889;-0,9433;-0,4806;-0,9841;-0,5895;-0,6167;-0,9433;-0,1132;-0,5623;-0,467;2,1186;1,4246;-1,0794;-0,6847;0,0093;-0,9705;2,1186;0,2406;-0,6439;1,0572;0,8666;0,1318;0,3767;-0,5623;1,8873;-0,222;0,2815;1,2885;-0,8617;0,1046;-0,5214;-0,6167;-0,5623;-0,5214;0,0637;-0,9433
"127845";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=127845"" target=""_blank"">GOLT1A</a>";"protein-coding";"golgi transport 1A";"Cluster_2";2,4245;-0,8416;-0,6996;-0,1316;0,8033;-0,7114;-0,8652;-0,8179;0,1525;-0,6167;-0,3446;2,2707;2,3654;0,7205;0,2353;3,2292;2,3062;0,8388;-1,0072;-1,2321;-0,7114;-0,7942;-0,6167;-0,8652;-0,6759;-0,4392;0,117;-0,7942;0,0105;-0,8889;-0,5812;-0,4511;-0,6877;-0,2972;-0,0132;1,253;-0,025;-0,3919;0,0815;0,259;1,6908;-0,8416;0,7796;-0,3091;0,3773;0,4956;-0,3327;-0,2026;0,2116;-0,5221;-0,4629;1,608;-0,8534;-0,4866;0,2826;-0,2854;-0,9481;-1,0072;-0,3682;-0,3919
"200634";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=200634"" target=""_blank"">KRTCAP3</a>";"protein-coding";"keratinocyte associated protein 3";"Cluster_2";1,4295;-0,7614;-0,545;0,05;-0,1799;-0,7208;-0,5044;-0,4909;-0,2204;-0,3151;-0,3827;4,0395;2,3085;2,295;1,6188;2,579;2,7277;-0,4909;-0,5856;-0,5585;-0,6397;-0,3692;0,2935;-0,3692;-0,1799;-0,3422;-0,5315;-0,3692;-0,3962;-0,1934;-0,4368;-0,4233;-0,2204;-0,1663;-0,0176;-0,4774;-0,7073;-0,6397;-0,4774;-0,5044;-0,1934;-0,518;-0,4098;-0,4639;-0,1934;1,8216;-0,3962;-0,6261;-0,1258;-0,4098;-0,3016;0,6451;-0,4368;-0,5721;-0,4774;-0,2069;-0,4639;-0,0582;-0,2069;-0,5315
"200958";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=200958"" target=""_blank"">MUC20</a>";"protein-coding";"mucin 20, cell surface associated";"Cluster_2";0,9998;-0,5924;-0,6692;-0,228;0,4434;-0,6116;-0,3239;-0,1896;0,3284;-0,4198;-0,7075;3,858;4,1841;-0,228;1,9781;1,3834;0,7696;-0,65;-0,5924;-0,4006;-0,4965;-0,4198;0,3859;-0,65;-0,3814;-0,65;0,0022;-0,2088;-0,439;-0,228;-0,5349;0,0982;-0,2471;-0,228;-0,1512;-0,8994;-0,7651;-0,5924;-0,861;-0,7651;2,3809;-0,4582;-0,2855;-0,4006;0,2133;1,7287;-0,2471;-0,2088;0,0214;-0,0553;-0,3239;-0,439;0,1557;-0,439;-0,0937;-0,228;-0,3622;-0,3622;-0,4582;-0,439
"255738";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=255738"" target=""_blank"">PCSK9</a>";"protein-coding";"proprotein convertase subtilisin/kexin type 9";"Cluster_2";0,0196;0,0509;-0,4811;1,021;-0,4499;-1,107;-0,3716;-0,1995;-0,0743;-0,3873;-0,8254;3,3211;1,7407;1,3496;0,1291;-0,622;4,964;0,8332;-0,7941;-0,4811;1,3183;-0,5594;-0,5594;-0,4499;-0,6533;-0,0274;-0,4029;-0,7784;0,1134;-0,6376;0,1917;-0,2464;-0,5437;-0,3247;-0,0274;1,1774;0,3012;-0,6689;-0,6689;-0,8097;-0,5437;-0,0743;-0,2621;-0,4499;-0,4342;0,4264;1,5999;-0,309;-0,1056;0,0352;0,1604;-0,4029;-0,575;-0,4186;-0,1213;-0,5281;-0,4186;-0,2621;-0,4029;-0,2934
