"","Collection","Gene_set","Size","NES_b_cell","PValue_b_cell","FDR_b_cell","SLE>Control","NES_t_cell","PValue_t_cell","FDR_t_cell","SLE>Control"
"4167","GO_BP","501926_GO_0032700_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION",11,-1.5576,0.027,0.08,"No",-1.0201,0.44,0.97,"No"
"4168","GO_MF","750779_GO_0001227_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_INVOLVED_IN_NEGATIVE_REGULATION_OF_TRANSCRIPTION",120,-1.5575,0.0061,0.11,"No",-1.2847,0.057,0.81,"No"
"4169","C2_Chemical_and_genetic_perturbations","C2_CGP_2883_ZHAN_MULTIPLE_MYELOMA_HP_DN",45,-1.5574,0.021,0.044,"No",0.8283,0.78,0.98,"Yes"
"4170","GO_BP","491008_GO_0006022_AMINOGLYCAN_METABOLIC_PROCESS",169,-1.5572,0.0012,0.081,"No",0.9185,0.68,1,"Yes"
"4171","C2_Chemical_and_genetic_perturbations","C2_CGP_1565_YAGI_AML_SURVIVAL",128,-1.5572,0,0.045,"No",-0.825,0.85,1,"No"
"4172","GO_CC","487624_GO_0001725_STRESS_FIBER",57,-1.5572,0.011,0.11,"No",-0.8338,0.78,0.99,"No"
"4173","C2_Chemical_and_genetic_perturbations","C2_CGP_859_WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_UP",8,-1.5572,0.015,0.044,"No",-0.7823,0.72,1,"No"
"4174","WikiPathways","198817_WP368_MITOCHONDRIAL_LC_FATTY_ACID_BETA_OXIDATION",16,-1.5571,0.025,0.05,"No",1.0231,0.42,1,"Yes"
"4175","GO_BP","754674_GO_1901723_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT",5,-1.5571,0.026,0.081,"No",-0.7632,0.74,1,"No"
"4176","REACTOME","105680_REACT_13579_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",11,-1.5571,0.03,0.092,"No",1.2792,0.17,0.35,"Yes"
"4177","GO_BP","504521_GO_0035337_FATTY_ACYL_COA_METABOLIC_PROCESS",31,-1.557,0.023,0.081,"No",-0.9655,0.52,1,"No"
"4178","GO_BP","496456_GO_0016486_PEPTIDE_HORMONE_PROCESSING",34,-1.5569,0.011,0.081,"No",1.1222,0.25,0.88,"Yes"
"4179","WikiPathways","198822_WP1772_APOPTOSIS_MODULATION_AND_SIGNALING",79,-1.5568,0.0026,0.05,"No",-0.859,0.75,1,"No"
"4180","C4_Cancer_modules","C4_CM_430_MODULE_575",12,-1.5568,0.036,0.039,"No",1.7139,0.019,0.043,"Yes"
"4181","GO_BP","505702_GO_0042574_RETINAL_METABOLIC_PROCESS",13,-1.5566,0.032,0.081,"No",-1.4446,0.068,0.91,"No"
"4182","C7_Immunologic_signatures","C7_ALL_1326_GSE30083_SP1_VS_SP2_THYMOCYTE_DN",195,-1.5563,0.0011,0.0027,"No",-0.9333,0.62,1,"No"
"4183","C2_Chemical_and_genetic_perturbations","C2_CGP_1369_TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",307,-1.5561,0,0.045,"No",1.7916,0,0.045,"Yes"
"4184","GO_BP","508588_GO_0046323_GLUCOSE_IMPORT",8,-1.556,0.033,0.081,"No",-1.5193,0.058,0.79,"No"
"4185","GO_BP","513957_GO_0060401_CYTOSOLIC_CALCIUM_ION_TRANSPORT",45,-1.5559,0.0044,0.081,"No",-0.787,0.84,1,"No"
"4186","C2_BioCarta_Pathways","C2_CP_BIOCARTA_112_BIOCARTA_PYK2_PATHWAY",28,-1.5559,0.022,0.12,"No",-0.8522,0.68,1,"No"
"4187","GO_BP","510275_GO_0048145_REGULATION_OF_FIBROBLAST_PROLIFERATION",76,-1.5557,0.012,0.081,"No",1.3317,0.073,0.63,"Yes"
"4188","REACTOME","106482_REACT_12599_ERK_MAPK_TARGETS",21,-1.5557,0.02,0.093,"No",-0.87,0.63,1,"No"
"4189","GO_BP","751425_GO_0038169_SOMATOSTATIN_RECEPTOR_SIGNALING_PATHWAY",5,-1.5556,0.026,0.081,"No",0.6991,0.83,1,"Yes"
"4190","C7_Immunologic_signatures","C7_ALL_404_GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN",199,-1.5555,0.0011,0.0027,"No",1.4335,0.0074,0.027,"Yes"
"4191","C2_Chemical_and_genetic_perturbations","C2_CGP_3203_TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP",20,-1.5554,0.033,0.045,"No",-0.711,0.85,1,"No"
"4192","C2_Chemical_and_genetic_perturbations","C2_CGP_2977_ZEMBUTSU_SENSITIVITY_TO_MITOMYCIN",18,-1.5553,0.043,0.045,"No",0.8792,0.61,0.94,"Yes"
"4193","GO_BP","500387_GO_0031100_ORGAN_REGENERATION",54,-1.5553,0.0071,0.081,"No",-0.7355,0.92,1,"No"
"4194","C2_Chemical_and_genetic_perturbations","C2_CGP_2734_HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN",68,-1.5553,0.0053,0.045,"No",-0.7677,0.89,1,"No"
"4195","GO_BP","512105_GO_0051209_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL",32,-1.5551,0.021,0.081,"No",-0.6444,0.97,1,"No"
"4196","C2_Chemical_and_genetic_perturbations","C2_CGP_3299_ALFANO_MYC_TARGETS",235,-1.555,0,0.045,"No",1.1433,0.14,0.56,"Yes"
"4197","C2_BioCarta_Pathways","C2_CP_BIOCARTA_62_BIOCARTA_NDKDYNAMIN_PATHWAY",18,-1.5549,0.023,0.12,"No",0.7249,0.86,1,"Yes"
"4198","GO_BP","753098_GO_1900103_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",11,-1.5547,0.036,0.082,"No",-1.116,0.32,0.94,"No"
"4199","C2_Chemical_and_genetic_perturbations","C2_CGP_2934_YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_8",49,-1.5547,0.0097,0.045,"No",-0.7205,0.94,1,"No"
"4200","GO_BP","513919_GO_0060363_CRANIAL_SUTURE_MORPHOGENESIS",10,-1.5546,0.035,0.082,"No",-1.0993,0.36,0.95,"No"
"4201","C7_Immunologic_signatures","C7_ALL_1465_GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_UP",189,-1.5546,0,0.0027,"No",-0.8415,0.87,1,"No"
"4202","WikiPathways","198821_WP698_GLUCURONIDATION",26,-1.5546,0.025,0.05,"No",1.749,0.01,0.081,"Yes"
"4203","REACTOME","187174_REACT_23947_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION",17,-1.5546,0.028,0.094,"No",-1.0959,0.34,0.91,"No"
"4204","C7_Immunologic_signatures","C7_ALL_1481_GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_UP",198,-1.5544,0,0.0027,"No",1.2574,0.034,0.15,"Yes"
"4205","GO_BP","516218_GO_0071294_CELLULAR_RESPONSE_TO_ZINC_ION",12,-1.5543,0.044,0.082,"No",1.4479,0.06,0.5,"Yes"
"4206","C2_BioCarta_Pathways","C2_CP_BIOCARTA_31_BIOCARTA_CBL_PATHWAY",13,-1.5543,0.026,0.12,"No",0.9024,0.61,0.9,"Yes"
"4207","C7_Immunologic_signatures","C7_ALL_1507_GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP",197,-1.5543,0.0023,0.0027,"No",1.2964,0.022,0.11,"Yes"
"4208","GO_MF","490018_GO_0004702_RECEPTOR_SIGNALING_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",83,-1.5542,0.0078,0.11,"No",-1.3332,0.059,0.72,"No"
"4209","GO_BP","753021_GO_1900024_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING",33,-1.5542,0.017,0.082,"No",1.1405,0.26,0.85,"Yes"
"4210","C6_Oncogenic_signatures","C6_ALL_100_ESC_V6_5_UP_LATE_V1_UP",173,-1.5542,0.0011,0.0081,"No",-0.825,0.88,0.95,"No"
"4211","GO_BP","488303_GO_0002430_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",5,-1.5542,0.018,0.082,"No",-0.6985,0.85,1,"No"
"4212","REACTOME","645309_REACT_120989_CHONDROITIN_SULFATE_BIOSYNTHESIS",19,-1.554,0.023,0.094,"No",-0.5865,0.98,1,"No"
"4213","GO_BP","1184427_GO_1903901_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE",83,-1.5539,0.01,0.082,"No",1.3856,0.03,0.57,"Yes"
"4214","C2_Chemical_and_genetic_perturbations","C2_CGP_199_GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP",17,-1.5539,0.032,0.045,"No",0.4945,0.99,1,"Yes"
"4215","GO_MF","487742_GO_0001846_OPSONIN_BINDING",12,-1.5539,0.038,0.11,"No",-1.2771,0.16,0.82,"No"
"4216","GO_BP","499041_GO_0021761_LIMBIC_SYSTEM_DEVELOPMENT",81,-1.5539,0,0.082,"No",-1.0358,0.39,0.98,"No"
"4217","C7_Immunologic_signatures","C7_ALL_890_GSE20366_CD103_KLRG1_DP_VS_DN_TREG_DN",197,-1.5538,0,0.0028,"No",-0.9037,0.74,1,"No"
"4218","REACTOME","106170_REACT_13796_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",31,-1.5537,0.024,0.093,"No",-1.0843,0.32,0.91,"No"
"4219","GO_BP","487805_GO_0001914_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",27,-1.5537,0.025,0.082,"No",-0.6619,0.95,1,"No"
"4220","GO_BP","508306_GO_0046006_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION",35,-1.5537,0.026,0.082,"No",-1.0249,0.4,0.97,"No"
"4221","GO_BP","1184553_GO_1904029_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",90,-1.5533,0.0089,0.082,"No",-0.8268,0.81,1,"No"
"4222","C2_Chemical_and_genetic_perturbations","C2_CGP_2644_TAVAZOIE_METASTASIS",101,-1.5533,0.0075,0.046,"No",-1.3554,0.034,0.66,"No"
"4223","C2_Chemical_and_genetic_perturbations","C2_CGP_2613_HAN_SATB1_TARGETS_UP",393,-1.5532,0,0.046,"No",0.8675,0.92,0.96,"Yes"
"4224","C6_Oncogenic_signatures","C6_ALL_31_PIGF_UP_V1_DN",183,-1.5531,0.0012,0.008,"No",-1.2426,0.058,0.36,"No"
"4225","C7_Immunologic_signatures","C7_ALL_1791_GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_UP",192,-1.5528,0,0.0028,"No",0.7837,0.98,1,"Yes"
"4226","C2_Chemical_and_genetic_perturbations","C2_CGP_2742_YAMASHITA_LIVER_CANCER_STEM_CELL_DN",75,-1.5528,0.005,0.046,"No",-1.0159,0.44,0.99,"No"
"4227","GO_BP","502039_GO_0032816_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION",20,-1.5527,0.03,0.083,"No",-1.4742,0.065,0.85,"No"
"4228","C6_Oncogenic_signatures","C6_ALL_167_CORDENONSI_YAP_CONSERVED_SIGNATURE",57,-1.5526,0.01,0.0079,"No",-1.4432,0.027,0.29,"No"
"4229","REACTOME","106526_REACT_13583_NEUROTRANSMITTER_CLEARANCE_IN_THE_SYNAPTIC_CLEFT",8,-1.5525,0.024,0.094,"No",-0.9322,0.53,1,"No"
"4230","GO_BP","911401_GO_0098543_DETECTION_OF_OTHER_ORGANISM",17,-1.5524,0.036,0.083,"No",0.8787,0.63,1,"Yes"
"4231","GO_BP","1144984_GO_1903846_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS",23,-1.5522,0.033,0.083,"No",0.5346,1,1,"Yes"
"4232","C2_Chemical_and_genetic_perturbations","C2_CGP_1864_ABE_VEGFA_TARGETS",20,-1.5522,0.024,0.046,"No",0.9198,0.54,0.9,"Yes"
"4233","GO_BP","513507_GO_0055074_CALCIUM_ION_HOMEOSTASIS",284,-1.5521,0,0.083,"No",1.2053,0.057,0.78,"Yes"
"4234","GO_BP","512358_GO_0051480_CYTOSOLIC_CALCIUM_ION_HOMEOSTASIS",181,-1.552,0.0012,0.083,"No",1.1791,0.11,0.8,"Yes"
"4235","C2_Chemical_and_genetic_perturbations","C2_CGP_570_MARKS_HDAC_TARGETS_UP",23,-1.552,0.028,0.046,"No",0.7265,0.88,1,"Yes"
"4236","GO_MF","490570_GO_0005402_CATION_SUGAR_SYMPORTER_ACTIVITY",8,-1.552,0.035,0.12,"No",-0.7829,0.73,1,"No"
"4237","GO_BP","504522_GO_0035338_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS",17,-1.5519,0.023,0.083,"No",-0.7459,0.82,1,"No"
"4238","C7_Immunologic_signatures","C7_ALL_1471_GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP",199,-1.5518,0,0.0029,"No",1.2497,0.064,0.15,"Yes"
"4239","GO_BP","513498_GO_0072507_DIVALENT_INORGANIC_CATION_HOMEOSTASIS",328,-1.5517,0,0.083,"No",1.101,0.18,0.9,"Yes"
"4240","GO_BP","752002_GO_0052805_IMIDAZOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS",5,-1.5516,0.019,0.083,"No",-0.6006,0.94,1,"No"
"4241","GO_MF","506116_GO_0043027_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",25,-1.5515,0.02,0.12,"No",-0.7085,0.87,1,"No"
"4242","GO_BP","514000_GO_0060445_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS",16,-1.5513,0.038,0.083,"No",-0.9067,0.58,1,"No"
"4243","GO_BP","1129406_GO_1903580_POSITIVE_REGULATION_OF_ATP_METABOLIC_PROCESS",33,-1.5512,0.022,0.083,"No",-1.0001,0.46,0.99,"No"
"4244","GO_BP","491748_GO_0006887_EXOCYTOSIS",304,-1.5511,0.0011,0.083,"No",1.3031,0.0097,0.66,"Yes"
"4245","C2_Chemical_and_genetic_perturbations","C2_CGP_320_JAATINEN_HEMATOPOIETIC_STEM_CELL_UP",310,-1.551,0,0.046,"No",-0.7745,0.99,1,"No"
"4246","C2_BioCarta_Pathways","C2_CP_BIOCARTA_73_BIOCARTA_FEEDER_PATHWAY",9,-1.5509,0.023,0.12,"No",-1.3542,0.13,1,"No"
"4247","GO_CC","505841_GO_0042734_PRESYNAPTIC_MEMBRANE",55,-1.5508,0.012,0.11,"No",-1.2857,0.1,0.66,"No"
"4248","C2_Chemical_and_genetic_perturbations","C2_CGP_2377_RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP",100,-1.5508,0.0074,0.046,"No",-0.9783,0.51,1,"No"
"4249","GO_BP","506514_GO_0043482_CELLULAR_PIGMENT_ACCUMULATION",11,-1.5508,0.028,0.083,"No",-0.6334,0.91,1,"No"
"4250","GO_BP","494986_GO_0010922_POSITIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY",23,-1.5507,0.028,0.083,"No",0.6501,0.95,1,"Yes"
"4251","C2_Chemical_and_genetic_perturbations","C2_CGP_2601_BRUNEAU_SEPTATION_ATRIAL",5,-1.5506,0.016,0.046,"No",-0.9975,0.45,1,"No"
"4252","C7_Immunologic_signatures","C7_ALL_1383_GSE339_CD4POS_VS_CD8POS_DC_UP",198,-1.5505,0,0.003,"No",0.8548,0.88,1,"Yes"
"4253","GO_BP","517430_GO_0072525_PYRIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",22,-1.5504,0.025,0.083,"No",-1.0139,0.45,0.98,"No"
"4254","GO_MF","490468_GO_0005227_CALCIUM_ACTIVATED_CATION_CHANNEL_ACTIVITY",30,-1.5504,0.019,0.12,"No",-0.9569,0.52,0.95,"No"
"4255","GO_MF","492572_GO_0008238_EXOPEPTIDASE_ACTIVITY",106,-1.5503,0.0088,0.12,"No",0.677,1,1,"Yes"
"4256","GO_MF","496264_GO_0016175_SUPEROXIDE_GENERATING_NADPH_OXIDASE_ACTIVITY",9,-1.5503,0.049,0.12,"No",-0.8997,0.59,0.99,"No"
"4257","REACTOME","106196_REACT_474_METABOLISM_OF_CARBOHYDRATES",262,-1.5503,0,0.095,"No",0.8944,0.81,0.91,"Yes"
"4258","C3_TF_targets","C3_TFT_208_V_PAX3_B",87,-1.5502,0.0038,0.015,"No",0.7217,0.96,1,"Yes"
"4259","C2_Chemical_and_genetic_perturbations","C2_CGP_882_SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION",49,-1.5501,0.014,0.046,"No",0.8857,0.65,0.94,"Yes"
"4260","C3_TF_targets","C3_TFT_329_V_CRX_Q4",262,-1.5499,0,0.015,"No",-1.0461,0.33,0.65,"No"
"4261","GO_MF","493089_GO_0008865_FRUCTOKINASE_ACTIVITY",5,-1.5499,0.028,0.12,"No",-1.2122,0.27,0.82,"No"
"4262","C2_Chemical_and_genetic_perturbations","C2_CGP_64_CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP",145,-1.5498,0.0059,0.047,"No",0.6978,1,1,"Yes"
"4263","GO_BP","517562_GO_0072659_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE",126,-1.5498,0,0.084,"No",0.836,0.86,1,"Yes"
"4264","C2_Chemical_and_genetic_perturbations","C2_CGP_540_DARWICHE_PAPILLOMA_RISK_LOW_UP",154,-1.5497,0,0.047,"No",1.1537,0.14,0.55,"Yes"
"4265","C6_Oncogenic_signatures","C6_ALL_23_CSR_LATE_UP_V1_DN",141,-1.5497,0.0012,0.0081,"No",0.9493,0.57,0.97,"Yes"
"4266","GO_BP","507998_GO_0045650_NEGATIVE_REGULATION_OF_MACROPHAGE_DIFFERENTIATION",8,-1.5497,0.035,0.084,"No",-0.7572,0.79,1,"No"
"4267","C2_BioCarta_Pathways","C2_CP_BIOCARTA_30_BIOCARTA_CASPASE_PATHWAY",23,-1.5496,0.018,0.12,"No",-0.6984,0.9,1,"No"
"4268","C2_Chemical_and_genetic_perturbations","C2_CGP_850_MOHANKUMAR_TLX1_TARGETS_UP",409,-1.5496,0,0.047,"No",0.9603,0.61,0.85,"Yes"
"4269","C2_Chemical_and_genetic_perturbations","C2_CGP_2353_LABBE_WNT3A_TARGETS_UP",111,-1.5496,0.0025,0.047,"No",-0.8542,0.81,1,"No"
"4270","GO_CC","752843_GO_0097342_RIPOPTOSOME",7,-1.5495,0.02,0.11,"No",-1.0224,0.43,0.84,"No"
"4271","GO_BP","502185_GO_0032963_COLLAGEN_METABOLIC_PROCESS",83,-1.5495,0.0065,0.084,"No",-1.1712,0.18,0.91,"No"
"4272","GO_BP","487448_GO_0001508_ACTION_POTENTIAL",88,-1.5494,0.0085,0.084,"No",-1.3318,0.05,0.9,"No"
"4273","GO_BP","753986_GO_1901016_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",31,-1.5493,0.024,0.084,"No",-1.1158,0.3,0.94,"No"
"4274","GO_BP","518766_GO_2000117_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",78,-1.5493,0.011,0.084,"No",0.906,0.67,1,"Yes"
"4275","C2_Chemical_and_genetic_perturbations","C2_CGP_1275_UEDA_CENTRAL_CLOCK",88,-1.5492,0.0026,0.047,"No",-0.9329,0.59,1,"No"
"4276","GO_BP","486620_GO_0000079_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",90,-1.5492,0.0063,0.084,"No",-0.839,0.82,1,"No"
"4277","C2_BioCarta_Pathways","C2_CP_BIOCARTA_169_BIOCARTA_MEF2D_PATHWAY",18,-1.5492,0.027,0.11,"No",-0.607,0.95,1,"No"
"4278","GO_BP","513458_GO_0055025_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",26,-1.5491,0.018,0.084,"No",-0.7749,0.82,1,"No"
"4279","GO_CC","499481_GO_0030017_SARCOMERE",178,-1.549,0,0.11,"No",-0.9883,0.49,0.85,"No"
"4280","C2_Chemical_and_genetic_perturbations","C2_CGP_1539_KANG_IMMORTALIZED_BY_TERT_DN",100,-1.549,0.0025,0.047,"No",0.8825,0.73,0.94,"Yes"
"4281","GO_BP","511939_GO_0051006_POSITIVE_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY",10,-1.5489,0.022,0.084,"No",-1.4189,0.099,0.94,"No"
"4282","KEGG_pathway","HSA04614_RENIN_ANGIOTENSIN_SYSTEM",17,-1.5488,0.031,0.024,"No",1.5297,0.027,0.094,"Yes"
"4283","C4_Cancer_modules","C4_CM_377_MODULE_464",14,-1.5488,0.04,0.041,"No",0.8368,0.7,0.93,"Yes"
"4284","GO_BP","505719_GO_0042593_GLUCOSE_HOMEOSTASIS",153,-1.5487,0.0036,0.084,"No",0.9926,0.44,0.99,"Yes"
"4285","GO_MF","507655_GO_0045296_CADHERIN_BINDING",27,-1.5487,0.023,0.12,"No",-0.7551,0.85,1,"No"
"4286","GO_BP","499139_GO_0021860_PYRAMIDAL_NEURON_DEVELOPMENT",6,-1.5486,0.018,0.084,"No",-1.2297,0.24,0.89,"No"
"4287","GO_MF","489788_GO_0016308_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY",7,-1.5486,0.041,0.12,"No",-1.2411,0.23,0.85,"No"
"4288","GO_BP","751426_GO_0038170_SOMATOSTATIN_SIGNALING_PATHWAY",5,-1.5485,0.02,0.084,"No",0.6942,0.82,1,"Yes"
"4289","C2_BioCarta_Pathways","C2_CP_BIOCARTA_125_BIOCARTA_NTHI_PATHWAY",24,-1.5484,0.034,0.11,"No",-0.685,0.92,1,"No"
"4290","GO_BP","518324_GO_0090184_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT",38,-1.5484,0.02,0.084,"No",0.986,0.48,1,"Yes"
"4291","GO_BP","500134_GO_0030836_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION",8,-1.5483,0.04,0.084,"No",-0.6462,0.89,1,"No"
"4292","GO_CC","750942_GO_0036019_ENDOLYSOSOME",9,-1.5482,0.031,0.11,"No",0.8534,0.62,0.91,"Yes"
"4293","C2_Chemical_and_genetic_perturbations","C2_CGP_538_DARWICHE_SKIN_TUMOR_PROMOTER_UP",137,-1.5482,0.0012,0.047,"No",0.8933,0.76,0.93,"Yes"
"4294","GO_BP","511842_GO_0050905_NEUROMUSCULAR_PROCESS",101,-1.5478,0.0037,0.084,"No",-0.9442,0.58,1,"No"
"4295","GO_BP","492070_GO_0007292_FEMALE_GAMETE_GENERATION",89,-1.5478,0.01,0.084,"No",-1.209,0.16,0.88,"No"
"4296","REACTOME","106507_REACT_12380_VEGF_LIGAND_RECEPTOR_INTERACTIONS",7,-1.5478,0.039,0.097,"No",0.5196,0.98,1,"Yes"
"4297","C2_Chemical_and_genetic_perturbations","C2_CGP_2733_HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP",62,-1.5477,0.0093,0.047,"No",1.074,0.32,0.67,"Yes"
"4298","KEGG_pathway","HSA00920_SULFUR_METABOLISM",10,-1.5477,0.033,0.024,"No",-0.4444,0.99,1,"No"
"4299","C2_BioCarta_Pathways","C2_CP_BIOCARTA_213_BIOCARTA_UCALPAIN_PATHWAY",18,-1.5474,0.043,0.11,"No",-0.7821,0.8,1,"No"
"4300","GO_BP","494076_GO_0009991_RESPONSE_TO_EXTRACELLULAR_STIMULUS",418,-1.5474,0,0.085,"No",-0.928,0.73,1,"No"
"4301","C7_Immunologic_signatures","C7_ALL_180_GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN",199,-1.5472,0,0.0031,"No",0.8072,0.95,1,"Yes"
"4302","GO_MF","489958_GO_0047499_CALCIUM_INDEPENDENT_PHOSPHOLIPASE_A2_ACTIVITY",5,-1.547,0.019,0.12,"No",-0.5862,0.91,1,"No"
"4303","C3_TF_targets","C3_TFT_435_V_E2A_Q2",237,-1.5468,0,0.016,"No",-1.5728,0,0.14,"No"
"4304","KEGG_module","HSA_M00014_GLUCURONATE_PATHWAY_URONATE_PATHWAY_",27,-1.5467,0.029,0.18,"No",1.6115,0.0067,0.12,"Yes"
"4305","C2_Chemical_and_genetic_perturbations","C2_CGP_2199_DE_YY1_TARGETS_UP",20,-1.5463,0.03,0.048,"No",0.7288,0.88,1,"Yes"
"4306","C2_Chemical_and_genetic_perturbations","C2_CGP_1322_TARTE_PLASMA_CELL_VS_PLASMABLAST_UP",374,-1.5463,0.0011,0.048,"No",1.5699,0,0.16,"Yes"
"4307","KEGG_pathway","HSA00524_BUTIROSIN_AND_NEOMYCIN_BIOSYNTHESIS",5,-1.5462,0.03,0.024,"No",-1.1977,0.29,0.52,"No"
"4308","C7_Immunologic_signatures","C7_ALL_729_GSE17721_0_5H_VS_12H_PAM3CSK4_BMDM_UP",197,-1.5461,0,0.0032,"No",1.2851,0.026,0.12,"Yes"
"4309","GO_MF","495514_GO_0051119_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",22,-1.546,0.035,0.12,"No",-1.0983,0.3,0.84,"No"
"4310","GO_BP","512203_GO_0051319_G2_PHASE",9,-1.5456,0.027,0.086,"No",-0.91,0.6,1,"No"
"4311","GO_MF","490163_GO_0004861_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",12,-1.5456,0.041,0.12,"No",-1.222,0.22,0.85,"No"
"4312","C2_BioCarta_Pathways","C2_CP_BIOCARTA_103_BIOCARTA_DEATH_PATHWAY",33,-1.5456,0.019,0.11,"No",-1.0439,0.39,1,"No"
"4313","C7_Immunologic_signatures","C7_ALL_162_GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN",193,-1.5453,0.0034,0.0033,"No",1.2811,0.031,0.12,"Yes"
"4314","GO_MF","487531_GO_0001594_TRACE_AMINE_RECEPTOR_ACTIVITY",6,-1.5453,0.037,0.12,"No",0.8724,0.61,1,"Yes"
"4315","C2_Chemical_and_genetic_perturbations","C2_CGP_3312_PHONG_TNF_RESPONSE_VIA_P38_COMPLETE",226,-1.5453,0,0.048,"No",-1.0636,0.29,0.96,"No"
"4316","C3_TF_targets","C3_TFT_166_V_AHRARNT_01",140,-1.5453,0,0.016,"No",-1.0757,0.28,0.61,"No"
"4317","C2_Chemical_and_genetic_perturbations","C2_CGP_1701_MODY_HIPPOCAMPUS_NEONATAL",35,-1.5453,0.019,0.048,"No",1.2471,0.15,0.44,"Yes"
"4318","GO_BP","500111_GO_0030812_NEGATIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS",38,-1.5451,0.02,0.086,"No",-0.8515,0.74,1,"No"
"4319","C7_Immunologic_signatures","C7_ALL_809_GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP",178,-1.5451,0,0.0033,"No",-0.8448,0.88,1,"No"
"4320","GO_BP","513497_GO_0055065_METAL_ION_HOMEOSTASIS",442,-1.545,0,0.086,"No",1.2236,0.026,0.76,"Yes"
"4321","GO_BP","512012_GO_0051098_REGULATION_OF_BINDING",233,-1.545,0,0.086,"No",0.9333,0.66,1,"Yes"
