"Collection","Gene_Set","Size","N_Comp","Pval_Max","Pval_Meta","Abs_NES_Min","Abs_NES_Avg","B_Cell_NES","T_Cell_Pval","Monocyte_NES","B_Cell_Pval","T_Cell_NES","Monocyte_Pval"
"KEGG_compound","C11173_SN_38",22,3,0.12686567,1.20918954943028e-11,1.3196515,1.84348403333333,-1.3196515,0.12686567,1.8772227,0.001,2.3335779,0.001
"KEGG_compound","C11131_2_METHOXY_ESTRADIOL_17BETA_3_GLUCURONIDE",19,3,0.11875,1.05724628620896e-11,1.3181087,1.86279136666667,-1.3181087,0.11875,1.9235284,0.001,2.346737,0.001
"KEGG_reaction","R07106_UDP_GLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_TRICHLOROETHANOL_UDP_GLUCURONATE_TRICHLOROETHANOL_GLUCURONIDE_UDP",19,3,0.12206573,2.20188984792223e-10,1.3165843,1.8586294,-1.3165843,0.12206573,1.8971201,0.0043763677,2.3621838,0.001
"KEGG_compound","C19645_ACCEPTOR_AGLYCON",19,3,0.1324201,5.80244881887399e-11,1.3157717,1.9035034,-1.3157717,0.1324201,1.9948025,0.002079002,2.399936,0.001
"KEGG_reaction","R04352_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_ETIOCHOLANOLONE_UDP_GLUCURONATE_ETIOCHOLAN_3ALPHA_OL_17_ONE_3_GLUCURONIDE_UDP",19,3,0.11676647,4.46344613871433e-11,1.3150239,1.87031793333333,-1.3150239,0.11676647,1.9307461,0.0020703934,2.3651838,0.001
"KEGG_compound","C11134_TESTOSTERONE_GLUCURONIDE_TESTOSTERONE_17BETA_BETA_D_GLUCURONIDE_",19,3,0.1411229,1.50100671292408e-11,1.3143643,1.8904958,-1.3143643,0.1411229,1.9268944,0.001,2.4302287,0.001
"KEGG_reaction","R02502_17BETA_HYDROXYSTEROID_UDP_GLUCURONOSYLTRANSFERASE_TESTOSTERONE_UDP_GLUCURONATE_TESTOSTERONE_GLUCURONIDE_UDP",19,3,0.13050315,2.07717008357259e-10,1.3115535,1.87937366666667,-1.3115535,0.13050315,1.9269248,0.003976143,2.3996427,0.001
"KEGG_reaction","R08615_UDP_GLUCURONATE_GLUCURONOHYDROLASE_UDP_GLUCURONATE_H2O_UDP_D_GLUCURONATE",19,3,0.13978495,1.47227232292028e-11,1.311236,1.88301356666667,-1.311236,0.13978495,1.9250627,0.001,2.412742,0.001
"KEGG_reaction","R08262_MORPHINE_UDP_GLUCURONATE_MORPHINE_3_GLUCURONIDE_UDP",19,3,0.13178295,1.30625200270992e-11,1.3109659,1.8732501,-1.3109659,0.13178295,1.9332522,0.001,2.3755322,0.001
"KEGG_reaction","R02478_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_ANDROSTERONE_UDP_GLUCURONATE_ANDROSTERONE_GLUCURONIDE_UDP",19,3,0.13692307,5.76395226451131e-11,1.3109387,1.8903682,-1.3109387,0.13692307,1.9372464,0.002004008,2.4229195,0.001
"KEGG_compound","C19646_ACCEPTOR_BETA_D_GLUCURONOSIDE",19,3,0.0975976,2.8385228032843e-11,1.3105018,1.86674793333333,-1.3105018,0.0975976,1.9514167,0.001980198,2.3383253,0.001
"KEGG_compound","C16578_MORPHINE_6_GLUCURONIDE",19,3,0.14984709,1.69522485002876e-11,1.3101627,1.88556533333333,-1.3101627,0.14984709,1.930454,0.001,2.4160793,0.001
"KEGG_compound","C16577_CODEINE_6_GLUCURONIDE",19,3,0.13615733,1.39577017714389e-11,1.3101097,1.88564856666667,-1.3101097,0.13615733,1.936061,0.001,2.410775,0.001
"KEGG_reaction","R08259_SN_38_UDP_GLUCURONATE_SN38_GLUCURONIDE_UDP",19,3,0.12539186,1.18083291885731e-11,1.3098279,1.86697416666667,-1.3098279,0.12539186,1.9822164,0.001,2.3088782,0.001
"KEGG_compound","C01335_ROH",19,3,0.14420062,1.56816614435145e-11,1.3096757,1.87163683333333,-1.3096757,0.14420062,1.9203988,0.001,2.384836,0.001
"KEGG_reaction","R09426_4_METHYLNITROSAMINO_1_3_PYRIDYL_1_BUTANOL_UDP_GLUCURONATE_4_METHYLNITROSAMINO_1_3_PYRIDYL_1_BUTANOL_GLUCURONIDE_UDP",19,3,0.13084112,5.68752037055903e-11,1.3092966,1.9139817,-1.3092966,0.13084112,1.9769753,0.0020833334,2.4556732,0.001
"KEGG_compound","C00523_ANDROSTERONE_3ALPHA_HYDROXY_5ALPHA_ANDROSTAN_17_ONE",20,3,0.1358209,2.48218182418914e-10,1.3077953,1.80758836666667,-1.3077953,0.1358209,1.9304159,0.0041753654,2.1845539,0.001
"KEGG_reaction","R09427_4_METHYLNITROSAMINO_1_3_PYRIDYL_1_BUTANOL_UDP_GLUCURONATE_NNAL_N_GLUCURONIDE_UDP",19,3,0.13403614,1.35198869081206e-11,1.3070937,1.88155286666667,-1.3070937,0.13403614,1.9358882,0.001,2.4016767,0.001
"KEGG_reaction","R03091_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_ESTRADIOL_17BETA_UDP_GLUCURONATE_ESTRADIOL_17BETA_3_GLUCURONIDE_UDP",19,3,0.14826499,7.22720294921854e-11,1.3061028,1.8718266,-1.3061028,0.14826499,1.9219685,0.0020703934,2.3874085,0.001
"KEGG_reaction","R09428_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_UDP_GLUCURONATE_ACCEPTOR_UDP_ACCEPTOR_BETA_D_GLUCURONOSIDE",19,3,0.11234177,4.01002769799388e-11,1.3051562,1.8814296,-1.3051562,0.11234177,1.9353116,0.0020408162,2.403821,0.001
"KEGG_reaction","R08263_MORPHINE_UDP_GLUCURONATE_MORPHINE_6_GLUCURONIDE_UDP",19,3,0.14410481,1.56605315329964e-11,1.3044258,1.89418853333333,-1.3044258,0.14410481,1.9434972,0.001,2.4346426,0.001
"KEGG_reaction","R04354_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_2_METHOXY_17BETA_ESTRADIOL_UDP_GLUCURONATE_2_METHOXY_ESTRADIOL_17BETA_3_GLUCURONIDE_UDP",19,3,0.12781955,5.63683245145727e-11,1.303852,1.87351616666667,-1.303852,0.12781955,1.9838923,0.0021231424,2.3328042,0.001
"KEGG_compound","C05504_16_GLUCURONIDE_ESTRIOL_16ALPHA_17BETA_ESTRIOL_16_BETA_D_GLUCURONIDE_",19,3,0.14136904,1.50632336092958e-11,1.3033606,1.89711926666667,-1.3033606,0.14136904,1.9522586,0.001,2.4357386,0.001
"KEGG_compound","C11136_ETIOCHOLAN_3ALPHA_OL_17_ONE_3_GLUCURONIDE",19,3,0.13960546,5.5488025089583e-10,1.3027694,1.87492903333333,-1.3027694,0.13960546,1.9150839,0.0060728746,2.4069338,0.001
"KEGG_compound","C11135_ANDROSTERONE_GLUCURONIDE_ANDROSTERONE_3_GLUCURONIDE",19,3,0.16393442,3.85566386825243e-10,1.3025769,1.88067626666667,-1.3025769,0.16393442,1.9177142,0.004310345,2.4217377,0.001
"KEGG_reaction","R04353_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_2_METHOXYESTRONE_UDP_GLUCURONATE_2_METHOXYESTRONE_3_GLUCURONIDE_UDP",19,3,0.15805471,1.88879458446478e-11,1.3023138,1.89093406666667,-1.3023138,0.15805471,1.9381604,0.001,2.432328,0.001
"KEGG_reaction","R02358_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_ESTRONE_UDP_GLUCURONATE_ESTRONE_GLUCURONIDE_UDP",19,3,0.14759035,6.34171854109477e-11,1.3018328,1.87628546666667,-1.3018328,0.14759035,1.9366663,0.0019493178,2.3903573,0.001
"KEGG_reaction","R08261_UDP_GLUCURONATE_CODEINE_UDP_CODEINE_6_GLUCURONIDE",19,3,0.13190185,2.31155872473693e-10,1.3016381,1.91647263333333,-1.3016381,0.13190185,1.9749433,0.004149378,2.4728365,0.001
"KEGG_compound","C19606_NNAL_N_GLUCURONIDE",19,3,0.14781298,1.64887890582285e-11,1.300926,1.8826499,-1.300926,0.14781298,1.9380331,0.001,2.4089906,0.001
"KEGG_compound","C16643_MORPHINE_3_GLUCURONIDE",19,3,0.14630225,1.61487600972523e-11,1.3003223,1.87118863333333,-1.3003223,0.14630225,1.9369146,0.001,2.376329,0.001
"KEGG_compound","C04373_ETIOCHOLANOLONE_3ALPHA_HYDROXY_5BETA_ANDROSTAN_17_ONE_ETIOCHOLAN_3ALPHA_OL_17_ONE_3ALPHA_HYDROXYETIOCHOLAN_17_ONE",20,3,0.14589666,1.60580784240828e-11,1.2971365,1.81914236666667,-1.2971365,0.14589666,1.9237453,0.001,2.2365453,0.001
"KEGG_reaction","R02902_RETINOATE_UDP_GLUCURONATE_ALL_TRANS_RETINOYL_BETA_GLUCURONIDE_UDP",19,3,0.14104596,1.49934674204823e-11,1.2960392,1.88025856666667,-1.2960392,0.14104596,1.956375,0.001,2.3883615,0.001
"KEGG_compound","C19605_4_METHYLNITROSAMINO_1_3_PYRIDYL_1_BUTANOL_GLUCURONIDE_NNAL_O_GLUCURONIDE",19,3,0.13312203,1.33333796811187e-11,1.2932218,1.85951436666667,-1.2932218,0.13312203,1.902741,0.001,2.3825803,0.001
"KEGG_reaction","R02389_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_2_UDP_GLUCURONATE_BILIRUBIN_2_UDP_BILIRUBIN_BETA_DIGLUCURONIDE",19,3,0.14264037,6.62960344905373e-11,1.2912452,1.87657106666667,-1.2912452,0.14264037,1.9343745,0.0020618557,2.4040935,0.001
"KEGG_enzyme","2.4.1.17_GLUCURONOSYLTRANSFERASE_1_NAPHTHOL_GLUCURONYLTRANSFERASE_1_NAPHTHOL_UDP_GLUCURONOSYLTRANSFERASE_17BETA_HYDROXYSTEROID_UDP_GLUCURONOSYLTRANSFERASE_3ALPHA_HYDROXYSTEROID_UDP_GLUCURONOSYLTRANSFERASE_4_HYDROXYBIPHENYL_UDP_GLUCURONOSYLTRANSFERASE_4_METHYLUMBELLIFERONE_UDP_GLUCURONOSYLTRANSFERASE_4_NITROPHENOL_UDP_GLUCURONYLTRANSFERASE_4_NITROPHENOL_UDPGT_17_OH_STEROID_UDPGT_3_OH_ANDROGENIC_UDPGT_BILIRUBIN_URIDINE_DIPHOSPHOGLUCURONYLTRANSFERASE_BILIRUBIN_UDP_GLUCURONOSYLTRANSFERASE_BILIRUBIN_MONOGLUCURONIDE_GLUCURONYLTRANSFERASE_BILIRUBIN_UDPGT_BILIRUBIN_GLUCURONYLTRANSFERASE_CIRAMADOL_UDP_GLUCURONYLTRANSFERASE_ESTRIOL_UDP_GLUCURONOSYLTRANSFERASE_ESTRONE_UDP_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_BILIRUBIN_GLUCURONOSIDE_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_BILIRUBIN_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_ESTRIOL_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_ESTRADIOL_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_4_HYDROXYBIPHENYL_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_1_2_DIACYLGLYCEROL_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_ESTRIOL_16ALPHA_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONOSYLTRANSFERASE_GT_MORPHINE_GLUCURONYLTRANSFERASE_P_HYDROXYBIPHENYL_UDP_GLUCURONYLTRANSFERASE_P_NITROPHENOL_UDP_GLUCURONOSYLTRANSFERASE_P_NITROPHENOL_UDP_GLUCURONYLTRANSFERASE_P_NITROPHENYLGLUCURONOSYLTRANSFERASE_P_PHENYLPHENOL_GLUCURONYLTRANSFERASE_PHENYL_UDP_GLUCURONOSYLTRANSFERASE_PNP_UDPGT_UDP_GLUCURONATE_ESTRADIOL_GLUCURONOSYLTRANSFERASE_UDP_GLUCURONOSYLTRANSFERASE_UDP_GLUCURONATE_ESTRIOL_GLUCURONOSYLTRANSFERASE_UDP_GLUCURONIC_ACID_TRANSFERASE_UDP_GLUCURONYLTRANSFERASE_UDP_GLUCURONATE_4_HYDROXYBIPHENYL_GLUCURONOSYLTRANSFERASE_UDP_GLUCURONATE_BILIRUBIN_GLUCURONYLTRANSFERASE_UDP_GLUCURONOSYLTRANSFERASE_UDP_GLUCURONYLTRANSFERASE_UDPGA_TRANSFERASE_UDPGA_GLUCURONYLTRANSFERASE_UDPGT_URIDINE_DIPHOSPHOGLUCURONYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONATE_BILIRUBIN_GLUCURONOSYLTRANSFERASE_URIDINE_DIPHOSPHATE_GLUCURONYLTRANSFERASE_URIDINE_5_DIPHOSPHOGLUCURONYLTRANSFERASE_URIDINE_DIPHOSPHOGLUCURONOSYLTRANSFERASE",19,3,0.15193799,1.74353820955162e-11,1.291195,1.8682305,-1.291195,0.15193799,1.931256,0.001,2.3822405,0.001
"KEGG_compound","C05503_ESTRADIOL_17BETA_3_GLUCURONIDE_17BETA_ESTRADIOL_3_BETA_D_GLUCURONIDE_",19,3,0.1554878,1.82712548297434e-11,1.2889022,1.8783913,-1.2889022,0.1554878,1.9558775,0.001,2.3903942,0.001
"KEGG_compound","C01516_MORPHINE",20,3,0.168693,1.50021583867819e-09,1.2879521,1.77233473333333,-1.2879521,0.168693,1.7378348,0.008281574,2.2912173,0.001
"KEGG_compound","C11133_ESTRONE_GLUCURONIDE_ESTRONE_3_GLUCURONIDE_ESTRONE_BETA_D_GLUCURONIDE",19,3,0.15193799,3.31177485757354e-10,1.2855006,1.87821146666667,-1.2855006,0.15193799,1.9464548,0.004310345,2.402679,0.001
"KEGG_compound","C11061_ALL_TRANS_RETINOYL_BETA_GLUCURONIDE_RETINOYL_GLUCURONIDE",19,3,0.16017964,1.94062387842972e-11,1.2837169,1.8629366,-1.2837169,0.16017964,1.9075638,0.001,2.3975291,0.001
"KEGG_reaction","R01383_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_UDP_GLUCURONATE_ROH_UDP_BETA_D_GLUCURONOSIDE",19,3,0.17316693,1.13932056410557e-10,1.2826164,1.88437983333333,-1.2826164,0.17316693,1.9312936,0.0022222223,2.4392295,0.001
"KEGG_reaction","R04683_UDPGLUCURONATE_BETA_D_GLUCURONOSYLTRANSFERASE_ACCEPTOR_UNSPECIFIC_UDP_GLUCURONATE_ESTRIOL_UDP_16_GLUCURONIDE_ESTRIOL",19,3,0.14374034,1.55802823994401e-11,1.2781357,1.8665522,-1.2781357,0.14374034,1.9237381,0.001,2.3977828,0.001
"KEGG_compound","C11376_SN38_GLUCURONIDE_SN_38G",20,3,0.16436252,1.01664259182034e-10,1.2750916,1.88293796666667,-1.2750916,0.16436252,1.9177587,0.0022123894,2.4559636,0.001
"KEGG_compound","C05787_BILIRUBIN_BETA_DIGLUCURONIDE_BILIRUBIN_BISGLUCURONOSIDE",20,3,0.18461539,1.13337425787629e-10,1.267998,1.87421753333333,-1.267998,0.18461539,1.907549,0.002079002,2.4471056,0.001
"C7_Immunologic_signatures","C7_ALL_1264_GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_DN",199,3,0.07021517,6.55975574999376e-11,1.2483926,1.58378993333333,-1.2483926,0.07021517,2.028925,0.001,-1.4740522,0.004166667
"C7_Immunologic_signatures","C7_ALL_929_GSE22886_NAIVE_TCELL_VS_NKCELL_UP",195,3,0.080367394,3.19174975053932e-10,1.246687,1.5592002,-1.246687,0.080367394,2.0403826,0.001,-1.390531,0.008
"GO_BP","751912_GO_0052696_FLAVONOID_GLUCURONIDATION",21,3,0.19785276,1.21977824628333e-10,1.2286162,1.77307926666667,-1.2286162,0.19785276,1.804638,0.0020120724,2.2859836,0.001
"KEGG_compound","C03033_BETA_D_GLUCURONOSIDE_O_BETA_D_GLUCURONOSIDE_GLUCURONIDE_BETA_D_GLUCURONIDE",21,3,0.20341615,3.14838529736301e-11,1.2225775,1.82361836666667,-1.2225775,0.20341615,1.8246002,0.001,2.4236774,0.001
"GO_BP","493917_GO_0009813_FLAVONOID_BIOSYNTHETIC_PROCESS",21,3,0.2179289,4.26828597447496e-09,1.2094525,1.7430295,-1.2094525,0.2179289,1.753611,0.010869565,2.266025,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_3192_BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2",72,3,0.312749,3.0402159375284e-06,1.0742856,1.50464716666667,-1.1583585,0.22902796,2.2812974,0.001,-1.0742856,0.312749
"C4_Cancer_modules","C4_CM_144_MODULE_152",124,3,0.91515154,2.5949525359013e-05,0.8069625,1.44511333333333,-1.116594,0.25030378,2.4117835,0.001,-0.8069625,0.91515154
"C2_Chemical_and_genetic_perturbations","C2_CGP_3331_PECE_MAMMARY_STEM_CELL_UP",144,3,0.8414873,2.64590731134563e-05,0.8400226,1.6087014,-1.0961897,0.27514452,2.8898919,0.001,0.8400226,0.8414873
"C2_Chemical_and_genetic_perturbations","C2_CGP_1846_MODY_HIPPOCAMPUS_PRENATAL",42,3,0.37300435,4.26422958418529e-07,1.0520424,1.51494346666667,-1.0520424,0.37300435,2.1217542,0.001,-1.3710338,0.06790123
"C2_Chemical_and_genetic_perturbations","C2_CGP_511_LUI_THYROID_CANCER_PAX8_PPARG_DN",45,3,0.3944056,6.01451844885502e-07,1.0461085,1.49284966666667,-1.0461085,0.3944056,2.086126,0.001,-1.3463145,0.07692308
"C7_Immunologic_signatures","C7_ALL_1839_GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP",198,3,0.4288965,2.6257374377819e-09,1.0237473,1.53385483333333,-1.0237473,0.4288965,2.0960536,0.001,-1.4817636,0.0043196543
"C7_Immunologic_signatures","C7_ALL_1403_GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP",197,3,0.44431818,4.29401241014548e-08,1.0189685,1.55837986666667,-1.0189685,0.44431818,2.3085668,0.001,-1.3476043,0.017316017
"C2_Chemical_and_genetic_perturbations","C2_CGP_706_LUI_TARGETS_OF_PAX8_PPARG_FUSION",34,3,0.4813278,1.2661251128506e-06,0.98482513,1.46704454333333,-0.98482513,0.4813278,2.0994496,0.001,-1.3168589,0.093361
"C2_Chemical_and_genetic_perturbations","C2_CGP_2730_CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN",192,3,0.7561905,7.59520638187013e-05,0.8967199,1.42021016666667,-0.9628762,0.54983205,2.4010344,0.001,-0.8967199,0.7561905
"C4_Cancer_modules","C4_CM_109_MODULE_114",338,3,1,0.000140949937540735,0.679346,1.61489761333333,-0.96092814,0.5890558,3.2044187,0.001,0.679346,1
"KEGG_pathway","HSA05012_PARKINSON_S_DISEASE",126,3,0.943038,0.000127400832987552,0.76972926,1.38454218666667,-0.9486248,0.58989424,2.4352725,0.001,-0.76972926,0.943038
"C2_Chemical_and_genetic_perturbations","C2_CGP_287_TIEN_INTESTINE_PROBIOTICS_6HR_UP",55,3,0.54435486,2.89694294381243e-05,0.9400647,1.58775418333333,-0.9400647,0.54435486,2.8259706,0.001,0.99722725,0.4471058
"C4_Cancer_modules","C4_CM_143_MODULE_151",318,3,1,0.000217204483806323,0.71456224,1.63387205666667,-0.90815043,0.7534834,3.2789035,0.001,0.71456224,1
"C7_Immunologic_signatures","C7_ALL_975_GSE22886_NAIVE_TCELL_VS_DC_UP",196,3,0.69284064,3.70679243953788e-10,0.90471196,1.68579552,-0.90471196,0.69284064,2.670931,0.001,-1.4817436,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_2902_WONG_EMBRYONIC_STEM_CELL_CORE",335,3,0.9786096,4.38496584179247e-07,0.7468131,1.4265994,-0.7468131,0.9786096,2.2548494,0.001,-1.2781357,0.026262626
"C2_Chemical_and_genetic_perturbations","C2_CGP_699_LUI_THYROID_CANCER_CLUSTER_3",28,3,0.8914956,3.22345648005499e-05,0.6897549,1.40994693333333,-0.6897549,0.8914956,2.431319,0.001,-1.1087669,0.28957528
"C0_Hallmark","H_ALL_34_HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,3,1,0.000200955776365349,0.613532,1.41023906666667,-0.613532,1,2.70334,0.001,-0.9138452,0.72073925
"REACTOME","477137_REACT_111083_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",135,3,0.9979798,0.000352637240390803,0.5855378,1.3097257,-0.5855378,0.9976019,2.6441705,0.001,-0.6994688,0.9979798
"C4_Cancer_gene_neighborhoods","C4_CGN_170_MORF_RAN",269,3,1,0.000211906127653747,0.51109433,1.42760702333333,-0.51109433,1,2.848996,0.001,-0.92273074,0.7429194
"C4_Cancer_gene_neighborhoods","C4_CGN_135_MORF_NME2",155,3,1,0.000348102469527694,0.67734087,1.56386932333333,0.7535564,0.9881657,3.2607107,0.001,-0.67734087,1
"C4_Cancer_modules","C4_CM_78_MODULE_83",318,3,1,0.00034707958263009,0.70081806,1.67301162,0.8808062,0.9864865,3.4374106,0.001,-0.70081806,1
"C0_Hallmark","H_ALL_28_HALLMARK_MYC_TARGETS_V1",200,3,0.24439919,8.91023594580937e-08,1.0838635,1.6579213,1.2142059,0.04587156,2.6756945,0.001,-1.0838635,0.24439919
"C4_Cancer_gene_neighborhoods","C4_CGN_58_MORF_ACTG1",138,3,0.78305787,2.24739383407241e-06,0.87980163,1.91449077666667,1.2493137,0.077844314,3.614357,0.001,-0.87980163,0.78305787
"GO_MF","489493_GO_0004024_ALCOHOL_DEHYDROGENASE_ACTIVITY_ZINC_DEPENDENT",5,3,0.1503268,1.70624891029422e-11,1.3561957,1.73655643333333,1.3561957,0.1503268,-1.8713807,0.001,-1.9820929,0.001
"C4_Cancer_gene_neighborhoods","C4_CGN_137_MORF_NPM1",162,3,0.9979466,7.68170659223892e-10,0.7140323,1.96580023333333,1.4501834,0.001,3.733185,0.001,-0.7140323,0.9979466
"C4_Cancer_gene_neighborhoods","C4_CGN_248_GCM_NPM1",116,3,1,7.71324315694632e-10,0.56785256,1.85914732,1.568156,0.001,3.4414334,0.001,-0.56785256,1
"C4_Cancer_gene_neighborhoods","C4_CGN_93_MORF_EIF4A2",137,3,0.995671,7.64683185748568e-10,0.69645834,1.81082358,1.5736691,0.001,3.1623433,0.001,-0.69645834,0.995671
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_82_BIOCARTA_AHSP_PATHWAY",13,3,0.04011461,2.05428061997344e-11,1.5857855,1.78220526666667,1.5857855,0.04011461,1.7983783,0.0041067763,-1.962452,0.001
"C4_Cancer_gene_neighborhoods","C4_CGN_391_GNF2_PCAF",36,3,0.021653544,1.79463175360567e-11,1.549337,1.80034113333333,1.680046,0.0071174377,2.1716404,0.001,-1.549337,0.021653544
"C2_Chemical_and_genetic_perturbations","C2_CGP_2413_CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP",52,3,0.96900827,7.24404361479636e-10,0.675804,1.97160166666667,1.874511,0.001,3.36449,0.001,-0.675804,0.96900827
"GO_BP","495806_GO_0015669_GAS_TRANSPORT",20,3,0.110887095,7.48533075445545e-11,1.3336265,1.76316383333333,1.9740447,0.0028169013,1.9818203,0.001,-1.3336265,0.110887095
"C7_Immunologic_signatures","C7_ALL_979_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP",196,3,0.09543569,6.77877192325608e-12,1.1941487,1.93221543333333,1.9992442,0.001,2.6032534,0.001,-1.1941487,0.09543569
"GO_BP","495808_GO_0015671_OXYGEN_TRANSPORT",15,3,0.09504951,6.72306188028157e-12,1.3975953,1.82170043333333,2.081932,0.001,1.985574,0.001,-1.3975953,0.09504951
"GO_MF","487463_GO_0005344_OXYGEN_TRANSPORTER_ACTIVITY",13,3,0.0059405942,1.80081058741251e-13,1.7690752,2.02048733333333,2.1180003,0.0027322404,2.1743865,0.001,-1.7690752,0.0059405942
"GO_CC","490855_GO_0005833_HEMOGLOBIN_COMPLEX",11,3,0.017892644,2.20107884232624e-13,1.6456113,2.11762563333333,2.3334157,0.001,2.3738499,0.001,-1.6456113,0.017892644
