"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T","ND410-M","ND422-M","ND430-M","SLE1077-M","SLE1169-M","SLE985-M"
"2013",2,4,0,0,0,0,0,0,0,1,0,1,0,1,2,0,6,2
"2014",546,487,639,172,184,112,67,73,179,103,80,76,1197,863,614,372,806,350
"2015",194,380,391,45,7,29,26,39,22,34,42,48,373,311,428,169,178,266
"2016",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2017",12,1,0,13,23,18,2,4,0,19,1,26,17,4,12,5,1,3
"2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020",0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
"2021",9,11,6,5,4,5,10,11,11,2,8,4,4,10,9,5,2,3
"2022",85,82,34,35,33,16,28,13,47,45,8,21,794,219,223,329,858,389
"2023",527,554,287,231,231,224,175,204,178,156,269,170,1145,1292,993,564,694,773
"2026",42,33,81,21,30,33,212,106,111,53,175,69,13,4,18,6,3,4
"2027",25,24,16,9,21,7,22,16,10,8,13,14,26,32,20,7,8,8
"2028",2,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"2029",670,591,484,386,378,369,367,247,264,289,496,288,753,845,938,330,502,476
"2030",25,31,26,13,11,6,6,8,14,4,1,11,59,35,73,52,35,42
"2033",3910,4285,3300,2489,2464,2018,2219,2000,1075,1426,1837,1495,5572,4661,5262,3804,3472,4255
"2034",103,281,551,52,18,39,74,59,55,84,31,64,148,150,199,179,160,175
"2035",1257,1079,1476,745,741,789,1062,823,710,796,1616,864,665,742,855,392,211,391
"2036",6,28,1,4,6,0,2,3,0,5,1,2,6,0,10,3,2,3
"2037",266,138,112,212,244,196,88,32,31,58,55,44,144,94,185,80,50,52
"2038",2,0,1,21,3,8,0,0,0,29,4,13,0,0,0,0,0,0
"2039",9,2,2,32,9,29,10,10,4,45,20,22,12,4,8,1,1,8
"2040",289,514,207,123,83,111,192,186,120,190,161,249,366,359,493,192,181,194
"2041",5,2,5,0,0,2,22,2,2,4,8,6,3,3,17,4,4,4
"2042",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5
"2043",92,123,161,61,78,85,480,140,152,181,379,160,33,32,40,34,12,1
"2044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2045",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2046",0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0
"2047",4,13,35,2,0,0,1,0,0,2,0,0,3,0,21,1,0,2
"2048",17,2,2,0,1,0,1,5,17,1,0,5,45,40,163,9,29,48
"2049",0,3,5,0,0,0,3,3,3,0,0,0,1,7,4,1,1,0
"2050",3,5,1,2,0,5,6,7,5,6,7,3,1,2,6,1,1,0
"2051",23,18,16,16,20,12,26,16,4,8,15,13,15,30,29,6,4,21
"2052",2,3,0,3,2,0,2,8,15,4,3,2,26,21,20,10,10,16
"2053",0,4,4,0,2,0,20,24,19,15,46,17,0,5,5,1,0,0
"2054",88,45,133,69,79,39,101,48,207,34,126,75,101,64,139,31,32,70
"2055",178,172,130,40,29,27,211,123,80,67,160,69,635,288,293,199,287,283
"2056",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2057",43,17,87,18,50,22,24,29,11,15,13,5,25,18,46,21,17,17
"2058",302,337,272,240,432,208,320,168,134,282,716,299,207,335,456,91,270,156
"2059",32,55,7,15,10,12,30,11,0,19,18,6,77,35,48,30,41,41
"2060",752,644,703,524,707,476,298,275,308,327,430,304,607,684,977,220,332,337
"2063",3,3,0,0,1,0,4,4,0,0,0,1,0,2,3,0,0,0
"2064",5,7,32,7,5,4,3,4,2,1,0,2,0,2,2,2,1,3
"2065",2,3,9,1,0,1,22,28,73,1,1,2,3,0,2,0,1,0
"2066",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2067",81,106,54,43,60,44,30,41,43,35,33,37,268,309,268,103,191,118
"2068",19,6,5,4,1,5,5,7,5,4,7,3,14,19,21,2,4,12
"2069",4732,3458,1154,380,141,69,182,937,579,245,23,113,8535,15445,2575,1589,5580,2522
"2070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2071",85,70,78,95,82,98,95,54,45,88,112,66,80,79,207,54,49,60
"2072",15,27,45,34,40,30,15,11,9,27,56,27,19,22,35,18,38,23
"2073",14,10,33,6,6,14,12,19,29,8,25,4,11,4,12,2,5,10
"2074",171,126,120,149,244,114,160,93,13,91,263,103,285,54,131,76,239,110
"2077",214,179,213,46,33,33,104,147,384,27,57,20,93,226,87,36,51,33
"2078",9,44,2,10,1,4,5,8,0,13,0,4,8,3,7,4,6,6
"2079",34,17,19,35,57,30,8,11,10,17,44,20,35,31,33,11,36,20
"2081",1101,1830,1589,236,94,85,710,1049,662,350,569,271,1859,2290,1976,685,867,561
"2086",75,93,60,81,71,32,49,48,48,59,20,39,157,107,92,120,90,145
"2091",432,351,324,377,438,499,151,106,51,312,770,305,228,441,267,187,161,202
"2098",274,321,289,251,179,195,72,68,71,193,371,184,496,707,602,313,375,348
"2099",7,12,4,1,4,4,12,14,6,8,24,3,8,5,9,1,0,2
"2100",46,30,94,84,160,106,148,96,39,35,44,31,3,1,7,9,2,9
"2101",20,29,17,16,15,12,7,11,9,9,12,11,26,59,30,25,22,33
"2103",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2104",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2107",1939,1898,1681,727,576,661,629,602,560,785,752,613,3178,3748,2829,1907,1997,1785
"2108",85,50,51,39,58,37,18,26,11,15,33,27,79,93,83,27,37,25
"2109",93,92,45,32,25,35,18,11,16,22,32,52,122,136,128,59,65,130
"2110",54,36,27,22,33,29,49,23,15,31,102,34,59,60,65,18,41,28
"2113",1050,1407,3520,1421,2133,1894,1725,953,953,1695,6113,2096,234,284,408,198,123,125
"2114",1687,1899,591,184,81,87,189,496,205,215,96,194,5535,8224,3422,1850,2429,3578
"2115",1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1
"2116",0,1,4,0,0,2,0,1,0,3,1,0,0,0,1,2,0,0
"2117",2087,2923,1951,358,409,320,1356,1155,932,566,1060,482,2558,2273,3073,634,1177,955
"2118",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"2119",36,17,7,11,2,8,3,3,26,5,0,0,4,4,14,7,18,5
"2120",934,1001,918,359,644,364,365,397,181,260,326,181,2211,1129,2137,658,1549,681
"2121",4,3,4,3,0,0,1,9,1,2,2,2,7,0,6,4,7,3
"2122",0,3,5,2,0,0,0,1,0,2,0,1,1,0,0,3,0,1
"2123",239,233,188,53,66,59,175,122,190,225,376,186,857,806,867,295,374,495
"2124",2378,2288,1763,1515,1411,1995,735,596,748,1331,1295,1431,4738,5701,5224,3784,3814,5515
"2125",1,0,1,0,0,0,4,1,6,0,1,2,0,0,2,0,0,0
"2128",0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"2130",1060,875,627,665,741,568,755,577,486,419,632,442,1249,1158,1485,890,1004,935
"2131",155,211,469,94,101,123,152,165,150,47,60,54,251,300,558,52,114,149
"2132",74,88,181,32,69,45,58,49,34,42,57,35,86,95,122,62,55,60
"2134",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2135",10,17,11,6,7,1,35,34,19,2,20,4,11,14,10,1,2,2
"2137",54,68,20,33,36,13,22,14,10,26,33,25,98,52,154,91,103,93
"2138",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2139",0,4,4,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"2140",138,157,172,106,268,86,109,88,43,82,282,73,314,161,291,133,333,136
"2145",241,112,206,213,266,193,218,153,185,137,387,169,176,149,220,132,99,156
"2146",384,284,248,527,375,616,432,280,102,399,247,281,265,289,219,110,55,99
"2147",0,1,0,1,2,1,3,1,0,0,1,0,0,0,0,0,0,1
"2149",26,64,7,47,36,44,71,34,28,132,116,141,45,18,38,23,22,15
"2150",3,1,3,2,0,0,7,5,0,6,19,8,4,2,23,3,6,4
"2151",16,32,19,41,129,33,32,44,35,23,216,43,34,8,38,18,92,28
"2152",165,167,35,73,8,20,20,53,33,19,1,9,1515,1413,96,161,496,272
"2153",197,205,121,44,31,5,84,70,77,110,102,91,881,576,914,354,573,762
"2155",1,6,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
"2157",30,18,6,7,15,2,3,8,3,4,4,3,47,53,26,11,15,14
"2158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2159",0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"2160",0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
"2161",8,2,0,2,4,4,0,1,0,0,0,0,8,3,5,3,7,4
"2162",442,161,29,120,159,127,62,65,97,294,3,217,1432,593,559,68,75,197
"2165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2166",12,10,11,7,11,4,2,7,0,2,9,1,12,23,23,6,11,13
"2167",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2169",1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0
"2170",0,4,1,1,1,0,1,3,0,0,2,1,0,0,3,0,3,0
"2171",53,49,29,41,21,22,10,13,22,35,16,23,95,68,98,357,256,176
"2172",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2175",71,67,61,38,50,39,62,54,42,22,75,30,39,61,67,32,20,36
"2176",22,24,17,6,18,8,14,9,1,5,8,8,8,14,7,3,5,0
"2177",141,67,181,148,212,192,79,62,82,88,137,56,33,43,39,39,47,22
"2178",6,4,5,11,9,8,10,4,4,2,8,4,3,4,10,2,1,0
"2180",4083,2108,652,1043,1096,1326,401,558,317,593,169,528,6622,6096,5060,2931,7923,4486
"2181",434,322,233,367,311,272,253,157,147,378,366,283,797,532,696,1306,1537,1850
"2182",339,339,211,119,146,101,117,101,102,183,164,171,964,534,662,571,1327,752
"2184",6,14,10,1,3,0,3,6,0,6,2,4,19,39,16,5,12,11
"2185",879,515,493,321,337,313,310,261,452,191,172,237,933,562,995,933,1334,1153
"2186",3991,2667,2852,2157,3626,2371,2908,2326,1384,985,2268,1021,2352,2120,3161,700,1480,914
"2187",14,6,13,10,5,6,5,5,9,1,6,9,2,10,5,11,6,8
"2188",11,9,5,21,39,21,9,4,2,10,39,17,3,3,14,10,0,6
"2189",21,18,4,13,19,16,25,14,24,11,11,17,9,6,21,2,2,0
"2191",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"2192",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0
"2193",42,24,28,34,58,16,22,10,1,22,83,29,34,35,43,22,33,25
"2194",43,43,65,12,31,18,235,72,112,42,163,120,38,25,38,17,8,13
"2195",2,0,5,0,2,0,0,0,2,0,0,4,0,0,0,3,1,1
"2196",4,5,2,2,9,0,4,1,3,1,2,0,4,0,14,6,14,8
"2197",730,625,989,647,548,638,159,135,371,403,739,302,706,1229,632,690,645,828
"2199",8,7,5,4,2,1,1,3,0,1,0,1,2,2,2,1,1,0
"2200",2,11,1,2,1,1,2,3,2,2,1,1,2,0,6,0,3,0
"2201",101,114,16,12,7,1,6,34,1,25,0,14,263,285,277,171,151,127
"2202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2203",26,57,15,17,11,3,3,14,5,25,3,7,112,123,101,136,178,136
"2204",862,755,128,249,110,67,109,191,105,219,27,140,4904,3536,2095,1372,3694,2435
"2205",222,1864,3470,24,7,32,54,121,225,13,1,25,361,480,180,23,60,31
"2206",27,296,623,2,2,20,8,9,12,1,0,2,10,14,35,2,6,4
"2207",1402,1135,735,284,127,146,156,177,242,331,21,407,3645,3704,4065,2130,3416,4133
"2208",179,16,67,225,119,244,4,0,13,9,1,9,1,4,14,2,7,6
"2209",15,12,4,6,0,2,2,16,43,5,0,14,60,58,128,30,29,80
"2210",8,11,0,1,0,3,0,3,1,3,0,2,26,21,64,12,9,24
"2212",1376,1522,570,231,101,111,75,316,316,294,17,244,3189,5447,5532,1634,2142,3074
"2213",78,210,228,12,22,16,2,5,13,2,2,2,25,59,12,2,36,10
"2214",538,1471,358,69,12,102,181,146,135,83,7,211,1012,873,782,283,145,540
"2215",4,18,6,37,12,49,0,2,35,47,2,46,7,19,10,98,46,233
"2217",105,129,28,22,11,5,16,29,17,25,7,13,315,425,323,201,176,259
"2218",25,27,65,34,71,40,16,12,19,18,60,32,13,15,29,8,21,7
"2219",1284,1189,282,144,75,36,82,239,305,142,22,162,3754,6044,6200,1661,2040,3252
"2220",0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0
"2222",453,324,322,187,265,139,157,106,112,169,268,152,294,373,476,200,209,260
"2224",150,144,148,74,98,74,69,55,29,53,124,79,134,202,206,58,78,134
"2230",102,95,76,65,82,60,93,48,24,53,114,71,107,157,148,123,145,109
"2232",3,3,1,1,0,1,4,8,1,0,3,2,0,3,4,0,0,0
"2235",34,34,117,80,54,51,31,22,22,99,109,64,47,53,88,30,28,28
"2237",53,57,23,29,65,35,25,9,11,37,70,41,37,32,39,14,23,15
"2239",8,1,0,8,5,3,0,0,0,2,0,2,9,1,2,4,3,11
"2241",104,99,236,87,139,117,101,50,85,68,82,62,73,60,121,33,36,42
"2242",21,25,17,5,6,6,6,7,15,7,1,6,45,51,77,31,39,62
"2243",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1
"2244",0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
"2245",3,2,1,7,8,7,1,1,0,1,14,3,3,1,0,1,4,1
"2247",0,1,1,2,3,2,2,2,0,1,1,6,1,2,1,0,1,0
"2249",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2250",0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"2252",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2253",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2254",45,23,11,100,75,75,52,38,11,95,81,33,7,13,5,20,4,9
"2256",12,13,17,6,3,2,17,17,38,2,3,0,6,6,8,0,1,5
"2257",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"2258",0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"2259",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2260",42,26,28,48,45,16,71,59,39,58,48,41,91,23,46,299,142,375
"2261",2,3,0,5,4,1,2,5,0,0,2,0,1,0,2,1,1,0
"2262",0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"2263",16,86,141,2,0,2,4,7,3,2,1,2,1,1,0,1,0,1
"2264",3,0,0,3,1,2,3,4,6,0,2,2,0,3,0,0,0,0
"2266",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2268",887,942,366,197,141,120,65,186,170,194,12,174,2238,2183,2619,1154,1684,1964
"2271",73,73,90,54,59,41,17,30,25,28,90,38,77,167,77,27,65,61
"2272",11,7,16,4,9,7,34,16,9,17,153,12,5,12,12,2,6,5
"2273",11,19,35,15,9,19,36,17,17,44,73,42,22,12,20,10,2,4
"2274",4,1,1,3,4,5,3,4,0,1,3,2,1,0,0,2,0,1
"2275",15,32,21,9,5,3,21,9,11,10,8,5,110,51,99,58,67,48
"2280",503,615,506,254,237,146,187,130,216,251,250,178,1196,1437,1281,858,769,1149
"2281",3,3,29,2,2,0,1,4,0,1,0,3,3,2,7,1,2,2
"2282",51,27,36,33,96,49,64,53,63,29,107,42,7,5,9,10,6,12
"2286",96,116,120,68,101,80,28,42,18,43,48,43,145,154,84,61,99,113
"2287",92,95,99,73,112,90,61,23,31,92,224,105,53,100,106,25,40,67
"2288",661,477,480,105,158,84,203,259,133,48,155,57,163,363,507,38,16,38
"2289",459,537,557,212,735,366,792,544,373,507,4042,1012,678,676,1556,241,2049,801
"2290",0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
"2294",1,0,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,2
"2295",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"2296",3,3,8,1,2,2,3,0,0,1,2,1,0,2,3,1,1,0
"2297",1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"2298",0,1,1,1,1,0,3,1,0,0,1,0,1,1,0,0,1,1
"2299",5,3,0,0,0,0,8,10,17,0,1,0,4,7,43,0,0,0
"2300",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2302",1,4,5,1,0,0,5,8,32,0,2,1,0,2,3,0,0,0
"2303",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"2304",0,1,36,1,0,0,7,1,1,0,3,1,0,1,1,0,1,2
"2305",10,14,9,11,9,7,18,15,10,8,23,12,9,3,9,7,3,3
"2306",1,5,2,3,6,1,17,8,1,1,2,5,5,0,5,2,2,1
"2308",885,561,1437,1150,749,1175,927,539,452,797,2380,1113,507,274,663,624,344,475
"2309",1272,1559,1184,591,431,609,388,407,345,498,499,375,3541,2229,2718,1471,1258,2039
"2310",41,30,53,31,45,26,88,30,37,15,62,26,19,13,12,6,5,8
"2312",0,0,17,3,0,0,0,0,6,4,0,17,1,0,0,7,0,25
"2313",528,632,830,409,490,333,265,184,167,132,568,223,463,528,1026,217,293,333
"2314",218,272,191,96,99,85,134,97,109,81,124,111,445,489,592,211,204,341
"2315",25,13,24,8,11,5,56,33,18,2,12,3,26,5,37,3,14,6
"2316",2619,2816,2308,658,766,744,1815,1732,1268,772,819,1262,4805,4090,4503,2249,2486,3194
"2317",438,343,741,200,371,166,300,308,197,387,560,251,332,112,165,558,1376,894
"2318",11,1,1,2,10,2,8,8,3,1,2,3,3,0,4,0,0,0
"2319",260,241,366,138,166,160,53,69,81,53,130,129,307,421,468,132,93,257
"2321",780,608,217,22,24,9,134,154,92,68,110,59,2374,1620,1339,164,681,244
"2322",44,162,189,9,5,6,7,9,14,4,1,6,81,117,73,15,41,20
"2323",6,9,52,2,5,10,55,42,33,35,76,25,5,9,6,3,0,4
"2324",0,1,9,0,0,0,17,9,2,5,4,4,2,2,2,0,0,0
"2326",1,0,6,3,2,0,0,0,1,1,0,2,0,0,0,0,0,1
"2327",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2328",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2329",15,14,12,4,10,14,8,3,0,1,12,4,11,24,15,10,7,9
"2330",43,34,5,10,17,12,4,12,0,3,8,3,52,84,56,13,11,15
"2331",0,0,3,6,4,2,4,8,59,5,0,0,0,0,1,0,1,0
"2332",283,260,221,255,296,311,226,147,57,211,377,202,286,238,392,176,188,200
"2334",51,140,75,62,20,31,13,11,6,38,16,29,77,169,115,108,94,116
"2335",4,9,5,15,31,7,10,16,15,19,11,6,40,19,67,86,78,45
"2339",103,105,113,148,152,96,91,62,61,115,187,73,87,104,178,77,90,78
"2342",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"2346",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2348",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2350",20,3,4,2,5,0,0,7,2,2,0,2,28,31,42,25,45,19
"2352",6,12,5,0,0,0,0,4,1,1,0,2,18,38,244,8,5,32
"2353",1145,1332,1709,1635,692,1777,440,433,1118,426,249,457,1475,1726,4944,1626,471,1557
"2354",5278,7915,9614,2110,867,1809,1862,2001,4327,910,107,434,17286,16063,25432,5481,4273,6750
"2355",3065,5726,4986,1854,1422,1572,2542,2018,1836,2142,3317,1888,7123,5850,6848,5353,3696,5905
"2356",18,18,19,26,28,29,21,16,11,12,24,20,59,15,38,43,48,56
"2357",492,450,445,163,95,67,36,97,78,224,20,167,1151,1767,1280,1030,2092,1775
"2358",87,44,27,19,17,6,3,18,4,25,2,14,118,152,105,169,528,175
"2359",27,115,24,3,17,1,9,18,4,8,0,3,291,182,114,140,433,98
"2395",24,31,58,14,48,24,27,31,13,20,98,38,25,36,28,36,19,20
"2444",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"2475",461,321,468,348,485,196,353,271,242,237,456,196,284,273,505,192,261,159
"2483",64,67,61,72,47,87,21,19,17,60,62,38,69,121,117,111,75,89
"2487",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2488",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2491",3,4,41,0,4,0,0,2,0,1,0,2,4,3,3,1,0,3
"2492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2494",0,0,0,0,0,1,0,1,0,0,0,3,1,1,0,3,5,1
"2495",17524,18729,16153,12254,7705,11015,2977,3374,3560,10079,10571,6701,40738,48666,32242,33960,33924,35628
"2498",17,7,55,5,32,9,21,23,7,7,18,6,8,7,12,10,5,6
"2512",5772,8745,4878,3478,1582,2030,691,1527,2117,2623,1266,1610,15464,27656,17521,15213,12967,15644
"2516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2517",60,46,67,14,32,19,46,29,43,22,55,26,171,126,140,54,154,106
"2519",80,72,90,20,21,11,20,15,50,24,9,21,204,212,243,92,122,163
"2520",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2521",1474,1324,1468,804,1183,773,1381,1483,1195,542,1578,505,1428,1651,1829,878,1233,819
"2523",0,3,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0
"2524",1,0,1,1,0,0,0,3,1,0,0,2,0,0,0,0,1,0
"2525",0,0,0,1,3,0,0,0,2,0,1,0,0,0,2,0,1,0
"2526",221,183,114,107,142,97,84,65,71,115,176,111,469,317,648,410,481,545
"2527",2,0,0,1,3,1,0,2,0,1,6,2,0,0,1,1,0,0
"2528",0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0
"2529",0,3,1,0,0,0,0,0,3,0,0,0,0,4,2,0,1,0
"2530",217,80,222,51,44,60,131,125,183,49,73,91,26,50,75,6,7,7
"2531",114,104,202,54,102,39,154,96,65,31,120,54,198,121,156,65,73,76
"2532",0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0
"2533",882,1629,1139,139,67,131,1740,1142,1208,589,2003,922,2203,2864,4639,494,384,1048
"2534",371,646,444,198,194,134,1528,835,467,586,2208,600,581,672,943,191,279,242
"2535",1,4,0,1,0,0,1,2,2,0,0,2,4,12,26,1,2,1
"2537",42,40,57,13,7,16,8,16,44,20,14,28,100,171,739,72,29,280
"2538",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2539",68,91,90,22,21,19,35,31,57,8,13,19,108,194,148,40,38,84
"2542",8,2,2,6,4,6,14,10,16,11,20,4,8,12,6,2,5,2
"2547",670,469,425,509,520,496,289,188,171,399,769,333,723,788,569,363,425,380
"2548",132,84,76,24,11,26,23,31,149,27,12,22,363,370,417,150,138,338
"2549",246,342,516,172,215,230,15,45,96,56,3,36,265,178,292,138,142,107
"2550",428,293,324,183,156,202,243,231,254,60,117,67,270,270,410,92,78,124
"2551",96,81,82,146,166,105,78,42,41,94,145,95,99,74,86,63,124,77
"2553",171,90,261,485,684,689,83,52,51,297,279,181,171,120,106,119,195,203
"2554",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2559",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"2560",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2561",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2562",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2563",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"2564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2565",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"2566",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"2567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2569",0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
"2570",2,6,2,3,1,4,5,10,0,0,1,1,7,3,24,3,2,2
"2571",1,1,4,0,0,1,0,0,0,2,0,2,0,1,4,1,1,1
"2580",206,141,245,193,262,202,112,85,76,54,94,70,243,221,206,143,95,168
"2581",369,565,422,182,294,189,168,148,104,177,269,163,485,362,376,242,251,357
"2582",7,9,7,4,2,2,7,8,12,3,6,3,6,8,4,6,6,5
"2583",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"2584",2,7,0,1,0,1,2,2,2,1,2,1,7,17,10,4,4,3
"2585",27,32,29,10,11,12,18,27,33,12,17,11,24,41,62,6,10,12
"2587",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2588",43,43,36,33,62,45,21,26,37,13,17,8,48,53,83,43,32,45
"2589",277,322,342,345,410,315,103,88,51,192,160,190,565,400,481,323,508,411
"2590",98,98,34,229,361,288,31,18,10,32,16,17,146,143,159,69,125,137
"2591",223,224,123,70,90,86,63,39,14,47,29,53,314,172,222,109,131,89
"2592",28,27,47,14,11,10,56,53,68,20,50,27,22,33,30,7,4,7
"2593",0,2,10,2,1,0,3,0,0,0,2,1,0,2,0,0,0,0
"2595",293,140,231,113,166,195,93,89,68,42,83,54,150,164,217,68,74,86
"2596",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2597",2692,4056,2504,1018,625,710,636,787,844,1311,985,1502,8878,11998,7501,5976,5811,8796
"2615",59,47,19,105,87,79,14,5,10,26,13,25,79,78,54,104,60,46
"2617",308,371,333,265,343,260,148,123,109,189,391,234,561,743,834,241,464,325
"2618",84,71,51,83,142,67,91,80,61,44,125,52,42,55,81,35,34,15
"2619",1,1,0,2,0,3,2,0,3,0,2,1,2,0,2,6,1,2
"2620",1,2,2,0,2,3,6,2,2,2,2,0,0,0,0,0,0,0
"2621",8,11,24,2,8,6,6,3,4,1,0,0,6,9,4,5,2,6
"2622",5,1,2,8,7,3,5,3,0,4,11,4,1,1,2,3,1,4
"2623",1,6,34,4,4,3,0,0,0,1,1,0,3,1,0,0,0,1
"2624",105,497,1324,18,10,26,9,31,138,9,0,9,11,20,48,12,16,6
"2625",10,67,88,11,7,10,158,90,141,122,349,140,22,26,20,27,3,2
"2626",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2627",0,1,0,0,0,0,0,0,7,4,2,8,0,0,0,0,0,4
"2628",69,39,30,19,87,10,1,3,17,1,1,0,13,23,12,5,11,1
"2629",62,64,89,17,20,34,18,19,47,17,35,33,128,168,174,37,46,100
"2630",4,5,0,0,2,2,7,1,1,1,3,2,3,1,3,0,1,1
"2631",100,116,120,93,103,80,33,36,24,81,146,94,175,199,189,121,144,157
"2632",90,90,39,44,47,32,37,36,15,18,39,13,95,134,101,32,127,52
