"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"GO_BP:518348_GO_0090208_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS","GO_BP","518348_GO_0090208_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",18,-1.5263,0.047,0.095,-0.8939,0.6,1,-0.8508,0.65,0.96
"GO_BP:948899_GO_1902744_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION","GO_BP","948899_GO_1902744_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",5,-1.5263,0.031,0.095,0.8071,0.7,1,0.6434,0.89,1
"GO_BP:509094_GO_0046883_REGULATION_OF_HORMONE_SECRETION","GO_BP","509094_GO_0046883_REGULATION_OF_HORMONE_SECRETION",237,-1.5261,0.0011,0.095,0.9333,0.69,1,0.9134,0.71,0.93
"GO_MF:490537_GO_0005342_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GO_MF","490537_GO_0005342_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",118,-1.5261,0.0037,0.13,-1.1852,0.13,0.78,-0.9109,0.68,0.87
"C6_Oncogenic_signatures:C6_ALL_88_MTOR_UP_N4_V1_UP","C6_Oncogenic_signatures","C6_ALL_88_MTOR_UP_N4_V1_UP",194,-1.526,0.0011,0.0097,-0.7112,0.99,1,-1.0655,0.31,0.57
"C2_Chemical_and_genetic_perturbations:C2_CGP_1842_ZHOU_TNF_SIGNALING_30MIN","C2_Chemical_and_genetic_perturbations","C2_CGP_1842_ZHOU_TNF_SIGNALING_30MIN",53,-1.526,0.015,0.054,0.8545,0.73,0.97,-0.9317,0.59,0.84
"C7_Immunologic_signatures:C7_ALL_1041_GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP","C7_Immunologic_signatures","C7_ALL_1041_GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP",198,-1.5259,0.0011,0.0043,-1.1466,0.15,1,-1.3479,0.014,0.098
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_32_BIOCARTA_CCR3_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_32_BIOCARTA_CCR3_PATHWAY",20,-1.5258,0.033,0.12,-1.0182,0.43,1,-0.821,0.74,0.89
"GO_MF:489706_GO_0004340_GLUCOKINASE_ACTIVITY","GO_MF","489706_GO_0004340_GLUCOKINASE_ACTIVITY",5,-1.5258,0.03,0.13,-1.1936,0.27,0.8,-1.2342,0.25,0.58
"C7_Immunologic_signatures:C7_ALL_442_GSE17580_TREG_VS_TEFF_S_MANSONI_INF_DN","C7_Immunologic_signatures","C7_ALL_442_GSE17580_TREG_VS_TEFF_S_MANSONI_INF_DN",199,-1.5257,0,0.0043,0.8164,0.94,1,-1.2943,0.029,0.14
"GO_BP:511739_GO_0050768_NEGATIVE_REGULATION_OF_NEUROGENESIS","GO_BP","511739_GO_0050768_NEGATIVE_REGULATION_OF_NEUROGENESIS",191,-1.5257,0,0.095,-1.0726,0.29,0.96,1.153,0.13,0.73
"C7_Immunologic_signatures:C7_ALL_901_GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP","C7_Immunologic_signatures","C7_ALL_901_GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP",197,-1.5253,0.0011,0.0044,0.8133,0.95,1,-1.3011,0.024,0.14
"C2_Chemical_and_genetic_perturbations:C2_CGP_1119_PETRETTO_CARDIAC_HYPERTROPHY","C2_Chemical_and_genetic_perturbations","C2_CGP_1119_PETRETTO_CARDIAC_HYPERTROPHY",34,-1.5252,0.031,0.054,-0.6864,0.94,1,-1.1373,0.25,0.59
"WikiPathways:198790_WP262_EBV_LMP1_SIGNALING","WikiPathways","198790_WP262_EBV_LMP1_SIGNALING",22,-1.5251,0.032,0.06,-0.8986,0.62,1,-1.1532,0.27,0.58
"GO_BP:491914_GO_0007095_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT","GO_BP","491914_GO_0007095_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT",15,-1.525,0.038,0.096,-0.794,0.76,1,-1.1665,0.25,0.73
"GO_BP:495294_GO_0014902_MYOTUBE_DIFFERENTIATION","GO_BP","495294_GO_0014902_MYOTUBE_DIFFERENTIATION",49,-1.525,0.018,0.096,-1.2347,0.15,0.9,-1.4899,0.018,0.53
"GO_MF:489533_GO_0004065_ARYLSULFATASE_ACTIVITY","GO_MF","489533_GO_0004065_ARYLSULFATASE_ACTIVITY",12,-1.525,0.046,0.13,-0.9708,0.49,0.94,-1.2249,0.22,0.58
"GO_BP:505341_GO_0042180_CELLULAR_KETONE_METABOLIC_PROCESS","GO_BP","505341_GO_0042180_CELLULAR_KETONE_METABOLIC_PROCESS",64,-1.525,0.019,0.096,-0.7645,0.87,1,-1.2189,0.13,0.71
"GO_BP:487445_GO_0042136_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS","GO_BP","487445_GO_0042136_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS",16,-1.5249,0.033,0.096,-0.8096,0.72,1,-1.3136,0.13,0.64
"C2_Chemical_and_genetic_perturbations:C2_CGP_5_WINTER_HYPOXIA_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_5_WINTER_HYPOXIA_UP",92,-1.5248,0.0051,0.055,-0.9695,0.53,1,-1.0568,0.33,0.68
"GO_BP:500184_GO_0030889_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION","GO_BP","500184_GO_0030889_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION",15,-1.5247,0.049,0.096,1.0286,0.43,0.97,0.7195,0.85,1
"C6_Oncogenic_signatures:C6_ALL_96_ESC_J1_UP_LATE_V1_UP","C6_Oncogenic_signatures","C6_ALL_96_ESC_J1_UP_LATE_V1_UP",176,-1.5247,0.0023,0.0098,-1.2737,0.059,0.35,-1.2415,0.058,0.32
"GO_BP:517546_GO_0072643_INTERFERON_GAMMA_SECRETION","GO_BP","517546_GO_0072643_INTERFERON_GAMMA_SECRETION",8,-1.5247,0.051,0.096,-0.7875,0.71,1,-0.9666,0.5,0.88
"C7_Immunologic_signatures:C7_ALL_12_KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_12_KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN",199,-1.5246,0.0011,0.0044,1.418,0.0049,0.032,-1.2924,0.022,0.15
"REACTOME:1127530_REACT_263890_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4","REACTOME","1127530_REACT_263890_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4",15,-1.5244,0.032,0.11,0.7116,0.88,1,1.0662,0.38,0.95
"GO_BP:516727_GO_0071804_CELLULAR_POTASSIUM_ION_TRANSPORT","GO_BP","516727_GO_0071804_CELLULAR_POTASSIUM_ION_TRANSPORT",129,-1.5244,0.0036,0.096,-1.2259,0.11,0.88,1.272,0.063,0.69
"GO_BP:500870_GO_0031620_REGULATION_OF_FEVER_GENERATION","GO_BP","500870_GO_0031620_REGULATION_OF_FEVER_GENERATION",8,-1.5242,0.046,0.096,-1.0559,0.39,0.97,1.3499,0.14,0.65
"C2_Chemical_and_genetic_perturbations:C2_CGP_2221_ENGELMANN_CANCER_PROGENITORS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2221_ENGELMANN_CANCER_PROGENITORS_UP",46,-1.524,0.014,0.055,-0.8441,0.73,1,-1.2742,0.13,0.45
"C2_Chemical_and_genetic_perturbations:C2_CGP_3151_ZHU_SKIL_TARGETS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_3151_ZHU_SKIL_TARGETS_DN",9,-1.524,0.031,0.055,0.8325,0.67,0.97,-1.0601,0.39,0.68
"C4_Cancer_modules:C4_CM_257_MODULE_292","C4_Cancer_modules","C4_CM_257_MODULE_292",132,-1.5238,0.0061,0.048,1.5517,0.007,0.094,-0.9879,0.47,0.72
"REACTOME:1183607_REACT_355027_REGULATED_NECROSIS","REACTOME","1183607_REACT_355027_REGULATED_NECROSIS",16,-1.5237,0.028,0.11,0.4936,1,1,-0.7939,0.78,1
"GO_BP:492891_GO_0045909_POSITIVE_REGULATION_OF_VASODILATION","GO_BP","492891_GO_0045909_POSITIVE_REGULATION_OF_VASODILATION",26,-1.5236,0.041,0.096,1.3294,0.12,0.63,1.404,0.064,0.62
"GO_BP:518215_GO_0090075_RELAXATION_OF_MUSCLE","GO_BP","518215_GO_0090075_RELAXATION_OF_MUSCLE",20,-1.5236,0.047,0.096,-1.0825,0.33,0.95,-1.0325,0.38,0.82
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_102_BIOCARTA_GSK3_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_102_BIOCARTA_GSK3_PATHWAY",26,-1.5235,0.031,0.12,0.9052,0.6,0.91,0.8077,0.79,1
"KEGG_pathway:HSA05131_SHIGELLOSIS","KEGG_pathway","HSA05131_SHIGELLOSIS",64,-1.5235,0.017,0.028,0.9738,0.5,0.96,-0.7894,0.87,0.95
"GO_MF:490488_GO_0005254_CHLORIDE_CHANNEL_ACTIVITY","GO_MF","490488_GO_0005254_CHLORIDE_CHANNEL_ACTIVITY",68,-1.5235,0.012,0.13,-0.9582,0.53,0.95,1.1663,0.17,0.76
"C2_Chemical_and_genetic_perturbations:C2_CGP_2040_BAFNA_MUC4_TARGETS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2040_BAFNA_MUC4_TARGETS_DN",5,-1.5234,0.024,0.055,-1.2014,0.28,0.8,0.5798,0.93,1
"C3_MicroRNA_targets:C3_MIR_83_GTGACTT_MIR_224","C3_MicroRNA_targets","C3_MIR_83_GTGACTT_MIR_224",156,-1.5234,0.0024,0.24,-0.9983,0.46,1,-1.1244,0.19,1
"KEGG_compound:C00114_CHOLINE_BILINEURINE","KEGG_compound","C00114_CHOLINE_BILINEURINE",12,-1.5234,0.048,0.15,-0.6319,0.92,1,0.8064,0.77,0.87
"C3_MicroRNA_targets:C3_MIR_219_AGTGCGT_MIR_521","C3_MicroRNA_targets","C3_MIR_219_AGTGCGT_MIR_521",6,-1.5234,0.03,0.21,-1.3742,0.12,0.66,-0.8097,0.72,1
"GO_MF:499364_GO_0022804_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GO_MF","499364_GO_0022804_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",328,-1.5233,0,0.13,-1.1885,0.076,0.79,-1.1085,0.17,0.7
"C2_Chemical_and_genetic_perturbations:C2_CGP_3363_LIM_MAMMARY_LUMINAL_PROGENITOR_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3363_LIM_MAMMARY_LUMINAL_PROGENITOR_UP",54,-1.5233,0.013,0.055,-0.8792,0.69,1,-0.8674,0.73,0.91
"GO_MF:490356_GO_0005088_RAS_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY","GO_MF","490356_GO_0005088_RAS_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY",127,-1.5233,0.0036,0.13,-1.4675,0.0089,0.59,-0.9489,0.6,0.83
"GO_BP:911354_GO_0097527_NECROPTOTIC_SIGNALING_PATHWAY","GO_BP","911354_GO_0097527_NECROPTOTIC_SIGNALING_PATHWAY",6,-1.5233,0.046,0.096,0.7802,0.73,1,-0.6387,0.91,1
"C6_Oncogenic_signatures:C6_ALL_159_KRAS_AMP_LUNG_UP_V1_UP","C6_Oncogenic_signatures","C6_ALL_159_KRAS_AMP_LUNG_UP_V1_UP",128,-1.5232,0.0035,0.01,-1.096,0.26,0.57,1.1592,0.16,0.33
"GO_MF:504276_GO_0035091_PHOSPHATIDYLINOSITOL_BINDING","GO_MF","504276_GO_0035091_PHOSPHATIDYLINOSITOL_BINDING",184,-1.523,0.0023,0.13,-0.8464,0.87,1,-1.1994,0.098,0.59
"KEGG_compound:C00054_ADENOSINE_3_5_BISPHOSPHATE_PAP_3_PHOSPHOADENYLATE_PHOSPHOADENOSINE_PHOSPHATE","KEGG_compound","C00054_ADENOSINE_3_5_BISPHOSPHATE_PAP_3_PHOSPHOADENYLATE_PHOSPHOADENOSINE_PHOSPHATE",18,-1.523,0.04,0.15,1.3039,0.12,0.73,-1.1446,0.26,0.51
"C2_Chemical_and_genetic_perturbations:C2_CGP_889_TSAI_RESPONSE_TO_IONIZING_RADIATION","C2_Chemical_and_genetic_perturbations","C2_CGP_889_TSAI_RESPONSE_TO_IONIZING_RADIATION",145,-1.5229,0.0023,0.055,0.8993,0.71,0.93,-1.0416,0.37,0.7
"C7_Immunologic_signatures:C7_ALL_178_GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","C7_Immunologic_signatures","C7_ALL_178_GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN",197,-1.5227,0.0023,0.0046,1.1505,0.13,0.32,1.0293,0.37,1
"GO_MF:507608_GO_0045236_CXCR_CHEMOKINE_RECEPTOR_BINDING","GO_MF","507608_GO_0045236_CXCR_CHEMOKINE_RECEPTOR_BINDING",16,-1.5226,0.039,0.13,1.232,0.18,0.7,-1.2517,0.19,0.59
"C2_Chemical_and_genetic_perturbations:C2_CGP_590_CHASSOT_SKIN_WOUND","C2_Chemical_and_genetic_perturbations","C2_CGP_590_CHASSOT_SKIN_WOUND",10,-1.5225,0.044,0.055,-1.5276,0.04,0.45,-0.654,0.89,0.99
"KEGG_compound:C00535_TESTOSTERONE_17BETA_HYDROXY_4_ANDROSTEN_3_ONE","KEGG_compound","C00535_TESTOSTERONE_17BETA_HYDROXY_4_ANDROSTEN_3_ONE",31,-1.5225,0.023,0.15,1.7619,0,0.049,1.8903,0,0.0057
"C3_TF_targets:C3_TFT_341_V_LBP1_Q6","C3_TF_targets","C3_TFT_341_V_LBP1_Q6",219,-1.5224,0,0.019,-1.1123,0.19,0.51,-1.2377,0.052,0.3
"C7_Immunologic_signatures:C7_ALL_807_GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_807_GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP",191,-1.5222,0.0011,0.0046,-1.051,0.31,1,-1.0895,0.24,0.52
"C2_Chemical_and_genetic_perturbations:C2_CGP_3230_IKEDA_MIR30_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3230_IKEDA_MIR30_TARGETS_UP",116,-1.5221,0.0087,0.055,0.7892,0.94,1,-0.7627,0.94,0.97
"GO_BP:750856_GO_0035929_STEROID_HORMONE_SECRETION","GO_BP","750856_GO_0035929_STEROID_HORMONE_SECRETION",5,-1.5221,0.026,0.097,0.8087,0.68,1,1.1644,0.3,0.73
"C3_TF_targets:C3_TFT_175_V_EGR3_01","C3_TF_targets","C3_TFT_175_V_EGR3_01",85,-1.5219,0.0099,0.019,-1.0702,0.32,0.61,-0.797,0.9,1
"C7_Immunologic_signatures:C7_ALL_384_GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_384_GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN",183,-1.5219,0.0011,0.0046,-1.5031,0.0051,0.065,-1.0904,0.23,0.52
"C2_Chemical_and_genetic_perturbations:C2_CGP_3289_DELACROIX_RAR_TARGETS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_3289_DELACROIX_RAR_TARGETS_DN",24,-1.5218,0.045,0.056,-0.921,0.59,1,1.3523,0.093,0.56
"GO_BP:511899_GO_0050965_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN","GO_BP","511899_GO_0050965_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN",10,-1.5217,0.052,0.097,-1.1022,0.32,0.94,-1.2236,0.21,0.71
"C3_TF_targets:C3_TFT_77_V_CEBPA_01","C3_TF_targets","C3_TFT_77_V_CEBPA_01",240,-1.5217,0.0011,0.018,-1.0126,0.43,0.73,-1.0903,0.22,0.57
"GO_BP:503535_GO_0034332_ADHERENS_JUNCTION_ORGANIZATION","GO_BP","503535_GO_0034332_ADHERENS_JUNCTION_ORGANIZATION",70,-1.5216,0.012,0.097,-0.9031,0.65,1,1.0921,0.29,0.77
"C7_Immunologic_signatures:C7_ALL_1190_GSE27786_BCELL_VS_MONO_MAC_DN","C7_Immunologic_signatures","C7_ALL_1190_GSE27786_BCELL_VS_MONO_MAC_DN",196,-1.5216,0.0011,0.0046,-1.025,0.4,1,-1.2063,0.074,0.27
"GO_BP:498076_GO_0019221_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GO_BP","498076_GO_0019221_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",372,-1.5215,0,0.098,1.2183,0.041,0.76,-1.0094,0.42,0.84
"C2_Chemical_and_genetic_perturbations:C2_CGP_44_FOURNIER_ACINAR_DEVELOPMENT_LATE_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_44_FOURNIER_ACINAR_DEVELOPMENT_LATE_DN",21,-1.5215,0.04,0.056,1.069,0.37,0.68,-0.7543,0.84,0.97
"GO_BP:503923_GO_0034723_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION","GO_BP","503923_GO_0034723_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION",32,-1.5215,0.023,0.098,-1.8271,0.0038,0.4,-1.595,0.017,0.52
"C2_Chemical_and_genetic_perturbations:C2_CGP_2824_GYORFFY_MITOXANTRONE_RESISTANCE","C2_Chemical_and_genetic_perturbations","C2_CGP_2824_GYORFFY_MITOXANTRONE_RESISTANCE",54,-1.5213,0.019,0.056,0.7778,0.87,1,0.9662,0.53,0.97
"C3_TF_targets:C3_TFT_200_V_FREAC2_01","C3_TF_targets","C3_TFT_200_V_FREAC2_01",248,-1.5212,0,0.018,-0.797,0.95,1,-1.0052,0.45,0.75
"GO_CC:499504_GO_0030056_HEMIDESMOSOME","GO_CC","499504_GO_0030056_HEMIDESMOSOME",9,-1.5211,0.052,0.13,-1.0208,0.43,0.84,-0.9561,0.52,1
"GO_MF:496495_GO_0016538_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY","GO_MF","496495_GO_0016538_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY",20,-1.5211,0.027,0.13,-1.3843,0.086,0.65,-1.4423,0.058,0.43
"GO_BP:755305_GO_2001199_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION","GO_BP","755305_GO_2001199_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION",5,-1.5208,0.023,0.098,-0.9059,0.57,1,-1.1271,0.35,0.75
"KEGG_pathway:HSA00030_PENTOSE_PHOSPHATE_PATHWAY","KEGG_pathway","HSA00030_PENTOSE_PHOSPHATE_PATHWAY",29,-1.5208,0.04,0.029,0.9062,0.61,1,-0.8432,0.7,0.9
"GO_MF:490337_GO_0005057_RECEPTOR_SIGNALING_PROTEIN_ACTIVITY","GO_MF","490337_GO_0005057_RECEPTOR_SIGNALING_PROTEIN_ACTIVITY",149,-1.5208,0.0048,0.13,-1.0485,0.33,0.86,-0.9697,0.51,0.8
"C3_TF_targets:C3_TFT_613_TGANNYRGCA_V_TCF11MAFG_01","C3_TF_targets","C3_TFT_613_TGANNYRGCA_V_TCF11MAFG_01",294,-1.5207,0,0.018,-0.969,0.54,0.82,-1.1629,0.076,0.43
"GO_BP:511814_GO_0050872_WHITE_FAT_CELL_DIFFERENTIATION","GO_BP","511814_GO_0050872_WHITE_FAT_CELL_DIFFERENTIATION",12,-1.5206,0.045,0.098,0.9443,0.53,1,-0.795,0.73,0.99
"C2_Chemical_and_genetic_perturbations:C2_CGP_1333_KIM_GERMINAL_CENTER_T_HELPER_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1333_KIM_GERMINAL_CENTER_T_HELPER_DN",24,-1.5205,0.024,0.056,0.7039,0.9,1,0.7644,0.81,1
"GO_BP:511983_GO_0051058_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION","GO_BP","511983_GO_0051058_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION",42,-1.5205,0.021,0.098,-0.8851,0.66,1,-0.7037,0.94,0.99
"KEGG_pathway:HSA05322_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_pathway","HSA05322_SYSTEMIC_LUPUS_ERYTHEMATOSUS",125,-1.5205,0.0036,0.029,-1.4093,0.019,0.41,-1.3505,0.023,0.21
"GO_MF:500248_GO_0030955_POTASSIUM_ION_BINDING","GO_MF","500248_GO_0030955_POTASSIUM_ION_BINDING",8,-1.5203,0.039,0.13,-1.4687,0.056,0.6,-1.4102,0.094,0.48
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_159_BIOCARTA_PML_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_159_BIOCARTA_PML_PATHWAY",17,-1.5202,0.055,0.12,-0.5996,0.96,1,-1.223,0.21,0.59
"C7_Immunologic_signatures:C7_ALL_1390_GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_DN","C7_Immunologic_signatures","C7_ALL_1390_GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_DN",197,-1.5201,0.0011,0.0048,1.326,0.024,0.08,-0.7992,0.96,1
"C7_Immunologic_signatures:C7_ALL_922_GSE22886_CD8_VS_CD4_NAIVE_TCELL_DN","C7_Immunologic_signatures","C7_ALL_922_GSE22886_CD8_VS_CD4_NAIVE_TCELL_DN",193,-1.5201,0.0023,0.0048,-1.1656,0.12,0.94,-1.1385,0.16,0.39
"GO_CC:490889_GO_0005884_ACTIN_FILAMENT","GO_CC","490889_GO_0005884_ACTIN_FILAMENT",77,-1.5199,0.01,0.13,-0.7878,0.87,1,-0.921,0.62,1
"C7_Immunologic_signatures:C7_ALL_498_GSE17721_CTRL_VS_CPG_1H_BMDM_DN","C7_Immunologic_signatures","C7_ALL_498_GSE17721_CTRL_VS_CPG_1H_BMDM_DN",197,-1.5199,0.0011,0.0048,-1.1358,0.18,1,-1.0271,0.37,0.66
"C2_Chemical_and_genetic_perturbations:C2_CGP_62_GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_62_GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP",39,-1.5197,0.026,0.056,0.8422,0.74,0.97,-0.6677,0.97,0.99
"GO_BP:491689_GO_0006821_CHLORIDE_TRANSPORT","GO_BP","491689_GO_0006821_CHLORIDE_TRANSPORT",89,-1.5197,0.009,0.099,-1.0146,0.4,0.98,-1.2018,0.14,0.73
"C2_Chemical_and_genetic_perturbations:C2_CGP_2151_AMUNDSON_POOR_SURVIVAL_AFTER_GAMMA_RADIATION_2G","C2_Chemical_and_genetic_perturbations","C2_CGP_2151_AMUNDSON_POOR_SURVIVAL_AFTER_GAMMA_RADIATION_2G",171,-1.5196,0.0023,0.056,0.9726,0.56,0.83,-0.888,0.79,0.9
"GO_MF:490002_GO_0004675_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GO_MF","490002_GO_0004675_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",16,-1.5195,0.057,0.13,-0.6385,0.93,1,0.9046,0.58,0.95
"GO_BP:496153_GO_0016054_ORGANIC_ACID_CATABOLIC_PROCESS","GO_BP","496153_GO_0016054_ORGANIC_ACID_CATABOLIC_PROCESS",196,-1.5193,0,0.099,0.9035,0.75,1,-1.3531,0.019,0.6
"C2_Chemical_and_genetic_perturbations:C2_CGP_3368_DURAND_STROMA_NS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3368_DURAND_STROMA_NS_UP",161,-1.5193,0.0048,0.056,-1.0257,0.37,0.98,-1.2715,0.043,0.46
"GO_BP:513566_GO_0060008_SERTOLI_CELL_DIFFERENTIATION","GO_BP","513566_GO_0060008_SERTOLI_CELL_DIFFERENTIATION",21,-1.5192,0.037,0.099,-1.9331,0.0019,0.27,-1.5336,0.036,0.54
"C7_Immunologic_signatures:C7_ALL_576_GSE17721_PAM3CSK4_VS_CPG_12H_BMDM_DN","C7_Immunologic_signatures","C7_ALL_576_GSE17721_PAM3CSK4_VS_CPG_12H_BMDM_DN",197,-1.5191,0,0.0048,-0.9697,0.52,1,-1.0071,0.44,0.71
"C2_Chemical_and_genetic_perturbations:C2_CGP_3007_SASSON_RESPONSE_TO_FORSKOLIN_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3007_SASSON_RESPONSE_TO_FORSKOLIN_UP",90,-1.5191,0.013,0.056,0.9775,0.49,0.82,-0.976,0.5,0.79
"C2_Chemical_and_genetic_perturbations:C2_CGP_2215_RIGGI_EWING_SARCOMA_PROGENITOR_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2215_RIGGI_EWING_SARCOMA_PROGENITOR_DN",185,-1.5191,0.0035,0.056,1.1996,0.096,0.49,1.5749,0,0.42
"KEGG_compound:C03681_5ALPHA_PREGNANE_3_20_DIONE_5ALPHA_DIHYDROPROGESTERONE","KEGG_compound","C03681_5ALPHA_PREGNANE_3_20_DIONE_5ALPHA_DIHYDROPROGESTERONE",7,-1.519,0.027,0.15,-0.7048,0.82,1,-0.7875,0.74,0.85
"C4_Cancer_modules:C4_CM_138_MODULE_146","C4_Cancer_modules","C4_CM_138_MODULE_146",100,-1.519,0.0073,0.05,1.1485,0.2,0.46,1.5453,0.002,0.19
"C2_Chemical_and_genetic_perturbations:C2_CGP_271_ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_271_ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP",82,-1.519,0.0078,0.056,1.0157,0.41,0.78,-0.9793,0.49,0.78
"C7_Immunologic_signatures:C7_ALL_1178_GSE27786_BCELL_VS_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1178_GSE27786_BCELL_VS_CD4_TCELL_DN",194,-1.5189,0.0035,0.0048,0.8697,0.83,1,-1.013,0.41,0.7
"C3_TF_targets:C3_TFT_123_V_AP4_Q6","C3_TF_targets","C3_TFT_123_V_AP4_Q6",219,-1.5187,0,0.019,-1.4386,0.0074,0.15,-1.2867,0.043,0.26
"GO_MF:498750_GO_0019992_DIACYLGLYCEROL_BINDING","GO_MF","498750_GO_0019992_DIACYLGLYCEROL_BINDING",10,-1.5187,0.042,0.13,0.8632,0.62,1,0.7686,0.79,1
"C7_Immunologic_signatures:C7_ALL_659_GSE17721_LPS_VS_CPG_4H_BMDM_UP","C7_Immunologic_signatures","C7_ALL_659_GSE17721_LPS_VS_CPG_4H_BMDM_UP",196,-1.5186,0.0022,0.0049,0.8946,0.77,1,-1.0481,0.33,0.61
"GO_BP:516147_GO_0071221_CELLULAR_RESPONSE_TO_BACTERIAL_LIPOPEPTIDE","GO_BP","516147_GO_0071221_CELLULAR_RESPONSE_TO_BACTERIAL_LIPOPEPTIDE",5,-1.5185,0.027,0.099,0.8111,0.69,1,0.9697,0.52,0.89
