"","symbol","chromosome","length","num_transcript"
"5551","PRF1","chr10",2521,2
"5552","SRGN","chr10",1180,2
"5553","PRG2","chr11",840.5,2
"5554","PRH1","chr12",673,1
"5555","PRH2","chr12",3750,2
"5557","PRIM1","chr12",1462,1
"5558","PRIM2","chr6",1363,3
"5562","PRKAA1","chr5",5037.75,4
"5563","PRKAA2","chr1",9352,1
"5564","PRKAB1","chr12",2352,2
"5565","PRKAB2","chr1",5310.33333333333,3
"5566","PRKACA","chr19",2758.33333333333,3
"5567","PRKACB","chr1",3712.21052631579,19
"5568","PRKACG","chr9",1595,1
"5569","PKIA","chr8",4136.5,2
"5570","PKIB","chr6",1849.66666666667,6
"5571","PRKAG1","chr12",1745.14285714286,7
"5573","PRKAR1A","chr17",3820.33333333333,6
"5575","PRKAR1B","chr7",2283.57142857143,7
"5576","PRKAR2A","chr3",4112.6,5
"5577","PRKAR2B","chr7",3661,1
"5578","PRKCA","chr17",4915.5,4
"5579","PRKCB","chr16",5362.5,2
"5580","PRKCD","chr3",2746.6,5
"5581","PRKCE","chr2",4891.66666666667,6
"5582","PRKCG","chr19",3128,1
"5583","PRKCH","chr14",3506,1
"5584","PRKCI","chr3",4884,1
"5585","PKN1","chr19",3013.5,2
"5586","PKN2","chr1",5936.5,2
"5587","PRKD1","chr14",3658,2
"5588","PRKCQ","chr10",3212.85714285714,7
"5589","PRKCSH","chr19",2232.5,10
"5590","PRKCZ","chr1",2234,9
"5591","PRKDC","chr8",13462.5,2
"5592","PRKG1","chr10",6434,5
"5593","PRKG2","chr4",4049.125,8
"5594","MAPK1","chr22",3706.5,2
"5595","MAPK3","chr16",1680.25,4
"5596","MAPK4","chr18",4786,2
"5597","MAPK6","chr15",4123.2,5
"5598","MAPK7","chr17",2930.44444444444,9
"5599","MAPK8","chr10",5727.125,8
"5600","MAPK11","chr22",2388,1
"5601","MAPK9","chr5",4080.57142857143,7
"5602","MAPK10","chr4",5674.5,16
"5603","MAPK13","chr6",6272,2
"5604","MAP2K1","chr15",2470.33333333333,3
"5605","MAP2K2","chr19",1624.5,2
"5606","MAP2K3","chr17",2190,5
"5607","MAP2K5","chr15",2162.33333333333,3
"5608","MAP2K6","chr17",1770.6,5
"5609","MAP2K7","chr19",2498.75,4
"5610","EIF2AK2","chr2",4048.66666666667,3
"5611","DNAJC3","chr13",5591,1
"5612","PRKRIR","chr11",3190,1
"5613","PRKX","chrX",4989,3
"5616","PRKY","chrY",7217,1
"5617","PRL","chr6",1197,2
"5618","PRLR","chr5",5261.625,8
"5619","PRM1","chr16",409,1
"5620","PRM2","chr16",670.333333333333,6
"5621","PRNP","chr20",2714.33333333333,6
"5623","PSPN","chr19",471,1
"5624","PROC","chr2",1621.8,5
"5626","PROP1","chr5",1464,1
"5627","PROS1","chr3",3564,2
"5629","PROX1","chr1",7293.83333333333,6
"5630","PRPH","chr12",1542.33333333333,3
"5631","PRPS1","chrX",1952,2
"5634","PRPS2","chrX",2535.5,2
"5635","PRPSAP1","chr17",2359,1
"5636","PRPSAP2","chr17",1872.7,10
"5638","PRRG1","chrX",3991.8,5
"5639","PRRG2","chr19",1182,4
"5641","LGMN","chr14",1947,4
"5644","PRSS1","chr7",817,1
"5645","PRSS2","chr7",815.666666666667,3
"5646","PRSS3","chr9",915.6,5
"5648","MASP1","chr3",3901.83333333333,6
"5649","RELN","chr7",11568,2
"5651","TMPRSS15","chr21",3944,1
"5652","PRSS8","chr16",1940,1
"5654","HTRA1","chr10",2120,1
"5657","PRTN3","chr19",1001,1
"5660","PSAP","chr10",2827,3
"5662","PSD","chr10",3346.25,4
"5663","PSEN1","chr14",6081.25,4
"5664","PSEN2","chr1",2233.66666666667,3
"5670","PSG2","chr19",1612,1
"5671","PSG3","chr19",1908,1
"5672","PSG4","chr19",1895.6,5
"5673","PSG5","chr19",1606,2
"5675","PSG6","chr19",1607.5,2
"5680","PSG11","chr19",1319.66666666667,3
"5681","PSKH1","chr16",3481,1
"5682","PSMA1","chr11",1217,3
"5683","PSMA2","chr7",1466,1
"5684","PSMA3","chr14",963.333333333333,3
"5685","PSMA4","chr15",1140.33333333333,3
"5686","PSMA5","chr1",3766.25,4
"5687","PSMA6","chr14",1013.8,5
"5688","PSMA7","chr20",1032,1
"5689","PSMB1","chr6",917,1
"5690","PSMB2","chr1",4446.66666666667,3
"5691","PSMB3","chr17",711,3
"5692","PSMB4","chr1",925,1
"5693","PSMB5","chr14",1117.75,4
"5694","PSMB6","chr17",862,2
"5695","PSMB7","chr9",1015,1
"5696","PSMB8","chr6",1349.5,2
"5697","PYY","chr17",1053,1
"5698","PSMB9","chr6",1048,1
"5699","PSMB10","chr16",1006,1
"5700","PSMC1","chr14",1586,1
"5701","PSMC2","chr7",1518.33333333333,3
"5702","PSMC3","chr11",1580,1
"5704","PSMC4","chr19",1722,3
"5705","PSMC5","chr17",1528.33333333333,3
"5706","PSMC6","chr14",1627,2
"5707","PSMD1","chr2",3238.33333333333,3
"5708","PSMD2","chr3",2775.66666666667,3
"5709","PSMD3","chr17",2187,1
"5710","PSMD4","chr1",1283,3
"5711","PSMD5","chr9",3415.5,2
"5713","PSMD7","chr16",1670,1
"5714","PSMD8","chr19",1539,1
"5715","PSMD9","chr12",2176.33333333333,3
"5716","PSMD10","chrX",1534.5,2
"5717","PSMD11","chr17",3957.5,2
"5718","PSMD12","chr17",1767,2
"5719","PSMD13","chr11",1760,2
"5720","PSME1","chr14",1042,4
"5721","PSME2","chr14",1387.33333333333,3
"5723","PSPH","chr7",2723.25,8
"5724","PTAFR","chr1",4216.25,4
"5725","PTBP1","chr19",3442.28571428571,7
"5726","TAS2R38","chr7",1143,1
"5727","PTCH1","chr9",7716.11111111111,9
"5728","PTEN","chr10",4558.33333333333,3
"5729","PTGDR","chr14",2808.66666666667,3
"5730","PTGDS","chr9",812,1
"5731","PTGER1","chr19",1421,1
"5732","PTGER2","chr14",2480,1
"5733","PTGER3","chr1",2579.6,10
"5734","PTGER4","chr5",1934,3
"5737","PTGFR","chr1",4103.5,4
"5738","PTGFRN","chr1",6160,1
"5739","PTGIR","chr19",1678.2,5
"5740","PTGIS","chr20",5603,1
"5741","PTH","chr11",814,1
"5742","PTGS1","chr9",5066.22222222222,9
"5743","PTGS2","chr1",4493,1
"5744","PTHLH","chr12",1597.66666666667,6
"5745","PTH1R","chr3",2027.66666666667,6
"5746","PTH2R","chr2",2766,2
"5747","PTK2","chr8",4562.95,20
"5753","PTK6","chr20",2474,2
"5754","PTK7","chr6",4096.71428571429,7
"5756","TWF1","chr12",3161.5,4
"5757","PTMA","chr2",1206.5,2
"5763","PTMS","chr12",1150,1
"5768","QSOX1","chr1",2949.5,2
"5770","PTPN1","chr20",3516.5,2
"5771","PTPN2","chr18",2047.75,8
"5774","PTPN3","chr9",6724.94444444444,18
"5775","PTPN4","chr2",11381,1
"5777","PTPN6","chr12",2274.25,4
"5778","PTPN7","chr1",3381,6
"5780","PTPN9","chr15",3945,1
"5781","PTPN11","chr12",5098,4
"5782","PTPN12","chr7",3047.66666666667,6
"5783","PTPN13","chr4",8364.4,5
"5784","PTPN14","chr1",9042.5,2
"5786","PTPRA","chr20",3355.66666666667,3
"5787","PTPRB","chr12",7941.44444444444,9
"5788","PTPRC","chr1",4063.875,8
"5789","PTPRD","chr9",9013.57575757576,33
"5790","PTPRCAP","chr11",907,1
"5791","PTPRE","chr10",5234.4,5
"5792","PTPRF","chr1",7639.84615384615,13
"5793","PTPRG","chr3",8198.66666666667,3
"5794","PTPRH","chr19",3747.66666666667,3
"5795","PTPRJ","chr11",6167,3
"5796","PTPRK","chr6",5114.91666666667,12
"5797","PTPRM","chr18",5229.57142857143,7
"5798","PTPRN","chr2",3678.33333333333,3
"5799","PTPRN2","chr7",4445.25,4
"5800","PTPRO","chr12",5075,6
"5801","PTPRR","chr12",2945.8,5
"5802","PTPRS","chr19",6841.04166666667,24
"5803","PTPRZ1","chr7",6851,5
"5805","PTS","chr11",935,1
"5806","PTX3","chr3",1938,1
"5810","RAD1","chr5",4604,2
"5813","PURA","chr5",5294,1
"5814","PURB","chr7",9093,1
"5816","PVALB","chr22",562,2
"5817","PVR","chr19",4074.4,5
"5818","PVRL1","chr11",2821.33333333333,3
"5819","PVRL2","chr19",2503.5,2
"5820","PVT1","chr8",1699,1
"5822","PWP2","chr21",3260,1
"5824","PEX19","chr1",3607,4
"5825","ABCD3","chr1",3015,5
"5826","ABCD4","chr14",2268.1875,16
"5827","PXMP2","chr12",957,1
"5828","PEX2","chr8",4338.5,4
"5829","PXN","chr12",4826,21
"5830","PEX5","chr12",3128.23076923077,13
"5831","PYCR1","chr17",1903.57142857143,7
"5832","ALDH18A1","chr10",3470,3
"5833","PCYT2","chr17",3325.4,10
"5834","PYGB","chr20",4137,2
"5836","PYGL","chr14",2795,2
"5837","PYGM","chr11",3484,2
"5858","PZP","chr12",4610,1
"5859","QARS","chr3",2793.66666666667,3
"5860","QDPR","chr4",1589,2
"5861","RAB1A","chr2",2470,3
"5862","RAB2A","chr8",3776,2
"5863","RGL2","chr6",3322,5
"5864","RAB3A","chr19",1501,1
"5865","RAB3B","chr1",12844,1
"5866","RAB3IL1","chr11",2375,7
"5867","RAB4A","chr1",2945.33333333333,3
"5868","RAB5A","chr3",2535,1
"5869","RAB5B","chr12",4330.5,6
"5870","RAB6A","chr11",3193.75,4
"5871","MAP4K2","chr11",2955,5
"5872","RAB13","chr1",1306.33333333333,3
"5873","RAB27A","chr15",2973.5,6
"5874","RAB27B","chr18",6101.25,4
"5875","RABGGTA","chr14",2105.25,4
"5876","RABGGTB","chr1",1611.5,2
"5877","RABIF","chr1",3227,1
"5878","RAB5C","chr17",1809,3
"5879","RAC1","chr7",2369.5,2
"5880","RAC2","chr22",1086,2
"5881","RAC3","chr17",904,2
"5883","RAD9A","chr11",2192,4
"5884","RAD17","chr5",2887.11111111111,9
"5885","RAD21","chr8",3750,1
"5886","RAD23A","chr19",1765,4
"5887","RAD23B","chr9",3948.66666666667,3
"5888","RAD51","chr15",2255,5
"5889","RAD51C","chr17",1050.4,10
"5890","RAD51B","chr14",2311.16666666667,6
"5891","MOK","chr14",1768.25,16
"5892","RAD51D","chr17",2274.2,5
"5893","RAD52","chr12",2444.375,8
"5894","RAF1","chr3",2910.33333333333,6
"5896","RAG1","chr11",6607,2
"5897","RAG2","chr11",2625.66666666667,3
"5898","RALA","chr7",2716.66666666667,3
"5899","RALB","chr2",2313.4,5
"5900","RALGDS","chr9",3671.6,5
"5901","RAN","chr12",1723.5,2
"5902","RANBP1","chr22",1277.83333333333,6
"5903","RANBP2","chr2",11320.1428571429,7
"5905","RANGAP1","chr22",3470.6,5
"5906","RAP1A","chr1",1680,4
"5908","RAP1B","chr12",2070,6
"5909","RAP1GAP","chr1",3215.6,10
"5910","RAP1GDS1","chr4",3666.375,8
"5911","RAP2A","chr13",4358,1
"5912","RAP2B","chr3",8413,1
"5913","RAPSN","chr11",1558,4
"5914","RARA","chr17",3301.375,8
"5915","RARB","chr3",2913.5,2
"5916","RARG","chr12",2819.44444444444,9
"5917","RARS","chr5",1990,2
"5918","RARRES1","chr3",1502,3
"5919","RARRES2","chr7",636,2
"5920","RARRES3","chr11",765,1
"5921","RASA1","chr5",4083,2
"5922","RASA2","chr3",4728.5,4
"5923","RASGRF1","chr15",5500.57142857143,7
"5924","RASGRF2","chr5",7075.6,5
"5925","RB1","chr13",4772,1
"5926","ARID4A","chr14",5833.2,5
"5927","KDM5A","chr12",10836,1
"5928","RBBP4","chr1",7908.66666666667,3
"5929","RBBP5","chr1",4126.11111111111,9
"5930","RBBP6","chr16",5843.8,5
"5931","RBBP7","chrX",2015,2
"5932","RBBP8","chr18",3149.33333333333,9
"5933","RBL1","chr20",4849.66666666667,3
"5934","RBL2","chr16",4771,2
"5935","RBM3","chrX",4432,1
"5936","RBM4","chr11",1931.66666666667,3
"5937","RBMS1","chr2",4067.5,12
"5939","RBMS2","chr12",2858.7,10
"5947","RBP1","chr3",1017.33333333333,3
"5948","RBP2","chr3",838.666666666667,3
"5949","RBP3","chr10",4276,1
"5950","RBP4","chr10",983,2
"5954","RCN1","chr11",2516,1
"5955","RCN2","chr15",2240,2
"5956","OPN1LW","chrX",1261,1
"5957","RCVRN","chr17",1175,1
"5959","RDH5","chr12",1339.5,2
"5961","PRPH2","chr6",1945.33333333333,3
"5962","RDX","chr11",2874,6
"5965","RECQL","chr12",3554,7
"5966","REL","chr2",2217.25,4
"5967","REG1A","chr2",808,1
"5970","RELA","chr11",2446.75,4
"5971","RELB","chr19",2188,3
"5972","REN","chr1",1465,1
"5973","RENBP","chrX",1471,1
"5976","UPF1","chr19",5348.5,2
"5977","DPF2","chr11",2508,2
"5978","REST","chr4",6923,3
"5979","RET","chr10",5160.66666666667,3
"5980","REV3L","chr6",10316.7142857143,7
"5981","RFC1","chr4",4897.5,2
"5982","RFC2","chr7",1679.83333333333,6
"5983","RFC3","chr13",1927,2
"5984","RFC4","chr3",1421.5,2
"5985","RFC5","chr12",2231.25,4
"5986","RFNG","chr17",1828,1
"5987","TRIM27","chr6",2969,1
"5988","RFPL1","chr22",1496,1
"5989","RFX1","chr19",4162.5,4
"5990","RFX2","chr19",4074.5,2
"5991","RFX3","chr9",8094.61538461538,13
"5992","RFX4","chr12",3681,3
"5993","RFX5","chr1",3627,4
"5994","RFXAP","chr13",2825,1
"5996","RGS1","chr1",1403,1
"5997","RGS2","chr1",1350,1
"5998","RGS3","chr9",3016.86363636364,22
"5999","RGS4","chr1",3207.5,4
"6000","RGS7","chr1",2327.125,8
"6001","RGS10","chr10",878.5,2
"6002","RGS12","chr4",4406.57142857143,7
"6003","RGS13","chr1",1543,2
"6004","RGS16","chr1",2432,1
"6005","RHAG","chr6",1930,1
"6006","RHCE","chr1",1532.83333333333,6
"6007","RHD","chr1",2760,8
"6009","RHEB","chr7",1886,2
"6010","RHO","chr3",2768,1
"6011","GRK1","chr13",1096,1
"6013","RLN1","chr9",695.666666666667,3
"6015","RING1","chr6",1738,1
"6016","RIT1","chr1",3352.66666666667,3
"6017","RLBP1","chr15",1752,1
"6018","RLF","chr1",6250,1
"6019","RLN2","chr9",873.5,2
"6023","RMRP","chr9",268,1
"6029","RN7SL1","chr14",299,1
"6035","RNASE1","chr14",875,4
"6036","RNASE2","chr14",735,1
"6037","RNASE3","chr14",716,1
"6038","RNASE4","chr14",1692.5,4
"6039","RNASE6","chr14",1061,1
"6041","RNASEL","chr1",4158.5,2
"6043","SNORA63","chr3",135,1
"6044","SNORA62","chr3",154,1
"6045","RNF2","chr1",3227,2
"6046","BRD2","chr6",4163.33333333333,6
"6047","RNF4","chr4",3081.66666666667,3
"6048","RNF5","chr6",1137,1
"6049","RNF6","chr13",3143.83333333333,6
"6050","RNH1","chr11",1896.5,8
"6051","RNPEP","chr1",2165.2,5
"6059","ABCE1","chr4",4192.5,2
"6060","RNU1-4","chr1",164,1
"6079","SNORD15A","chr11",148,1
"6080","SNORA73A","chr1",207,1
"6082","SNORD20","chr2",80,1
"6083","SNORD21","chr1",95,1
"6084","RNY1","chr7",113,1
"6090","RNY5","chr7",84,1
"6091","ROBO1","chr3",7031.5,6
"6092","ROBO2","chr3",7618.8,5
"6093","ROCK1","chr18",6650,1
"6094","ROM1","chr11",1878,1
"6095","RORA","chr15",10814.8,5
"6096","RORB","chr9",3604,1
"6097","RORC","chr1",2767,5
"6098","ROS1","chr6",7507.5,2
"6100","RP9","chr7",1121,1
"6101","RP1","chr8",7100,1
"6102","RP2","chrX",3831,1
"6103","RPGR","chrX",3568.5,4
"6117","RPA1","chr17",4345,1
"6118","RPA2","chr1",1774.33333333333,3
"6119","RPA3","chr7",1594,1
"6120","RPE","chr2",3497.22222222222,9
"6121","RPE65","chr1",2648,2
"6122","RPL3","chr22",1264.5,2
"6124","RPL4","chr15",1441,1
"6125","RPL5","chr1",1031,1
"6128","RPL6","chr12",1060.57142857143,7
"6129","RPL7","chr8",1116.5,2
"6130","RPL7A","chr9",890,1
"6132","RPL8","chr8",897.5,2
"6133","RPL9","chr4",820,3
"6134","RPL10","chrX",2227.66666666667,3
"6135","RPL11","chr1",632.5,2
"6136","RPL12","chr9",660,1
"6137","RPL13","chr16",4492.75,4
"6138","RPL15","chr3",2314,6
"6139","RPL17","chr18",822,8
"6141","RPL18","chr19",855.333333333333,3
"6142","RPL18A","chr19",671,1
"6143","RPL19","chr17",909,2
"6144","RPL21","chr13",569,1
"6146","RPL22","chr1",2085,1
"6147","RPL23A","chr17",970,1
"6150","MRPL23","chr11",637,2
"6152","RPL24","chr3",562,1
"6154","RPL26","chr17",747,3
"6155","RPL27","chr17",495,1
"6156","RPL30","chr8",554,1
"6157","RPL27A","chr11",4879,1
"6158","RPL28","chr19",1909.16666666667,6
"6159","RPL29","chr3",695,1
"6160","RPL31","chr2",807,3
"6161","RPL32","chr3",1723.66666666667,3
"6164","RPL34","chr4",712.25,4
"6165","RPL35A","chr3",522.333333333333,3
"6166","RPL36AL","chr14",577,1
"6167","RPL37","chr5",1570,1
"6168","RPL37A","chr2",420,1
"6169","RPL38","chr17",374.5,2
"6170","RPL39","chrX",419,1
"6171","RPL41","chr12",526.5,2
"6173","RPL36A","chrX",1621,2
"6175","RPLP0","chr12",1234,2
"6176","RPLP1","chr15",474.5,2
"6181","RPLP2","chr11",493,1
"6182","MRPL12","chr17",1015,1
"6183","MRPS12","chr19",1033,3
"6184","RPN1","chr3",2341,1
"6185","RPN2","chr20",2414.57142857143,7
"6187","RPS2","chr16",942,1
"6188","RPS3","chr11",1898,4
"6189","RPS3A","chr4",1257.5,2
"6191","RPS4X","chrX",956,1
"6192","RPS4Y1","chrY",897,1
"6193","RPS5","chr19",741,1
"6194","RPS6","chr9",829,1
"6195","RPS6KA1","chr1",3120.5,4
"6196","RPS6KA2","chr6",5862.5,4
"6197","RPS6KA3","chrX",7190.875,8
"6198","RPS6KB1","chr17",4598.28571428571,7
"6199","RPS6KB2","chr11",1746.25,8
"6201","RPS7","chr2",728,1
"6202","RPS8","chr1",705,1
"6203","RPS9","chr19",835.333333333333,6
"6204","RPS10","chr6",696,3
"6205","RPS11","chr19",646,1
"6206","RPS12","chr6",503,1
"6207","RPS13","chr11",529,1
"6208","RPS14","chr5",797.75,4
"6209","RPS15","chr19",531,1
"6210","RPS15A","chr16",510,2
"6217","RPS16","chr19",657,2
"6218","RPS17","chr15",485,1
"6222","RPS18","chr6",542,1
"6223","RPS19","chr19",849,1
"6224","RPS20","chr8",926,2
"6227","RPS21","chr20",396,1
"6228","RPS23","chr5",3314,1
"6229","RPS24","chr10",1235.25,8
"6230","RPS25","chr11",492,1
"6231","RPS26","chr12",682,1
"6232","RPS27","chr1",351,1
"6233","RPS27A","chr2",977.333333333333,3
"6234","RPS28","chr19",382,1
"6235","RPS29","chr14",875,2
"6236","RRAD","chr16",1471.5,2
"6237","RRAS","chr19",983,1
"6238","RRBP1","chr20",3753.5,2
"6239","RREB1","chr6",8733.92307692308,13
"6240","RRM1","chr11",3191,1
"6241","RRM2","chr2",3350,2
"6242","RTKN","chr2",2059.4,5
"6247","RS1","chrX",3026,1
"6248","RSC1A1","chr1",1854,1
"6249","CLIP1","chr12",5909.09090909091,11
"6251","RSU1","chr10",2907.66666666667,3
"6252","RTN1","chr14",2506.5,2
"6253","RTN2","chr19",1893.25,4
"6256","RXRA","chr9",3369,3
"6257","RXRB","chr6",2469.8,5
"6258","RXRG","chr1",1725.75,4
"6259","RYK","chr3",2937.5,2
"6261","RYR1","chr19",15334,5
"6262","RYR2","chr1",15736.4,10
"6263","RYR3","chr15",15551.5,2
"6271","S100A1","chr1",594,1
"6272","SORT1","chr1",6974.83333333333,6
"6273","S100A2","chr1",963,1
"6274","S100A3","chr1",738,1
"6275","S100A4","chr1",538,2
"6276","S100A5","chr1",707.666666666667,3
"6277","S100A6","chr1",683,1
"6278","S100A7","chr1",421,2
"6279","S100A8","chr1",523,1
"6280","S100A9","chr1",577,1
"6281","S100A10","chr1",1055,1
"6282","S100A11","chr1",594,1
"6283","S100A12","chr1",466,1
"6284","S100A13","chr1",687.166666666667,6
"6285","S100B","chr21",1135,1
"6286","S100P","chr4",510,1
"6288","SAA1","chr11",600.333333333333,3
"6289","SAA2","chr11",1318.5,2
"6291","SAA4","chr11",665,1
"6293","VPS52","chr6",2665.6,5
"6294","SAFB","chr19",3012.16666666667,6
"6295","SAG","chr2",1664,3
"6296","ACSM3","chr16",2075,3
"6297","SALL2","chr14",4972.5,2
"6299","SALL1","chr16",5178.33333333333,3
"6300","MAPK12","chr22",1754,1
"6301","SARS","chr1",2368.66666666667,3
"6302","TSPAN31","chr12",1709,2
"6303","SAT1","chrX",1119,2
"6304","SATB1","chr3",4760.4,5
"6305","SBF1","chr22",6545.4,5
"6307","MSMO1","chr4",2173.66666666667,3
"6309","SC5D","chr11",6982.5,2
"6310","ATXN1","chr6",10611.5,2
"6311","ATXN2","chr12",4702,1
"6314","ATXN7","chr3",6828.33333333333,3
"6315","ATXN8OS","chr13",1472,1
"6317","SERPINB3","chr18",1777,1
"6319","SCD","chr10",5468,1
"6320","CLEC11A","chr19",1407,1
"6322","SCML1","chrX",3231,8
"6323","SCN1A","chr2",8156,4
"6324","SCN1B","chr19",1294.66666666667,3
"6326","SCN2A","chr2",8362,9
"6327","SCN2B","chr11",4922,1
"6328","SCN3A","chr2",9087.25,4
"6329","SCN4A","chr17",8033,2
"6330","SCN4B","chr11",4408.5,4
"6331","SCN5A","chr3",8074,9
"6332","SCN7A","chr2",7411.4,5
"6334","SCN8A","chr12",10842.6666666667,3
"6335","SCN9A","chr2",8333.5,2
"6336","SCN10A","chr3",5877,2
"6337","SCNN1A","chr12",3336.66666666667,3
"6338","SCNN1B","chr16",2585,2
"6339","SCNN1D","chr1",3007,2
"6340","SCNN1G","chr16",3448.5,2
"6341","SCO1","chr17",1735,2
"6342","SCP2","chr1",2079.8,10
"6343","SCT","chr11",612,2
"6344","SCTR","chr2",1447.75,4
"6345","SRL","chr16",4214,1
"6346","CCL1","chr17",594,1
"6347","CCL2","chr17",749,1
"6348","CCL3","chr17",797,1
"6351","CCL4","chr17",667,1
"6352","CCL5","chr17",1271,2
"6354","CCL7","chr17",815,1
"6355","CCL8","chr17",1250,1
"6360","CCL16","chr17",1601,2
"6362","CCL18","chr17",770,1
"6364","CCL20","chr2",840.5,2
"6366","CCL21","chr9",895,1
"6367","CCL22","chr16",2918,1
"6368","CCL23","chr17",659.333333333333,3
"6369","CCL24","chr7",360,1
"6372","CXCL6","chr4",1659,1
"6373","CXCL11","chr4",1606,1
"6374","CXCL5","chr4",2488,1
"6375","XCL1","chr1",1367,1
"6382","SDC1","chr2",3039.66666666667,6
"6383","SDC2","chr8",3168,4
"6385","SDC4","chr20",2613,1
"6386","SDCBP","chr8",2397.5,6
"6387","CXCL12","chr10",2069.4,5
"6388","SDF2","chr17",1413.5,2
"6389","SDHA","chr5",2261,3
"6390","SDHB","chr1",1153,1
"6391","SDHC","chr1",2747.33333333333,6
"6392","SDHD","chr11",1379.4,5
"6396","SEC13","chr3",1644.27272727273,11
"6397","SEC14L1","chr17",4839.71428571429,7
"6398","SECTM1","chr17",2054,2
"6399","TRAPPC2","chrX",2810.66666666667,3
"6400","SEL1L","chr14",5626,4
"6401","SELE","chr1",3875,1
"6402","SELL","chr1",2324,2
"6403","SELP","chr1",3098,6
"6404","SELPLG","chr12",2366.4,5
"6405","SEMA3F","chr3",3102.2,5
"6406","SEMG1","chr20",1663,1
"6407","SEMG2","chr20",1982,1
"6414","SEPP1","chr5",2125,3
"6415","SEPW1","chr19",876,1
"6416","MAP2K4","chr17",3753,5
"6418","SET","chr9",2732.75,4
"6419","SETMAR","chr3",1693.63636363636,11
"6421","SFPQ","chr1",4673.5,6
"6422","SFRP1","chr8",4467,1
"6423","SFRP2","chr4",1990,1
"6424","SFRP4","chr7",2974,1
"6425","SFRP5","chr10",1883,1
"6426","SRSF1","chr17",4798.33333333333,6
"6427","SRSF2","chr17",2003,5
"6428","SRSF3","chr6",3372,2
"6429","SRSF4","chr1",3067.33333333333,3
"6430","SRSF5","chr14",1468.5,8
"6431","SRSF6","chr20",3881,2
"6432","SRSF7","chr2",1903.33333333333,6
"6433","SFSWAP","chr12",3215.75,4
"6434","TRA2B","chr3",3311.5,4
"6439","SFTPB","chr2",2185,7
"6440","SFTPC","chr8",1069.33333333333,6
"6441","SFTPD","chr10",1283,1
"6442","SGCA","chr17",1292.25,4
"6443","SGCB","chr4",5100.6,5
"6444","SGCD","chr5",6360.875,8
"6445","SGCG","chr13",1668.66666666667,3
"6446","SGK1","chr6",2672.75,4
"6447","SCG5","chr15",1242.5,2
"6448","SGSH","chr17",1923.75,4
"6449","SGTA","chr19",2315,1
"6450","SH3BGR","chr21",1079.71428571429,7
"6451","SH3BGRL","chrX",2062,1
"6452","SH3BP2","chr4",4696.72727272727,11
"6453","ITSN1","chr21",5618.16666666667,6
"6455","SH3GL1","chr19",2378,3
"6456","SH3GL2","chr9",2572,2
"6457","SH3GL3","chr15",1463,6
"6458","SH3GL1P1","chr17",2497,1
"6459","SH3GL1P2","chr17",2506,1
"6461","SHB","chr9",6021,1
"6462","SHBG","chr17",1125.90909090909,11
"6464","SHC1","chr1",3243.44444444444,9
"6468","FBXW4","chr10",2605.66666666667,3
"6470","SHMT1","chr17",2509.25,4
"6472","SHMT2","chr12",2235,9
"6473","SHOX","chrX",3425,3
"6474","SHOX2","chr3",3251,6
"6476","SI","chr3",6011,1
"6477","SIAH1","chr16",2193.66666666667,3
"6478","SIAH2","chr3",2620,1
"6480","ST6GAL1","chr3",4389.85714285714,7
"6482","ST3GAL1","chr8",6967.16666666667,6
"6483","ST3GAL2","chr16",4450,1
"6484","ST3GAL4","chr11",1788.77777777778,9
"6487","ST3GAL3","chr1",1970.20588235294,34
"6489","ST8SIA1","chr12",4102,3
"6490","PMEL","chr12",2234,5
"6491","STIL","chr1",4880.75,8
"6492","SIM1","chr6",6212.5,2
"6493","SIM2","chr21",3295.5,2
"6494","SIPA1","chr11",3349.25,4
"6495","SIX1","chr14",2687,1
"6496","SIX3","chr2",2523,1
"6497","SKI","chr1",5447.66666666667,3
"6498","SKIL","chr3",7110.33333333333,6
"6499","SKIV2L","chr6",3696,2
"6500","SKP1","chr5",2356,2
"6502","SKP2","chr5",2917.5,4
"6503","SLA","chr8",3118.8,5
"6504","SLAMF1","chr1",1982.16666666667,6
"6505","SLC1A1","chr9",3739,1
"6506","SLC1A2","chr11",11622.1666666667,6
"6507","SLC1A3","chr5",3413.8,5
"6508","SLC4A3","chr2",4053.55555555556,9
"6509","SLC1A4","chr2",4100.33333333333,3
"6510","SLC1A5","chr19",2261.75,4
"6511","SLC1A6","chr19",2098.28571428571,7
"6512","SLC1A7","chr1",2411.4,5
"6513","SLC2A1","chr1",3670,1
"6514","SLC2A2","chr3",3309.66666666667,3
"6515","SLC2A3","chr12",3938,1
"6517","SLC2A4","chr17",3149,1
"6518","SLC2A5","chr1",2053,4
"6519","SLC3A1","chr2",2321,1
"6520","SLC3A2","chr11",2089.2,5
"6521","SLC4A1","chr17",4536.66666666667,3
"6522","SLC4A2","chr7",3946.4,5
"6523","SLC5A1","chr22",4920,2
"6524","SLC5A2","chr16",1874.25,4
"6525","SMTN","chr22",3111.875,16
"6526","SLC5A3","chr21",11576,1
"6527","SLC5A4","chr22",1982,2
"6528","SLC5A5","chr19",3238.5,2
"6529","SLC6A1","chr3",4557.25,4
"6530","SLC6A2","chr16",3148.6,5
"6531","SLC6A3","chr5",3934,1
"6532","SLC6A4","chr17",6606,1
"6533","SLC6A6","chr3",5549,6
"6534","SLC6A7","chr5",3739,1
"6535","SLC6A8","chrX",3404.66666666667,3
